stock_code,marcap_name,corp_code,dart_name,mapping_method,first_date,last_date
000895,보해양조우,,,unmatched,1998-10-20,2015-07-14
000910,유니온,00144252,유니온,stock_code,1998-10-20,2026-08-18
000950,전방,00147222,전방,stock_code,1998-10-20,2026-08-18
000970,한국주철관,00159573,한국주철관공업,stock_code,1998-10-20,2026-08-18
000980,극동건설,,,unmatched,1998-10-20,2003-10-14
000985,극동건설(1우),,,unmatched,1998-10-20,2003-10-14
000990,DB하이텍,00160843,DB하이텍,stock_code,1998-10-20,2026-08-18
001000,신라섬유,00135999,신라섬유,stock_code,1998-10-20,2026-08-18
001020,페이퍼코리아,00134723,페이퍼코리아,stock_code,1998-10-20,2026-08-18
001030,리젠트화재,,,unmatched,1998-10-20,2002-08-09
001040,CJ,00148540,CJ,stock_code,1998-10-20,2026-08-18
001045,CJ우,,,unmatched,1998-10-20,2026-08-18
001060,JW중외제약,00149947,JW중외제약,stock_code,1998-10-20,2026-08-18
001065,JW중외제약우,,,unmatched,1998-10-20,2026-08-18
001067,JW중외제약2우B,,,unmatched,1998-10-20,2026-08-18
001070,대한방직,00112970,대한방직,stock_code,1998-10-20,2026-08-18
001080,만호제강,00120872,만호제강,stock_code,1998-10-20,2026-08-18
001110,대농,00109107,대농,normalized_name_unique,1998-10-20,2002-04-26
001120,LX인터내셔널,00120076,LX인터내셔널,stock_code,1998-10-20,2026-08-18
001130,대한제분,00113243,대한제분,stock_code,1998-10-20,2026-08-18
001140,국보,00104519,국보,stock_code,1998-10-20,2026-01-26
001150,서통,00131434,서통,stock_code,1998-10-20,2003-10-01
001155,서통(1우),,,unmatched,1998-10-20,2003-10-01
001190,마이크로닉스,00112068,마이크로닉스,stock_code,1998-10-20,2009-04-24
001200,유진투자증권,00131054,유진증권,stock_code,1998-10-20,2026-08-18
001210,금호전기,00106395,금호전기,stock_code,1998-10-20,2026-08-18
001230,동국홀딩스,00114792,동국홀딩스,stock_code,1998-10-20,2026-08-18
001250,GS글로벌,00138190,GS글로벌,stock_code,1998-10-20,2026-08-18
001260,남광토건,00107066,남광토건,stock_code,1998-10-20,2026-08-18
001270,부국증권,00123772,부국증권,stock_code,1998-10-20,2026-08-18
001275,부국증권우,,,unmatched,1998-10-20,2026-08-18
001280,우리증권,00163178,우리증권,stock_code,1998-10-20,2004-06-23
