,닻과 돛(해자기업),닻과 돛(NASDAQ 40%),S&P500 100%
1990-03-20,9886.750676227917,9886.750676227917,9496.2330063611
1990-03-21,9822.9261890676,9822.9261890676,9445.355387371903
1990-03-22,9781.783658327195,9781.783658327195,9332.758769020562
1990-03-23,9818.102856573683,9818.102856573681,9375.295363557858
1990-03-26,9658.318661188232,9658.318661188234,9386.694169733355
1990-03-27,9648.151182574564,9648.151182574564,9494.286682478212
1990-03-28,9654.498421738457,9654.498421738457,9508.18754145695
1990-03-29,9640.07022598917,9640.070225989168,9474.54770029191
1990-03-30,9619.036223829426,9619.036223829426,9450.916070339836
1990-04-02,9600.201782633902,9600.201782633902,9416.442211573716
1990-04-03,9689.663827835651,9689.663827835651,9553.782766158938
1990-04-04,9664.64540895901,9664.645408959008,9482.887876302713
1990-04-05,9679.250688127911,9679.250688127913,9472.879665089751
1990-04-06,9652.687607419472,9652.687607419472,9454.807869664512
1990-04-09,9641.013620886584,9641.013620886584,9490.672323393164
1990-04-10,9645.192551933096,9645.192551933094,9510.133865339838
1990-04-11,9654.51270614712,9654.51270614712,9505.963777334435
1990-04-12,9687.063841129495,9687.063841129495,9573.243459664513
1990-04-16,9693.139024936121,9693.139024936121,9584.36397715928
1990-04-17,9671.185647865372,9671.185647865374,9582.695941957121
1990-04-18,9643.508400251829,9643.50840025183,9472.601376409022
1990-04-19,9629.907504384206,9629.907504384206,9399.482722430283
1990-04-20,9604.569668873051,9604.569668873053,9316.911586158934
1990-04-23,9551.219369142756,9551.219369142755,9203.75839044614
1990-04-24,9555.682230841812,9555.682230841812,9184.575137180193
1990-04-25,9528.298369313274,9528.298369313274,9231.004379483262
1990-04-26,9534.432531702001,9534.432531702001,9255.748315717143
1990-04-27,9508.089366213713,9508.089366213711,9149.822989733346
1990-04-30,9499.387669191941,9499.387669191941,9196.807960956769
1990-05-01,9528.874069449399,9528.874069449397,9237.120791371548
1990-05-02,9545.094605052662,9545.094605052664,9299.118927855516
1990-05-03,9563.68807647773,9563.68807647773,9329.422698616234
1990-05-04,9602.743401688258,9602.743401688258,9407.82374688218
1990-05-07,9627.339039906537,9627.339039906537,9467.31898212181
1990-05-08,9628.332979593648,9628.332979593648,9508.46583013767
1990-05-09,9622.000643989755,9622.000643989757,9532.096611648643
1990-05-10,9650.100570428958,9650.100570428956,9558.786871765413
1990-05-11,9669.361380301489,9669.361380301489,9786.204721031707
1990-05-14,9705.146680284617,9705.146680284619,9862.659445414767
1990-05-15,9704.22746127426,9704.22746127426,9849.592604037109
1990-05-16,9724.143544050745,9724.143544050745,9841.80815694666
1990-05-17,9744.286305238742,9744.28630523874,9854.87499832432
1990-05-18,9772.83742402105,9772.83742402105,9859.601663691174
1990-05-21,9838.91428796634,9838.914287966338,9953.015028776566
1990-05-22,9863.312961296208,9863.312961296208,9964.969563872419
1990-05-23,9810.391087616028,9810.39108761603,9988.87948250522
1990-05-24,9838.265277834354,9838.265277834354,9964.413834952064
1990-05-25,9798.852151539812,9798.852151539812,9857.932780047913
1990-05-29,9843.580155771942,9843.580155771942,10026.689411675658
1990-05-30,9845.780463311768,9845.78046331177,10032.52753488322
1990-05-31,9822.988619660633,9822.988619660633,10042.814883218012
1990-06-01,9853.647346726228,9853.647346726228,10096.471995250076
1990-06-04,9837.952289918703,9837.952289918701,10214.351007888625
1990-06-05,9837.788075902583,9837.788075902585,10193.22227918089
1990-06-06,9852.44799113736,9852.44799113736,10146.514748197094
1990-06-07,9794.884316795951,9794.884316795951,10096.193706569353
1990-06-08,9772.929235429057,9772.92923542906,9972.754010962868
1990-06-11,9800.450566958662,9800.450566958662,10053.935400712786
1990-06-12,9842.092701638256,9842.092701638256,10182.37920192575
1990-06-13,9823.30292944451,9823.302929444511,10144.846712994937
1990-06-14,9773.31329267511,9773.31329267511,10089.243277079984
1990-06-15,9786.21047903921,9786.21047903921,10089.521565760711
1990-06-18,9746.61122069395,9746.61122069395,9921.877240414771
1990-06-19,9740.136748284738,9740.136748284738,9966.081870154227
1990-06-20,9730.24674513241,9730.24674513241,9983.597088218015
1990-06-21,9756.686896408866,9756.686896408868,10021.685306069181
1990-06-22,9729.776808000577,9729.776808000577,9881.564409999992
1990-06-25,9737.125628486525,9737.125628486525,9794.823185723239
1990-06-26,9705.592933162588,9705.592933162588,9787.87275623387
1990-06-27,9729.092019077492,9729.092019077492,9873.502522669916
1990-06-28,9772.638969662998,9772.638969662998,9942.72852888288
