Cost_bps,Final_NAV,CAGR,MDD
0,2078363.064700127,0.1590917984732645,-0.3264021416299485
5,2074687.0141855055,0.15903503496731486,-0.32644342991201947
10,2071017.2314132878,0.15897827061584469,-0.3264847181940903
