,닻과돛_해자기업형,닻과돛_NASDAQ프록시,S&P500_100
1990-12-31,-0.06101895226068754,-0.06101895226068754,-0.08193166621445036
1991-12-31,0.22047705881560997,0.22047705881560997,0.26306703045261104
1992-12-31,0.055416329481801974,0.055416329481801974,0.044642631759748586
1993-12-31,0.12171516163590801,0.12171516163590756,0.07055156263296847
1994-12-31,-0.006485100943800282,-0.006485100943800504,-0.015392910291471718
1995-12-31,0.18035576395809572,0.18035576395809594,0.34110655477086915
1996-12-31,0.11941883045323931,0.09270036189290765,0.20263666170303418
1997-12-31,0.18728371500925078,0.03779175309305871,0.3100818174657094
1998-12-31,0.0963068723625462,0.1709147174561647,0.2666858915596553
1999-12-31,0.7355242630426122,0.3583607714626553,0.19526046658878426
2000-12-31,-0.07790756626905093,-0.15241060398050787,-0.1013918466585837
2001-12-31,0.33161928582629163,-0.06674354890060119,-0.13042693172742437
2002-12-31,-0.1375663409283936,-0.04399648748822227,-0.23365963957103542
2003-12-31,0.383741515385138,0.2531581348263887,0.2638039993282002
2004-12-31,0.005987755585804333,0.05255143462105982,0.08993452410946601
2005-12-31,0.2833740033023875,0.06803871942284978,0.030010226581274058
2006-12-31,0.24031929427838206,0.12215256017351273,0.13619431738260723
2007-12-31,0.2122759573333135,0.14816200300296356,0.03529573066347913
2008-12-31,-0.17561979194660815,-0.14668885588592262,-0.38485793060906726
2009-12-31,0.4341318690043672,0.24414450926790687,0.23454190488340587
2010-12-31,0.092186486806904,0.1557042654921954,0.12782713853760153
2011-12-31,0.0429139610511704,0.02006961255731121,-3.183666393891116e-05
2012-12-31,0.1037800979542376,0.08928060189349751,0.13405690926620917
2013-12-31,0.061888688903367406,0.07076896691576806,0.29601249573324084
2014-12-31,0.06821971973728425,0.05195973622938199,0.11390633786748161
2015-12-31,0.06435197338324827,-0.013504639688509013,-0.007265997205823771
2016-12-31,0.3144590731332031,0.054416960057394714,0.09535022667283721
2017-12-31,0.24844242143298034,0.15351982629374095,0.19419965523287863
2018-12-31,-0.03897981268986239,-0.011712742518890873,-0.06237259849620769
2019-12-31,0.3234850368508275,0.20216886080830143,0.2887807022515845
2020-12-31,0.3866598950861291,0.24930326651627777,0.16258923055706065
2021-12-31,0.25758344594026905,0.07394157642240051,0.26892738661371407
2022-12-31,-0.145578699360853,-0.12340934778501933,-0.19442827203429192
2023-12-31,0.4467263158401784,0.23596734424327814,0.24230500797629806
2024-12-31,0.3818693424255517,0.20600309261399086,0.23309002343423924
2025-12-31,0.4343913609728616,0.2946622617378112,0.16387806380067693
2026-12-31,0.1326873021038366,0.05647405151593543,0.014700150874662254
