Strategy,Start,End,Years,Final_NAV,Cumulative_Return,CAGR,Ann_Vol,MDD,MDD_Peak,MDD_Trough,MDD_Recovery,Sharpe_excess_DTB3,Sortino_MAR0,Calmar,Monthly_Win_Rate,Worst_Year,Worst_Year_Return,Avg_Annual_OneWay_Turnover,Total_Trading_Cost_USD
닻과돛_해자기업형,1990-01-02,2026-02-25,36.14784394250513,2074687.0141855055,206.46870141855055,0.15903503496731486,0.14656568924611008,-0.32644342991201947,2000-06-21,2001-10-02,2003-08-27,0.8951652360088778,1.5202794049811486,0.48717486827710627,0.6397228637413395,2008,-0.17561979194660815,0.0983463028466769,522.3894770572288
닻과돛_NASDAQ프록시,1990-01-02,2026-02-25,36.14784394250513,206754.91401993792,19.675491401993792,0.08740416060537615,0.10073267237419548,-0.36790367534853285,2000-03-09,2002-10-09,2006-01-09,0.6123625270210614,1.1950236500350562,0.2375734912747854,0.6304849884526559,2000,-0.15241060398050787,0.05855730266033125,54.79689432101921
S&P500_100,1990-01-02,2026-02-25,36.14784394250513,193114.34389795174,18.311434389795174,0.08535294316808284,0.18029978988972992,-0.5677538774277284,2007-10-09,2009-03-09,2013-03-28,0.3939248168067697,0.6977898684260351,0.150334408203047,0.6443418013856813,2008,-0.38485793060906726,0.0,0.0
