Year,Strategy,Annual_Return,Annual_MDD,Year_End_NAV
1990,닻과 돛(해자기업),-0.06101895226068754,-0.12747216243107662,9389.810477393125
1990,닻과 돛(NASDAQ 40%),-0.06101895226068754,-0.1274721624310765,9389.810477393125
1990,S&P500 100%,-0.08193166621445036,-0.19918693134699073,9180.683337855497
1991,닻과 돛(해자기업),0.22047705881560997,-0.03212109823456166,11460.04827428476
1991,닻과 돛(NASDAQ 40%),0.22047705881560997,-0.032121098234561773,11460.04827428476
1991,S&P500 100%,0.26306703045261104,-0.05671979564257179,11595.818441070907
1992,닻과 돛(해자기업),0.055416329481801974,-0.07158992408792164,12095.12208532988
1992,닻과 돛(NASDAQ 40%),0.055416329481801974,-0.07158992408792164,12095.12208532988
1992,S&P500 100%,0.044642631759748586,-0.0624331337775581,12113.486293688538
1993,닻과 돛(해자기업),0.12171516163590801,-0.037894420958387576,13567.281824951846
1993,닻과 돛(NASDAQ 40%),0.12171516163590756,-0.03789442095838769,13567.281824951842
1993,S&P500 100%,0.07055156263296847,-0.04994188130946886,12968.11168064131
1994,닻과 돛(해자기업),-0.006485100943800282,-0.060815342690440866,13479.296632784046
1994,닻과 돛(NASDAQ 40%),-0.006485100943800504,-0.06081534269044098,13479.29663278404
1994,S&P500 100%,-0.015392910291471718,-0.08937756550262566,12768.494700891411
1995,닻과 돛(해자기업),0.18035576395809572,-0.03681062156996029,15910.3654746076
1995,닻과 돛(NASDAQ 40%),0.18035576395809594,-0.0368106215699604,15910.365474607595
1995,S&P500 100%,0.34110655477086915,-0.02533416966357649,17123.91193792258
1996,닻과 돛(해자기업),0.11941883045323931,-0.08618928003631654,17810.362711668837
1996,닻과 돛(NASDAQ 40%),0.09270036189290787,-0.0747434179126476,17385.262111952146
1996,S&P500 100%,0.20263666170303418,-0.07643215959256977,20593.84428831995
1997,닻과 돛(해자기업),0.18728371500925078,-0.18657942473833333,21145.95360597241
1997,닻과 돛(NASDAQ 40%),0.03779175309305871,-0.09476333720348984,18042.28164514515
1997,S&P500 100%,0.3100818174657092,-0.10795223920774999,26979.620953848014
1998,닻과 돛(해자기업),0.09630687236254643,-0.2011314837485335,23182.45426088712
1998,닻과 돛(NASDAQ 40%),0.1709147174561645,-0.13409993814857557,21125.97311478968
1998,S&P500 100%,0.2666858915596555,-0.1933599921661051,34174.705221866534
1999,닻과 돛(해자기업),0.735524263042612,-0.07212526927154173,40233.71184664518
1999,닻과 돛(NASDAQ 40%),0.35836077146265555,-0.06139538947751866,28696.693138105027
1999,S&P500 100%,0.19526046658878426,-0.12078686729338572,40847.67410902236
2000,닻과 돛(해자기업),-0.07790756626905093,-0.3184868750987824,37099.20127470277
2000,닻과 돛(NASDAQ 40%),-0.15241060398050787,-0.2446233619678504,24323.012804683145
2000,S&P500 100%,-0.1013918466585837,-0.1719979426117838,36706.05299940056
2001,닻과 돛(해자기업),0.33161928582629163,-0.23472098454327994,49402.01190614555
2001,닻과 돛(NASDAQ 40%),-0.06674354890060119,-0.19736168898798478,22699.608610143827
2001,S&P500 100%,-0.13042693172742437,-0.2969506369341842,31918.595130864527
2002,닻과 돛(해자기업),-0.1375663409283936,-0.2576766670986279,42605.95789371617
2002,닻과 돛(NASDAQ 40%),-0.04399648748822227,-0.1463559625498102,21700.90556394009
2002,S&P500 100%,-0.2336596395710353,-0.3375237709732707,24460.50769697292
2003,닻과 돛(해자기업),0.383741515385138,-0.0806991831423951,58955.63274028619
2003,닻과 돛(NASDAQ 40%),0.2531581348263887,-0.05635379234557003,27194.666340550764
2003,S&P500 100%,0.2638039993282002,-0.14053409661238037,30913.287453032597
2004,닻과 돛(해자기업),0.005987755585804555,-0.17824096953758772,59308.64465954148
2004,닻과 돛(NASDAQ 40%),0.05255143462105982,-0.08965492575688594,28623.785070787755
2004,S&P500 100%,0.08993452410946601,-0.08164907105058195,33693.45924878021
