Date,금,단기채,ASML,TSM,NVDA,GOOGL
1990-01-02,0.0,0.0,0.0,0.0,0.0,0.0
1990-01-03,-0.010025062656641603,0.00020655352321474751,0.0034835753234045974,0.0034835753234045974,0.0034835753234045974,0.0034835753234045974
1990-01-04,0.0037974683544304,0.00020789151288269636,-0.003254502104282686,-0.003254502104282686,-0.003254502104282686,-0.003254502104282686
1990-01-05,0.021437578814627933,0.00020682114571912713,-0.002612062919886582,-0.002612062919886582,-0.002612062919886582,-0.002612062919886582
1990-01-08,-0.0009876543209875743,0.0006165754091951303,0.00109122650955773,0.00109122650955773,0.00109122650955773,0.00109122650955773
1990-01-09,-0.0028423133959466496,0.0002054829102799971,-0.0041421939470212,-0.0041421939470212,-0.0041421939470212,-0.0041421939470212
1990-01-10,0.014004213657206721,0.00020575058195548834,-0.01335371223499715,-0.01335371223499715,-0.01335371223499715,-0.01335371223499715
1990-01-11,0.007333170373991615,0.00020441210057486892,-0.003993827960492746,-0.003993827960492746,-0.003993827960492746,-0.003993827960492746
1990-01-12,0.01007037126910948,0.00020575058195548834,-0.020494501703144707,-0.020494501703144707,-0.020494501703144707,-0.020494501703144707
1990-01-15,-0.0015615615615615086,0.0006133616631864847,-0.0070502752273201574,-0.0070502752273201574,-0.0070502752273201574,-0.0070502752273201574
1990-01-16,-0.006857555341674759,0.00020441210057486892,0.008245547533643593,0.008245547533643593,0.008245547533643593,0.008245547533643593
1990-01-17,-0.005693519079345899,0.00020789151288269636,-0.0034075419318583267,-0.0034075419318583267,-0.0034075419318583267,-0.0034075419318583267
1990-01-18,0.007309941520467822,0.0002100316579529693,-0.002735382205699466,-0.002735382205699466,-0.002735382205699466,-0.002735382205699466
1990-01-19,-0.011490082244799193,0.0002119036410950237,0.007771414620535655,0.007771414620535655,0.007771414620535655,0.007771414620535655
1990-01-22,-0.006484766915453299,0.0006326353922281314,-0.02041279229891091,-0.02041279229891091,-0.02041279229891091,-0.02041279229891091
1990-01-23,0.005541871921182162,0.0002105665715577132,-0.0034730262125437505,-0.0034730262125437505,-0.0034730262125437505,-0.0034730262125437505
1990-01-24,0.030618493570116367,0.00020896168358208733,-0.0109200319612075,-0.0109200319612075,-0.0109200319612075,-0.0109200319612075
1990-01-25,-0.0121212121212122,0.00020896168358208733,-0.0011745360245769554,-0.0011745360245769554,-0.0011745360245769554,-0.0011745360245769554
1990-01-26,0.0056537952604354125,0.0002094966953001265,-0.009172211434847144,-0.009172211434847144,-0.009172211434847144,-0.009172211434847144
1990-01-29,0.0017942583732057926,0.0006278189264541378,-0.007595494379709411,-0.007595494379709411,-0.007595494379709411,-0.007595494379709411
1990-01-30,-0.001432835820895595,0.00021083400997246038,-0.01769910018765286,-0.01769910018765286,-0.01769910018765286,-0.01769910018765286
1990-01-31,-0.007413607557096635,0.00021083400997246038,0.012417763414544591,0.012417763414544591,0.012417763414544591,0.012417763414544591
1990-02-01,0.0018070112034693775,0.00021083400997246038,0.004810004951216751,0.004810004951216751,0.004810004951216751,0.004810004951216751
1990-02-02,0.005170755170755159,0.00021136885003669725,0.010531413457682604,0.010531413457682604,0.010531413457682604,0.010531413457682604
1990-02-05,0.012082785022131892,0.0006382529483150989,0.00592136411112687,0.00592136411112687,0.00592136411112687,0.00592136411112687
1990-02-06,-0.004609929078014163,0.00021297307626211293,-0.0016482509698869663,-0.0016482509698869663,-0.0016482509698869663,-0.0016482509698869663
1990-02-07,0.006412540078375439,0.00021297307626211293,0.006603744794737576,0.006603744794737576,0.006603744794737576,0.006603744794737576
1990-02-08,-0.013569321533923318,0.00021270573583387353,0.0011715089369743747,0.0011715089369743747,0.0011715089369743747,0.0011715089369743747
1990-02-09,-0.005980861244019087,0.00021270573583387353,0.003510414329163991,0.003510414329163991,0.003510414329163991,0.003510414329163991
1990-02-12,0.008062575210589618,0.000634240589925561,-0.005597000850762868,-0.005597000850762868,-0.005597000850762868,-0.005597000850762868
1990-02-13,-0.0019099916437865794,0.0002105665715577132,-0.0014071437901129746,-0.0014071437901129746,-0.0014071437901129746,-0.0014071437901129746
1990-02-14,-0.008252601363473278,0.00020655352321474751,0.001878859402259625,0.001878859402259625,0.001878859402259625,0.001878859402259625
1990-02-15,0.0049445248432222755,0.00020735635386737172,0.00703234870388636,0.00703234870388636,0.00703234870388636,0.00703234870388636
1990-02-16,-0.0003600144005759809,0.0002100316579529693,-0.0013966622322884037,-0.0013966622322884037,-0.0013966622322884037,-0.0013966622322884037
1990-02-20,0.008283313325330166,0.0008382501511727813,-0.012121240575830416,-0.012121240575830416,-0.012121240575830416,-0.012121240575830416
1990-02-21,0.00011906179307064058,0.00021243838316453711,-0.005427059601739059,-0.005427059601739059,-0.005427059601739059,-0.005427059601739059
1990-02-22,-0.0055952380952380976,0.00021110143613123356,0.003084194052120459,0.003084194052120459,0.003084194052120459,0.003084194052120459
1990-02-23,-0.00430982880402242,0.0002105665715577132,-0.0078050801519526924,-0.0078050801519526924,-0.0078050801519526924,-0.0078050801519526924
1990-02-26,-0.010941445232656055,0.0006278189264541378,0.0035756853396902155,0.0035756853396902155,0.0035756853396902155,0.0035756853396902155
1990-02-27,-0.009117432530999281,0.0002100316579529693,0.003800489557044262,0.003800489557044262,0.003800489557044262,0.003800489557044262
1990-02-28,0.0003680529996319404,0.0002105665715577132,0.007572128829239189,0.007572128829239189,0.007572128829239189,0.007572128829239189
1990-03-01,-0.003433897473632541,0.00021163625169062783,0.0032879860361649804,0.0032879860361649804,0.0032879860361649804,0.0032879860361649804
1990-03-02,-0.003076544425301475,0.00021270573583387353,0.00889510225745771,0.00889510225745771,0.00889510225745771,0.00889510225745771
1990-03-05,-0.004567337365757318,0.000634240589925561,-0.0018561201693010343,-0.0018561201693010343,-0.0018561201693010343,-0.0018561201693010343
1990-03-06,0.00533234126984139,0.00021297307626211293,0.004881393599140305,0.004881393599140305,0.004881393599140305,0.004881393599140305
1990-03-07,-0.011964968545701282,0.0002151113592709919,0.0004626699344878471,0.0004626699344878471,0.0004626699344878471,0.0004626699344878471
1990-03-08,0.0004993757802747023,0.0002153785896266136,0.009248554913294793,0.009248554913294793,0.009248554913294793,0.009248554913294793
1990-03-09,-0.0034938857000248458,0.0002153785896266136,0.0006872572576603897,0.0006872572576603897,0.0006872572576603897,0.0006872572576603897
1990-03-12,0.00488354620586029,0.0006526899281245058,-0.0004578335509201059,-0.0004578335509201059,-0.0004578335509201059,-0.0004578335509201059
1990-03-13,-0.009968847352024968,0.00021751599273733824,-0.00458085197444047,-0.00458085197444047,-0.00458085197444047,-0.00458085197444047
1990-03-14,0.0037759597230961894,0.00021724886008067656,0.003681560241705295,0.003681560241705295,0.003681560241705295,0.003681560241705295
1990-03-15,0.0018808777429466517,0.00021644738887238724,0.0043557859773342145,0.0043557859773342145,0.0043557859773342145,0.0043557859773342145
1990-03-16,0.0028785982478096717,0.00021618020738323196,0.009358607729731183,0.009358607729731183,0.009358607729731183,0.009358607729731183
1990-03-19,0.003619118931736054,0.000647076942658753,0.0015829526687696216,0.0015829526687696216,0.0015829526687696216,0.0015829526687696216
