Date,NAV_pre_cost,OneWay_Turnover,Cost_USD,Cost_bps
1991-01-02,9411.599965236303,0.055589422463414084,0.26159270326208706,5.0
1992-01-02,11445.540608532992,0.11823851423963415,0.6766518581111696,5.0
1993-01-04,12010.62708434067,0.03663036510196299,0.219976827601462,5.0
1994-01-03,13525.012454716165,0.025469965853554676,0.1722408026952612,5.0
1995-01-03,13398.702055219164,0.0160354935538801,0.10742740021841349,5.0
1996-01-02,16034.75380981984,0.07913040065802246,0.6344182467118981,5.0
1997-01-02,17716.879845607924,0.05877641555374511,0.5206673460606115,5.0
1998-01-02,21212.23556569661,0.13955991866348927,1.4801889351096964,5.0
1999-01-04,23360.74523757463,0.056177224047177406,0.6561709095601312,5.0
2000-01-03,40954.93229230039,0.24780020411733514,5.074320290821839,5.0
2001-01-02,36143.88246538066,0.12259032643654069,2.2154451750574875,5.0
2002-01-02,49837.02152705953,0.22674218371923263,5.650077545553941,5.0
2003-01-02,42831.20400202237,0.1858113121253509,3.9792611077621785,5.0
2004-01-02,59397.960838435305,0.12022171554412349,3.570462375909678,5.0
2005-01-03,59535.71076026349,0.03308991438325826,0.9850157859017734,5.0
2006-01-03,78124.15810470436,0.08713555169172685,3.403695808452554,5.0
2007-01-03,94573.75537645139,0.05641250531510315,2.6675712389216644,5.0
2008-01-02,113845.25237899051,0.06411732141824028,3.6497263193622094,5.0
2009-01-02,95438.21349494388,0.14031681423233813,6.6957930368181335,5.0
2010-01-04,136888.87768762332,0.12232746346321431,8.372634591926577,5.0
2011-01-03,148508.85731809965,0.05537043840980604,4.1115002687212545,5.0
2012-01-03,157493.1507581616,0.0332904749622961,2.621510896023852,5.0
2013-01-02,174062.92308063526,0.059778379110669154,5.202599702512729,5.0
2014-01-02,180233.15917890493,0.10651509996326908,9.598776483318423,5.0
2015-01-02,191334.1795394205,0.05744365528740823,5.495467327080775,5.0
2016-01-04,204389.3201547432,0.0872740302563581,8.918939855630759,5.0
2017-01-03,267793.3836773583,0.14789144411553293,19.80217511831475,5.0
2018-01-02,342976.8401346033,0.09656930888428827,16.560518207557834,5.0
2019-01-02,324803.5048067137,0.03652106293882708,5.931084620898808,5.0
2020-01-02,434902.965188556,0.10764918660695011,23.408475227749395,5.0
2021-01-04,602537.5651953177,0.11614569445409673,34.99107197214538,5.0
2022-01-03,755745.2657283674,0.14506513923715839,54.81614610035444,5.0
2023-01-03,642290.4068836017,0.12055119303087007,38.714437411050575,5.0
2024-01-02,908979.6076864987,0.14739864468365851,66.99118110903677,5.0
2025-01-02,1294250.6593164115,0.14311135349020307,92.61098180517968,5.0
2026-01-02,1860973.0805673487,0.08771901878110099,81.62136630270531,5.0
