,Annual_Return,Annual_Return,Annual_Return,Annual_MDD,Annual_MDD,Annual_MDD,Year_End_NAV,Year_End_NAV,Year_End_NAV
Strategy,S&P500 100%,닻과 돛(NASDAQ 40%),닻과 돛(해자기업),S&P500 100%,닻과 돛(NASDAQ 40%),닻과 돛(해자기업),S&P500 100%,닻과 돛(NASDAQ 40%),닻과 돛(해자기업)
Year,,,,,,,,,
1990,-0.08193166621445036,-0.06101895226068754,-0.06101895226068754,-0.19918693134699073,-0.1274721624310765,-0.12747216243107662,9180.683337855497,9389.810477393125,9389.810477393125
1991,0.26306703045261104,0.22047705881560997,0.22047705881560997,-0.05671979564257179,-0.032121098234561773,-0.03212109823456166,11595.818441070907,11460.04827428476,11460.04827428476
1992,0.044642631759748586,0.055416329481801974,0.055416329481801974,-0.0624331337775581,-0.07158992408792164,-0.07158992408792164,12113.486293688538,12095.12208532988,12095.12208532988
1993,0.07055156263296847,0.12171516163590756,0.12171516163590801,-0.04994188130946886,-0.03789442095838769,-0.037894420958387576,12968.11168064131,13567.281824951842,13567.281824951846
1994,-0.015392910291471718,-0.006485100943800504,-0.006485100943800282,-0.08937756550262566,-0.06081534269044098,-0.060815342690440866,12768.494700891411,13479.29663278404,13479.296632784046
1995,0.34110655477086915,0.18035576395809594,0.18035576395809572,-0.02533416966357649,-0.0368106215699604,-0.03681062156996029,17123.91193792258,15910.365474607595,15910.3654746076
1996,0.20263666170303418,0.09270036189290787,0.11941883045323931,-0.07643215959256977,-0.0747434179126476,-0.08618928003631654,20593.84428831995,17385.262111952146,17810.362711668837
1997,0.3100818174657092,0.03779175309305871,0.18728371500925078,-0.10795223920774999,-0.09476333720348984,-0.18657942473833333,26979.620953848014,18042.28164514515,21145.95360597241
1998,0.2666858915596555,0.1709147174561645,0.09630687236254643,-0.1933599921661051,-0.13409993814857557,-0.2011314837485335,34174.705221866534,21125.97311478968,23182.45426088712
1999,0.19526046658878426,0.35836077146265555,0.735524263042612,-0.12078686729338572,-0.06139538947751866,-0.07212526927154173,40847.67410902236,28696.693138105027,40233.71184664518
2000,-0.1013918466585837,-0.15241060398050787,-0.07790756626905093,-0.1719979426117838,-0.2446233619678504,-0.3184868750987824,36706.05299940056,24323.012804683145,37099.20127470277
2001,-0.13042693172742437,-0.06674354890060119,0.33161928582629163,-0.2969506369341842,-0.19736168898798478,-0.23472098454327994,31918.595130864527,22699.608610143827,49402.01190614555
2002,-0.2336596395710353,-0.04399648748822227,-0.1375663409283936,-0.3375237709732707,-0.1463559625498102,-0.2576766670986279,24460.50769697292,21700.90556394009,42605.95789371617
2003,0.2638039993282002,0.2531581348263887,0.383741515385138,-0.14053409661238037,-0.05635379234557003,-0.0806991831423951,30913.287453032597,27194.666340550764,58955.63274028619
2004,0.08993452410946601,0.05255143462105982,0.005987755585804555,-0.08164907105058195,-0.08965492575688594,-0.17824096953758772,33693.45924878021,28623.785070787755,59308.64465954148
2005,0.030010226581274058,0.06803871942284978,0.2833740033023875,-0.07166354179327195,-0.05489340870041126,-0.07398575897900606,34704.607595143025,30571.31075203904,76115.17272715451
2006,0.13619431738260723,0.12215256017351273,0.24031929427838228,-0.0769898530710843,-0.103868783198239,-0.13429195279968464,39431.17793659477,34305.67462826065,94407.11732082145
2007,0.03529573066347913,0.14816200300296356,0.21227595733331328,-0.10090409944571299,-0.050142910823254616,-0.07516922230097478,40822.93017278854,39388.47209555169,114447.47852917724
2008,-0.38485793060906726,-0.14668885588592262,-0.17561979194660804,-0.48756435073974513,-0.2394522102140747,-0.2759465208977504,25111.90174509069,33610.62218876062,94348.23616106925
2009,0.23454190488340587,0.24414450926790687,0.43413186900436695,-0.27620624750026546,-0.07516478332752274,-0.06942473716054165,31001.695015629182,41816.47104922461,135307.81226293964
2010,0.12782713853760153,0.1557042654921954,0.092186486806904,-0.15994677274011782,-0.06532768609579487,-0.0891684417475388,34964.552979292486,48327.47395941978,147781.36411298817
2011,-3.183666393891116e-05,0.02006961255731121,0.0429139610511704,-0.19388242072358508,-0.06878455895751567,-0.08182964738014031,34963.43982456951,49297.38763765889,154123.2478166218
2012,0.13405690926620917,0.08928060189349751,0.1037800979542376,-0.09936294686452485,-0.06649489277221765,-0.07986537583814524,39650.53050476639,53698.68807772614,170118.17357205602
2013,0.29601249573324084,0.07076896691576806,0.061888688903367406,-0.057555936154791154,-0.05702387062692427,-0.06641303418711275,51387.58299662929,57498.88875771889,180646.56429306607
2014,0.11390633786748161,0.05195973622938199,0.06821971973728447,-0.07401459519995723,-0.04662089709354389,-0.06282823926068393,57240.95438763659,60486.515851052536,192970.22228064237
2015,-0.007265997205823771,-0.013504639688509013,0.06435197338324783,-0.1235252506376443,-0.06792562335863084,-0.06429404615651602,56825.04177299734,59669.66724847078,205388.2368886057
2016,0.09535022667283721,0.054416960057394714,0.3144590731332033,-0.10512049840551418,-0.050690099174185654,-0.03996395917117679,62243.32238674608,62916.70914776885,269974.43149305944
2017,0.19419965523287863,0.15351982629374095,0.24844242143298034,-0.02796791718481173,-0.029333579383873376,-0.05220824515258338,74330.95413480108,72575.67140710815,337047.5329781874
2018,-0.06237259849620769,-0.011712742518890873,-0.03897981268986239,-0.1977821043568203,-0.09226662062891344,-0.1396808941753318,69694.7393767111,71725.61125478106,323909.4832751174
2019,0.2887807022515845,0.20216886080830143,0.3234850368508275,-0.06836108044673828,-0.036987820793143666,-0.07183882963323496,89821.2351571589,86226.29637293924,428689.3544087013
2020,0.16258923055706065,0.24930326651627754,0.3866598950861291,-0.33924960002653304,-0.1439661163031405,-0.15176984701091312,104425.20066904616,107722.79371831364,594446.3352089102
2021,0.26892738661371407,0.07394157642240051,0.25758344594026905,-0.052125375901048265,-0.06651935212145366,-0.09082956494847638,132507.9969815854,115687.98690247082,747565.8706585856
2022,-0.1944282720342918,-0.12340934778501933,-0.145578699360853,-0.25425096619230325,-0.16405412821877352,-0.22030702921399303,106744.6960977306,101411.00789227504,638736.203521545
2023,0.24230500797629784,0.23596734424327837,0.4467263158401782,-0.10276617093291396,-0.06044546940224316,-0.07257598284976208,132609.4705371187,125340.69410164932,924076.4745144672
2024,0.23309002343423924,0.20600309261399063,0.3818693424255519,-0.08485144350207396,-0.05912008759413401,-0.1226596155733587,163519.41513221775,151161.26471697327,1276952.950188229
2025,0.16387806380067693,0.2946622617378112,0.4343913609728618,-0.18902206184283965,-0.08447697038448576,-0.0929350223808123,190316.6602779047,195702.7848656246,1831650.280118805
2026,0.014700150874662032,0.05647405151593543,0.1326873021038364,-0.025856840246254675,-0.05359145317995584,-0.05670317564826299,193114.3438979517,206754.91401993792,2074687.0141855052
