,NAV
2005-12-31,0.2785006607479601
2006-12-31,0.24031929427838228
2007-12-31,0.21227595733331306
2008-12-31,-0.17561979194660793
2009-12-31,0.4341318690043674
2010-12-31,0.09218648680690422
2011-12-31,0.04291396105117107
2012-12-31,0.10378009795423626
2013-12-31,0.06188868890336785
2014-12-31,0.06821971973728469
2015-12-31,0.06435197338324894
2016-12-31,0.314459073133204
2017-12-31,0.24844242143298012
2018-12-31,-0.038979812689862836
2019-12-31,0.32348503685082797
2020-12-31,0.38665989508612864
2021-12-31,0.2575834459402697
2022-12-31,-0.14557869936085344
2023-12-31,0.4467263158401793
2024-12-31,0.3818693424255517
2025-12-31,0.4343913609728618
2026-12-31,0.1326873021038364
