Period,PeriodLabel,Start,End,전략,CAGR,MDD,MDD_source,Sharpe,연환산_표준편차,최대회복기간_개월,최대회복기간_일,최종배수,최종자산
book_validation,책 검증 1970-01~2021-12,1970-01-31,2021-12-31,영구포트폴리오 비용전,0.08746781458614694,-0.17363775414223603,daily,1.2380203574075421,0.06991941913001415,22.3,680,78.28047132421374,782804.7132421373
book_validation,책 검증 1970-01~2021-12,1970-01-31,2021-12-31,영구포트폴리오 비용후(5bp),0.08741472623343083,-0.1736377541422358,daily,1.237384199958519,0.06991542739500599,22.3,680,78.08199940123241,780819.9940123241
book_validation,책 검증 1970-01~2021-12,1970-01-31,2021-12-31,S&P500 100%,0.10952106199776024,-0.5518943082325594,daily,0.7630824977643994,0.15201331226635734,79.1,2407,222.3558929797343,2223558.929797343
from_2001,2001~2026-08,2001-01-01,2026-08-31,영구포트폴리오 비용전,0.07132579647074921,-0.1699735348062409,daily,1.0251827004180458,0.069757980622756,26.3,800,5.861203075651261,58612.03075651261
from_2001,2001~2026-08,2001-01-01,2026-08-31,영구포트폴리오 비용후(5bp),0.07127547047517147,-0.17002050009492187,daily,1.0245447025397627,0.06975513021741636,26.3,800,5.8541402992398215,58541.402992398216
from_2001,2001~2026-08,2001-01-01,2026-08-31,S&P500 100%,0.09046713960176622,-0.5518943082325594,daily,0.6526427985349115,0.15068828287806682,59.1,1798,9.233994887533825,92339.94887533825
from_2021,2021~2026-08,2021-01-01,2026-08-31,영구포트폴리오 비용전,0.07021302877344437,-0.16997353480624078,daily,0.8300113547309473,0.08642076063903202,26.3,800,1.4689194838199195,14689.194838199195
from_2021,2021~2026-08,2021-01-01,2026-08-31,영구포트폴리오 비용후(5bp),0.07014880619424146,-0.17002050009492187,daily,0.8293857131281093,0.08641237510808096,26.3,800,1.468420044929621,14684.20044929621
from_2021,2021~2026-08,2021-01-01,2026-08-31,S&P500 100%,0.15015678982741765,-0.24496388734674457,daily,1.0039531332424645,0.15140345508068145,23.3,709,2.209479295823739,22094.792958237387
longest,최장 1968-04~2026-08,1968-04-30,2026-08-31,영구포트폴리오 비용전,0.08385808587742516,-0.17363775414223603,daily,1.1693524858296194,0.07125447408437612,26.3,800,110.46779595751835,1104677.9595751835
longest,최장 1968-04~2026-08,1968-04-30,2026-08-31,영구포트폴리오 비용후(5bp),0.08380473507935204,-0.1736377541422358,daily,1.1687300983419318,0.07124974447678357,26.3,800,110.15055935385641,1101505.5935385642
longest,최장 1968-04~2026-08,1968-04-30,2026-08-31,S&P500 100%,0.10804670478997513,-0.5518943082325594,daily,0.7557329421720765,0.1516505212622094,79.1,2407,401.1153526268913,4011153.526268913
