Date,Strategy,KOSPI,StrategyLog2,KOSPILog2
1987-01-31,1.0578117204138073,1.0578117204138073,0.08108286545048363,0.08108286545048363
1987-02-28,1.1727036840253917,1.1727036840253917,0.22983852266600707,0.22983852266600707
1987-03-31,1.3388211295362262,1.3388211295362262,0.42096322521131124,0.42096322521131124
1987-04-30,1.3490662259160762,1.3490662259160762,0.43196117219687835,0.43196117219687835
1987-05-31,1.405049253289808,1.405049253289808,0.4906207042764484,0.4906207042764484
1987-06-30,1.417123778602305,1.417123778602305,0.5029657758823848,0.5029657758823848
1987-07-31,1.6611773986786318,1.6611773986786318,0.732206148271883,0.732206148271883
1987-08-31,1.7709468141002909,1.7709468141002909,0.8245208850508915,0.8245208850508915
1987-09-30,1.7617996694370572,1.7617996694370572,0.8170498877425654,0.8170498877425654
1987-10-31,1.8638856305201148,1.8638856305201148,0.8983133378121347,0.8983133378121347
1987-11-30,1.7471635020833125,1.7471635020833125,0.8050146240573397,0.8050146240573397
1987-12-31,1.788144623495284,1.788144623495284,0.8384634250903592,0.8384634250903592
1988-01-31,2.1203795145169533,2.1203795145169533,1.0843225075760086,1.0843225075760086
1988-02-29,2.357847631971295,2.357847631971295,1.237470491981019,1.237470491981019
1988-03-31,2.2864976959203593,2.2864976959203593,1.1931394653570147,1.1931394653570147
1988-04-30,2.3545545127140164,2.3545545127140164,1.2354541243413149,1.2354541243413149
1988-05-31,2.4635924509196454,2.4635924509196454,1.3007636124987383,1.3007636124987383
1988-06-30,2.601536249332178,2.601536249332178,1.3793638097045422,1.3793638097045422
1988-07-31,2.5495785543243263,2.5495785543243263,1.3502587891091435,1.3502587891091435
1988-08-31,2.5371382904038144,2.5371382904038144,1.3432021577315219,1.3432021577315219
1988-09-30,2.470178689434202,2.470178689434202,1.3046154082213324,1.3046154082213324
1988-10-31,2.6103176553873957,2.6103176553873957,1.3842253822612236,1.3842253822612236
1988-11-30,2.847419298341151,2.847419298341151,1.509654953598743,1.509654953598743
1988-12-31,3.235637216736552,3.235637216736552,1.6940498602538956,1.6940498602538956
1989-01-31,3.2352714781285363,3.2352714781285363,1.6938867767361119,1.6938867767361119
1989-02-28,3.301133127381532,3.301133127381532,1.7229613204266618,1.7229613204266618
1989-03-31,3.534210173861979,3.534210173861979,1.8213878372218197,1.8213878372218197
1989-04-30,3.509328910128384,3.509328910128384,1.8111951699610789,1.8111951699610789
1989-05-31,3.4280996163056137,3.4280996163056137,1.7774090329807444,1.7774090329807444
1989-06-30,3.296010579191608,3.296010579191608,1.7207208731409054,1.7207208731409054
1989-07-31,3.2440528841837555,3.2440528841837555,1.6977973383985152,1.6977973383985152
1989-08-31,3.3750447054737167,3.3750447054737167,1.754906612071046,1.754906612071046
1989-09-30,3.4818874761386835,3.4818874761386835,1.7998695802894735,1.7998695802894735
1989-10-31,3.3406505584688726,3.3406505584688726,1.7401290805686542,1.7401290805686542
1989-11-30,3.4112105335297414,3.2883271248530055,1.7702837981369244,1.7173538263699275
1989-12-31,3.4686108368205053,3.299669437056901,1.7943579855410545,1.7223215016207702
1990-01-31,3.523075950974596,3.2857654828117573,1.8168355769939,1.7162295135021184
1990-02-28,3.6061381821684693,3.1730686867408346,1.85045467988441,1.665878751305294
1990-03-31,3.686736336436958,3.0936688218507107,1.882344243196977,1.6293187641281097
1990-04-30,3.690395743193807,2.874129991007393,1.8837755333939632,1.5231253134099663
1990-05-31,3.6590113365954386,2.823635986324173,1.8714538855388978,1.4975541131932093
1990-06-30,3.700576389578552,2.805340961105134,1.8877499976667629,1.4881761266277813
1990-07-31,3.769212759586871,2.5547011025142505,1.9142632326615003,1.353154507152926
1990-08-31,3.8269984749205794,2.332234891021669,1.9362133260848107,1.2217130968774255
1990-09-30,3.7466337271661803,2.2034389731649413,1.9055949459538086,1.139756940031951
1990-10-31,3.703684355496697,2.498353072425075,1.8889611509297497,1.3209773760019197
1990-11-30,3.7905557264708967,2.548114863999694,1.9224093747946995,1.3494303129111893
1990-12-31,3.8370341502852465,2.607024536130117,1.9399916052398776,1.3824041609274265
1991-01-31,3.8879612470080565,2.369190680067761,1.9590138390496792,1.244394315976906
1991-02-28,3.9434085442167564,2.3955348982334166,1.9794431839894144,1.260347830853542
1991-03-31,3.9955948572358966,2.4537130931478104,1.998410305080063,1.2949665679530604
1991-04-30,4.011493137062869,2.335528010278948,2.004139329070363,1.2237487476635647
1991-05-31,4.073348913383508,2.305889936963443,2.0262153974615074,1.2053236529781812
1991-06-30,4.091684607600546,2.2125861178281756,2.0326949445488443,1.1457336085722467
1991-07-31,4.1459119265314675,2.364799609093867,2.0516894689543452,1.2417179361163284
1991-08-31,4.184543142909072,2.600072559007547,2.065070121834677,1.3785518844305418
1991-09-30,4.025639485412435,2.503841359223016,2.00921797804758,1.3241431575131133
1991-10-31,4.148590826148783,2.580313843463877,2.0526213717922994,1.3675465512578329
1991-11-30,3.9303373477175976,2.444565948484577,1.9746531468329693,1.2895783262985028
1991-12-31,3.677373583453523,2.287229173136389,1.8786757470111761,1.1936009264767096
1992-01-31,3.7366034337910308,2.341016297076888,1.9017274584305137,1.2271349778630691
1992-02-29,3.8473606175949264,2.3830946343129056,1.9438690614600416,1.2528362430695485
1992-03-31,3.896327322547585,2.2532007647395615,1.96211488039259,1.1719758663429418
1992-04-30,3.945947958576226,2.152944968481722,1.9803719290976864,1.1063114431868948
1992-05-31,4.006677900617096,2.1562380877390006,2.0024065352590283,1.1085164865486774
1992-06-30,4.062821389344097,2.06549517475241,2.022481941883412,1.046487689887134
1992-07-31,4.169927015284257,1.9136474220947342,2.0600221329243933,0.9363250465159167
1992-08-31,4.4004890831165016,1.8159525319855718,2.1376638779713475,0.8607264918556737
1992-09-30,4.471733576246125,1.9652393784945714,2.160834235659077,0.9747050525008031
1992-10-31,4.682916825196084,1.9937795000934602,2.2274074140901976,0.9955058652467517
1992-11-30,4.890464247676161,2.3604092740125444,2.2899714255106147,1.2390370317884944
1992-12-31,4.924954827432389,2.379435776447613,2.300110491972435,1.2506195151199828
1993-01-31,5.273329702101609,2.54774912539168,2.398714200532827,1.349223223680375
1993-02-28,5.06506178286457,2.447126854633255,2.340579866911646,1.2910888900591944
1993-03-31,4.89163135109445,2.363335918769236,2.2903156818726096,1.2408247050201577
1993-04-30,5.403591015745307,2.6106833939954126,2.4339184848255533,1.3844275079731014
1993-05-31,5.45130369040871,2.633735228796361,2.4466012946175786,1.3971103177651265
1993-06-30,5.758781986795015,2.782289862196759,2.525763706211276,1.476272729358824
1993-07-31,5.695166102677166,2.751554573057209,2.509737919547793,1.4602469426953408
1993-08-31,5.365723982870389,2.592388368776374,2.4237728431213568,1.3742818662689045
1993-09-30,5.244551305450684,2.5338451711465373,2.390819349143567,1.341328372291115
1993-10-31,5.4194127044550715,2.6820340659389195,2.438136516841438,1.4233275617945949
1993-11-30,5.897041342186378,2.9213308764333363,2.5599913084481436,1.5466257702709687
1993-12-31,6.26930054509647,3.105744083055781,2.648304493041617,1.634938954864442
1994-01-31,6.576560930448027,3.2579575743214724,2.717333355142342,1.703967816965167
1994-02-28,6.8934234813699815,3.4149278751690733,2.785220646638447,1.771855108461272
1994-03-31,6.567697050194534,3.2535665033475767,2.7153875810952983,1.7020220429181234
1994-04-30,6.5292155992197225,3.234503206283936,2.7069096810382183,1.6935441428610436
1994-05-31,6.960488606525736,3.4481512170927258,2.799188582721949,1.785823044544774
1994-06-30,6.844601579507863,3.390742029915507,2.774966565442672,1.7616010272654967
1994-07-31,6.97732953336231,3.456494031175355,2.8026749725157005,1.7893094343385254
1994-08-31,6.9349323477891724,3.4354909212933475,2.793881808722616,1.7805162705454407
1994-09-30,7.403799972399589,3.6677629013006183,2.8882659186113275,1.8749003804341526
1994-10-31,8.01640149837545,3.971239110629676,3.0029547671670342,1.9895892289898591
1994-11-30,8.202235488607025,4.063299271319178,3.036017164461094,2.0226516262839187
1994-12-31,7.686835092261964,3.8079754565109583,2.9423897182715515,1.9290241800943764
1995-01-31,7.1299986181909265,3.532124654314466,2.8339017970717872,1.8205362588946123
1995-02-28,7.114175376418486,3.4016818088828136,2.8306965397034736,1.7662481985510043
1995-03-31,7.25287954296478,3.4481512170927258,2.858553888586088,1.785823044544774
1995-04-30,7.449585929921878,3.3031089989359006,2.897160238534535,1.7238245777462606
1995-05-31,7.547017599460244,3.235381126121686,2.91590663854135,1.6939356709128357
1995-06-30,7.714967486197862,3.2790450232458888,2.94766007674417,1.7132757109312275
1995-07-31,7.89645215949245,3.422611623697929,2.9812046024564913,1.7750975937342748
1995-08-31,8.17032212847992,3.351084954269448,3.0303929601333763,1.744628261161798
1995-09-30,8.520092889751874,3.6025464743155515,3.09086915942457,1.8490170418731937
1995-10-31,8.577489521010211,3.6304459081623346,3.100555458265199,1.8601467575834916
1995-11-30,8.06349498606308,3.412896314933937,3.0114052861695146,1.7709965854878071
1995-12-31,7.6478991352581716,3.2369942339919335,2.9350634963805846,1.6946547956988771
1996-01-31,7.490933037721331,3.2218896784796147,2.9051454256344384,1.6879070952129311
1996-02-29,7.338395400473802,3.126606329507487,2.875464640609136,1.6445975812006521
1996-03-31,7.385993921068599,3.204805399671992,2.8847920751555227,1.6802367570150814
1996-04-30,7.585073261314766,3.596130704377067,2.9231631149779216,1.8464454577627527
1996-05-31,6.9764031070947,3.310867242140774,2.8024834036189135,1.7272091632734135
1996-06-30,6.91547373791344,2.996824469037563,2.789828085204837,1.5834345843302182
1996-07-31,6.88580344170041,3.0125156092299727,2.783624999128654,1.5909687166290165
1996-08-31,6.8262766807155915,2.865062885272336,2.771098890529182,1.5185668050467118
1996-09-30,6.933182186477136,2.8950520270419395,2.7935176713984258,1.5335892751509366
1996-10-31,7.022968766957335,2.777441798683885,2.8120810191300794,1.4737566802444706
1996-11-30,7.071803284111358,2.6633877399488752,2.822078143934066,1.413262473528238
1996-12-31,7.105725628236894,2.3874729710515177,2.828981983290014,1.255484400268526
1997-01-31,7.21923310082238,2.5143952312060027,2.851845587748892,1.330211441041071
1997-02-28,7.328338382685496,2.480263335133263,2.8734861207589972,1.310493302919435
1997-03-31,7.313529471263659,2.483232920076219,2.870567811351022,1.3122195884897623
1997-04-30,7.365252603154354,2.57814965362329,2.8807350056506267,1.3663360101207254
1997-05-31,7.4611566416793975,2.774435552198423,2.8993992969506626,1.47219429078734
1997-06-30,7.341708332184303,2.7327513783695236,2.8761158008894343,1.4503542115957806
1997-07-31,7.151812790670332,2.6620679244186727,2.838308972328496,1.4125473830348423
1997-08-31,6.848945160921651,2.549333681213866,2.7758818087604653,1.3501202194668118
1997-09-30,7.016017565209723,2.3724050770817047,2.810652359699584,1.246350364353604
1997-10-31,7.08030209283446,1.7259887596224688,2.823810916598721,0.7874230690998771
1997-11-30,6.924317551874183,1.4952776726345507,2.7916718887728544,0.5804134173566154
