Date,StrategyGross,StrategyNet,KOSPI,PositionStock
2018-07-23,-0.0001999033061568234,-0.0001999033061568234,-0.008684294444759932,0
2018-07-24,-0.0013990911281569485,-0.0013990911281569485,0.004798815498984199,0
2018-07-25,0.00020022340626990598,0.00020022340626990598,-0.0031444610121917904,0
2018-07-26,0.0008003916897616481,0.0008003916897616481,0.007052260638882757,0
2018-07-27,0.0011998833652953067,0.0011998833652953067,0.002590583034083771,0
2018-07-30,-0.0026963103122042975,-0.0026963103122042975,-0.00064488298423937,0
2018-07-31,-0.0009011145566664158,-0.0009011145566664158,0.0007630226159902609,0
2018-08-01,0.000801760674310481,0.000801760674310481,0.0051453865792980835,0
2018-08-02,-0.0005007737676939739,-0.0005007737676939739,-0.015981309626496132,0
2018-08-03,0.0008015197491713089,0.0008015197491713089,0.007699762135494614,0
2018-08-06,0.0010011613711151668,0.0010011613711151668,-0.0005158064064902934,0
2018-08-07,0.0010000746897707025,0.0010000746897707025,0.005974196369997742,0
2018-08-08,-9.994166374382996e-05,-9.994166374382996e-05,0.0005608305509181566,0
2018-08-09,0.001298945075116853,0.001298945075116853,0.000981989615242762,0
2018-08-10,0.0011975231881713455,0.0011975231881713455,-0.009081004119442126,0
2018-08-13,0.0004985129681427392,0.0004985129681427392,-0.015042995632537415,0
2018-08-14,0.0001991357745463329,0.0001991357745463329,0.004652093664524459,0
2018-08-16,0.0006971764904708522,0.0006971764904708522,-0.008017141010487228,0
2018-08-17,0.0009952968063255963,0.0009952968063255963,0.002789182434844717,0
2018-08-20,0.0029829215267078713,0.0029829215267078713,0.0003693731781668763,0
2018-08-21,0.00039659079149512166,0.00039659079149512166,0.009867074754880134,0
2018-08-22,0.001882869147149302,0.001882869147149302,0.0014404905597209527,0
2018-08-23,-0.00039560411728822853,-0.00039560411728822853,0.004077718589030166,0
2018-08-24,0.00029686273936824215,0.00029686273936824215,0.004648208183650304,0
2018-08-27,0.0007912864602206415,0.0007912864602206415,0.0026556660750651773,0
2018-08-28,-9.862169225038908e-05,-9.862169225038908e-05,0.0016613752011480631,0
2018-08-29,0.0004940851944283953,0.0004940851944283953,0.0025660842682970753,0
2018-08-30,-9.883570360524896e-05,-9.883570360524896e-05,-0.0007275782471428682,0
2018-08-31,0.0014822604003021933,0.0014822604003021933,0.006730665048648943,0
2018-09-03,0.002368106490009847,0.002368106490009847,-0.00682342609174813,0
2018-09-04,0.00019684797908614549,0.00019684797908614549,0.0037667477232630198,0
2018-09-05,-0.00039361847517105364,-0.00039361847517105364,-0.010342355725217134,0
2018-09-06,0.002461294277772419,0.002461294277772419,-0.0018151908786657733,0
2018-09-07,-0.0003928066589027335,-0.0003928066589027335,-0.0026359388182427557,0
2018-09-10,0.0003929610166066855,0.0003929610166066855,0.0031031127551959248,0
2018-09-11,0.00019640332945147776,0.00019640332945147776,-0.0023856754607499697,0
2018-09-12,-0.0005890942882745831,-0.0005890942882745831,-0.000122634898388152,0
2018-09-13,0.00019648050830345376,0.00019648050830345376,0.0014498974996932645,0
2018-09-14,-0.0021611125503995243,-0.0021611125503995243,0.014005589988758782,0
