start,end,months,CAGR,CumulativeReturn,AnnualizedVol,MDD,MDD_source,Sharpe,MaxRecoveryDays,MaxRecoveryMonths,FinalMultiple,FinalAssetKRW,period,series
1987-01-31,2021-12-31,420,0.1422490669584957,104.10622038722742,0.16925804732396535,-0.30368607850764784,monthly_fallback,0.8716030378492093,3533,116.1,105.10622038722742,1051062203.8722743,book_validation,BookProxyGross
1987-01-31,2021-12-31,420,0.14178526951942771,102.6227828810247,0.16934703685424599,-0.30368607850764784,monthly_fallback,0.8688054025277906,3533,116.1,103.6227828810247,1036227828.8102471,book_validation,StrategyGross
1987-01-31,2021-12-31,420,0.13979604010140956,96.48774689930752,0.16942654572561117,-0.31816336687968294,monthly_fallback,0.8580711461535921,3533,116.1,97.48774689930752,974877468.9930753,book_validation,StrategyNet10bp
1987-01-31,2021-12-31,420,0.07067966353015653,9.916524204188375,0.25584841244629436,-0.7312346555750733,monthly_fallback,0.3910739197386281,3896,128.0,10.916524204188375,109165242.04188375,book_validation,KOSPI
2001-01-31,2026-08-31,308,0.10619194347300587,12.334680228563366,0.18473071001841856,-0.3036860785076484,monthly_fallback,0.6373006047064498,3533,116.1,13.334680228563366,133346802.28563367,from_2001,StrategyGross
2001-01-31,2026-08-31,308,0.1039089451841233,11.646008854350919,0.18479951414526674,-0.31816336687968305,monthly_fallback,0.6258528964549929,3533,116.1,12.646008854350919,126460088.54350919,from_2001,StrategyNet10bp
2001-01-31,2026-08-31,308,0.10677150285658099,12.515159922317796,0.2343549879700271,-0.4851781001041239,monthly_fallback,0.5494888996365734,2192,72.0,13.515159922317796,135151599.22317797,from_2001,KOSPI
2021-01-31,2026-08-31,68,0.19761005680575416,1.7783532390712362,0.28276697482390645,-0.38630431562721124,daily,0.7737123364798038,1434,47.1,2.778353239071236,27783532.39071236,from_2021,StrategyGross
2021-01-31,2026-08-31,68,0.19591966135869932,1.7562040516559052,0.2828155685226757,-0.38630431562721157,daily,0.768546687935975,1434,47.1,2.756204051655905,27562040.516559053,from_2021,StrategyNet10bp
2021-01-31,2026-08-31,68,0.16477851055211468,1.3734439545218855,0.31382324142327633,-0.38630431562721146,daily,0.6374909364148874,1527,50.2,2.3734439545218855,23734439.545218855,from_2021,KOSPI
1987-01-31,2026-08-31,476,0.15164544475452835,269.59026413770914,0.19088184110035233,-0.30368607850764784,monthly_fallback,0.8351753708853358,3533,116.1,270.59026413770914,2705902641.3770914,longest,StrategyGross
1987-01-31,2026-08-31,476,0.14967190057688406,251.79318746971427,0.1909521717473891,-0.31816336687968294,monthly_fallback,0.8258470580142896,3533,116.1,252.79318746971427,2527931874.6971426,longest,StrategyNet10bp
1987-01-31,2026-08-31,476,0.08453508536254328,24.003245311923433,0.26727744198553793,-0.7312346555750733,monthly_fallback,0.43333823187117093,3896,128.0,25.003245311923433,250032453.11923432,longest,KOSPI
