Date,KPrice,EquityRet,BondMain,BondSynthetic,SignalAtMonthEnd,PositionStock,StrategyGross,StrategyNet10bp,StrategyNet20bp,BookProxyGross,KOSPI
1987-01-31,288.5344282094556,0.05781172041380733,,,1.0,1.0,0.05781172041380733,0.05781172041380733,0.05781172041380733,0.05781172041380733,0.05781172041380733
1987-02-28,319.8729796612791,0.10861286691608929,0.012368597146964477,0.012368597146964477,1.0,1.0,0.10861286691608929,0.10861286691608929,0.10861286691608929,0.10861286691608929,0.10861286691608929
1987-03-31,365.1840697457546,0.141653384204119,0.008258458879431219,0.008258458879431219,1.0,1.0,0.141653384204119,0.141653384204119,0.141653384204119,0.141653384204119,0.141653384204119
1987-04-30,367.978577472285,0.007652326478742477,0.0009743054849420396,0.0009743054849420396,1.0,1.0,0.007652326478742477,0.007652326478742477,0.007652326478742477,0.007652326478742477,0.007652326478742477
1987-05-31,383.24880985957134,0.041497612421300456,0.014336810167373759,0.014336810167373759,1.0,1.0,0.041497612421300456,0.041497612421300456,0.041497612421300456,0.041497612421300456,0.041497612421300456
1987-06-30,386.542322485409,0.008593666936746569,0.012404900982499578,0.012404900982499578,1.0,1.0,0.008593666936746569,0.008593666936746569,0.008593666936746569,0.008593666936746569,0.008593666936746569
1987-07-31,453.11170374885705,0.17221757461231402,0.00940125183744045,0.00940125183744045,1.0,1.0,0.17221757461231402,0.17221757461231402,0.17221757461231402,0.17221757461231402,0.17221757461231402
1987-08-31,483.0530013374153,0.06607928539659524,-0.00983624413373263,-0.00983624413373263,1.0,1.0,0.06607928539659524,0.06607928539659524,0.06607928539659524,0.06607928539659524,0.06607928539659524
1987-09-30,480.55797684087935,-0.00516511540064557,-0.0002750642527581393,-0.0002750642527581393,1.0,1.0,-0.00516511540064557,-0.00516511540064557,-0.00516511540064557,-0.00516511540064557,-0.00516511540064557
1987-10-31,508.40349399755263,0.05794413681305599,0.003937927421709508,0.003937927421709508,1.0,1.0,0.05794413681305599,0.05794413681305599,0.05794413681305599,0.05794413681305599,0.05794413681305599
1987-11-30,476.5657369203965,-0.06262300997740466,0.010897833643340293,0.010897833643340293,1.0,1.0,-0.06262300997740466,-0.06262300997740466,-0.06262300997740466,-0.06262300997740466,-0.06262300997740466
1987-12-31,487.74396855254355,0.02345580214050136,0.017021527680474602,0.017021527680474602,1.0,1.0,0.02345580214050136,0.02345580214050136,0.02345580214050136,0.02345580214050136,0.02345580214050136
1988-01-31,578.3661487214946,0.18579866899817654,0.011819559962325643,0.011819559962325643,1.0,1.0,0.18579866899817654,0.18579866899817654,0.18579866899817654,0.18579866899817654,0.18579866899817654
1988-02-29,643.1392327830521,0.11199321434136733,0.013958383865686042,0.013958383865686042,1.0,1.0,0.11199321434136733,0.11199321434136733,0.11199321434136733,0.11199321434136733,0.11199321434136733
1988-03-31,623.6774395319956,-0.030260622053547626,0.010610714821060352,0.010610714821060352,1.0,1.0,-0.030260622053547626,-0.030260622053547626,-0.030260622053547626,-0.030260622053547626,-0.030260622053547626
1988-04-30,642.240983819094,0.029764655750620816,0.010595185071995639,0.010595185071995639,1.0,1.0,0.029764655750620816,0.029764655750620816,0.029764655750620816,0.029764655750620816,0.029764655750620816
1988-05-31,671.9827597383396,0.04630937088814502,0.012032931967647542,0.012032931967647542,1.0,1.0,0.04630937088814502,0.04630937088814502,0.04630937088814502,0.04630937088814502,0.04630937088814502
1988-06-30,709.6090539378692,0.05599294573298397,0.013081637446305416,0.013081637446305416,1.0,1.0,0.05599294573298397,0.05599294573298397,0.05599294573298397,0.05599294573298397,0.05599294573298397
