period,series,switch_cost,start,end,months,CAGR,CumulativeReturn,AnnualizedVol,MDD,MDD_source,Sharpe,MaxRecoveryDays,MaxRecoveryMonths,FinalMultiple,FinalAssetKRW
from_2001,StrategyGross,0.0,2001-01-31,2026-08-31,308,0.10619194347300587,12.334680228563366,0.18473071001841856,-0.3036860785076484,monthly_fallback,0.6373006047064498,3533,116.1,13.334680228563366,133346802.28563367
from_2001,StrategyNet10bp,0.001,2001-01-31,2026-08-31,308,0.1039089451841233,11.646008854350919,0.18479951414526674,-0.31816336687968305,monthly_fallback,0.6258528964549929,3533,116.1,12.646008854350919,126460088.54350919
from_2001,StrategyNet20bp,0.002,2001-01-31,2026-08-31,308,0.10162837927734891,10.992267126456639,0.18487764044596222,-0.3323537020683873,monthly_fallback,0.6143827285224958,3564,117.1,11.992267126456639,119922671.26456639
from_2021,StrategyGross,0.0,2021-01-31,2026-08-31,68,0.19761005680575416,1.7783532390712362,0.28276697482390645,-0.22191168975801268,monthly_fallback,0.7737123364798038,1461,48.0,2.778353239071236,27783532.39071236
from_2021,StrategyNet10bp,0.001,2021-01-31,2026-08-31,68,0.19591966135869932,1.7562040516559052,0.2828155685226757,-0.22191168975801268,monthly_fallback,0.768546687935975,1461,48.0,2.756204051655905,27562040.516559053
from_2021,StrategyNet20bp,0.002,2021-01-31,2026-08-31,68,0.19422996251009206,1.7342095212133968,0.28286870184569235,-0.22191168975801268,monthly_fallback,0.7633705630576542,1461,48.0,2.7342095212133968,27342095.212133966
longest,StrategyGross,0.0,1987-01-31,2026-08-31,476,0.15164544475452835,269.59026413770914,0.19088184110035233,-0.30368607850764784,monthly_fallback,0.8351753708853358,3533,116.1,270.59026413770914,2705902641.3770914
longest,StrategyNet10bp,0.001,1987-01-31,2026-08-31,476,0.14967190057688406,251.79318746971427,0.1909521717473891,-0.31816336687968294,monthly_fallback,0.8258470580142896,3533,116.1,252.79318746971427,2527931874.6971426
longest,StrategyNet20bp,0.002,1987-01-31,2026-08-31,476,0.147699766980546,235.15055692387406,0.19103026924968441,-0.332353702068387,monthly_fallback,0.8164924160679131,3564,117.1,236.15055692387406,2361505569.2387404
