Date,StrategyDD,KOSPIDDD
2001-01-31,0.0,0.0
2001-02-28,0.0,-6.442685828033201
2001-03-31,-2.535497528176267,-15.324238157660485
2001-04-30,-4.662344382841155,-6.562444368921039
2001-05-31,-3.489121538434925,-0.9305562298716707
2001-06-30,-6.267834259454408,-3.6866210289524415
2001-07-31,-14.706611401219117,-12.357786732695697
2001-08-31,-12.43394416400565,-11.78165104950557
2001-09-30,-11.738762708152905,-22.37057176611479
2001-10-31,-12.078139095127883,-12.963052871777435
2001-11-30,-13.229341806480932,0.0
2001-12-31,-6.6104260304472255,0.0
2002-01-31,0.0,0.0
2002-02-28,0.0,0.0
2002-03-31,0.0,0.0
2002-04-30,-5.944750887692907,-5.9447508876928845
2002-05-31,-11.074387547734442,-11.074387547734432
2002-06-30,-17.068268608052893,-17.068268608052882
2002-07-31,-19.829607628575907,-19.829607628575886
2002-08-31,-18.48082960555161,-17.77395654212913
2002-09-30,-18.003838088921885,-27.821076844056382
2002-10-31,-17.35287567354895,-26.425333303557487
2002-11-30,-15.858955111009843,-19.069206547712103
2002-12-31,-15.57152552452009,-29.928091292793514
2003-01-31,-13.729178271249365,-33.91321824962594
2003-02-28,-12.23532288188488,-35.747783559257705
2003-03-31,-12.023117041751386,-40.18401482837939
2003-04-30,-11.238131627730318,-33.07688872015901
2003-05-31,-9.561239892959161,-29.272650126175225
2003-06-30,-4.444048309255544,-25.195962393086056
2003-07-31,0.0,-20.328725518658295
2003-08-31,0.0,-15.197972263784354
2003-09-30,-8.157004226631736,-22.115277250496867
2003-10-31,0.0,-12.642086692422772
2003-11-30,0.0,-11.098952634047187
2003-12-31,0.0,-9.47654034257126
2004-01-31,0.0,-5.256928470935018
2004-02-29,0.0,-1.357779316197305
2004-03-31,-0.3305336080233645,-1.6838250072578553
2004-04-30,-2.3295827579180806,-3.655731481274682
2004-05-31,-9.008172783047709,-10.24364099242947
2004-06-30,-8.182554399402953,-12.259094664909876
2004-07-31,-7.34551522381075,-17.892315594363417
2004-08-31,-4.990972248062542,-10.273789052904247
2004-09-30,-3.6566359259478487,-6.754282141182233
2004-10-31,-3.7817926576559135,-6.782197011992208
2004-11-30,0.0,-1.956274146363246
2004-12-31,0.0,0.0
2005-01-31,0.0,0.0
2005-02-28,0.0,0.0
2005-03-31,-4.516690397089073,-4.516690397089073
2005-04-30,-9.893608606233206,-9.893608606233206
2005-05-31,-4.068778674260387,-4.068778674260409
2005-06-30,-0.31640563202025573,-0.31640563202026684
2005-07-31,0.0,0.0
2005-08-31,-2.515994924817111,-2.515994924817122
2005-09-30,0.0,0.0
2005-10-31,-5.151472960909409,-5.15147296090942
2005-11-30,0.0,0.0
2005-12-31,0.0,0.0
2006-01-31,0.0,0.0
2006-02-28,-2.0173878256645406,-2.0173878256645406
2006-03-31,-2.8739204046205558,-2.8739204046205558
2006-04-30,0.0,0.0
2006-05-31,-7.1865777295683,-7.1865777295683
2006-06-30,-8.774907905024188,-8.774907905024188
2006-07-31,-8.245248207166023,-8.586843977375992
2006-08-31,-7.227062664309525,-4.718502813915338
2006-09-30,-6.040699426683815,-3.4034640389369875
2006-10-31,-6.510698042657859,-3.8866545047297807
2006-11-30,-1.8751140256311527,0.0
2006-12-31,-1.7209599606250792,0.0
2007-01-31,-6.806673847469469,-5.1747695997099825
2007-02-28,-6.025022962256166,-1.193480473488262
2007-03-31,-3.786776960165783,0.0
2007-04-30,0.0,0.0
2007-05-31,0.0,0.0
2007-06-30,0.0,0.0
2007-07-31,0.0,0.0
2007-08-31,-3.1051017188494123,-3.1051017188494123
2007-09-30,0.0,0.0
2007-10-31,0.0,0.0
2007-11-30,-7.693052764123298,-7.693052764123298
2007-12-31,-8.12262391941302,-8.12262391941302
2008-01-31,-21.317286969997816,-21.317286969997816
2008-02-29,-19.440630170801786,-17.106811632806263
2008-03-31,-19.396075986859117,-17.476329999757855
2008-04-30,-18.622100379685634,-11.593093929341114
2008-05-31,-19.44057936319431,-10.307286243552804
2008-06-30,-27.216955417227894,-18.88418044894302
2008-07-31,-27.718026605121125,-22.770661307116736
2008-08-31,-27.041528155829543,-28.603046226118124
2008-09-30,-27.004876574831236,-29.870934934741033
2008-10-31,-25.240142490255568,-46.09487371964065
2008-11-30,-25.507968123176028,-47.88628713950166
2008-12-31,-22.71343724017365,-45.54229120759378
2009-01-31,-19.950200042726053,-43.719398503523266
2009-02-28,-21.7104971717213,-48.51781001041239
2009-03-31,-20.667049499823843,-41.58122866067754
2009-04-30,-19.68863041330422,-33.68234980749207
2009-05-31,-18.214544126686604,-32.39751071506404
2009-06-30,-18.55553901395043,-32.679371382909174
2009-07-31,-8.7580879747314,-24.58096229750345
2009-08-31,-6.733211118401961,-22.90723297091799
2009-09-30,-1.9704148322034265,-18.97038525800904
2009-10-31,-7.387077603258341,-23.447708065961194
2009-11-30,-8.857105390448904,-24.66280843644816
2009-12-31,-1.4061913331741338,-18.50400755502819
2010-01-31,-6.113326941898311,-22.39484708332321
2010-02-28,-6.573259908396755,-22.77501997723803
2010-03-31,-0.8156022500780513,-18.015836501440752
2010-04-30,0.0,-15.656827372448323
2010-05-31,-5.759778589310727,-20.514807370995435
2010-06-30,-2.484554077953094,-17.752379107441186
2010-07-31,0.0,-14.796232171828416
2010-08-31,-0.9424042106938368,-15.599196067510912
2010-09-30,0.0,-9.300433445528677
2010-10-31,0.0,-8.809356611860364
2010-11-30,0.0,-7.759401409303268
2010-12-31,0.0,-0.6707509020024927
2011-01-31,0.0,0.0
2011-02-28,-6.301788155943056,-6.301788155943044
2011-03-31,0.0,0.0
2011-04-30,0.0,0.0
2011-05-31,-2.27562991479503,-2.27562991479503
2011-06-30,-4.181338831213866,-4.181338831213843
2011-07-31,-2.6980058019668407,-2.6980058019668185
2011-08-31,-14.242642631684587,-14.242642631684577
2011-09-30,-13.517141809510335,-19.28104873287233
2011-10-31,-13.630639563496217,-12.92351621084128
2011-11-30,-13.123275599114958,-15.729624696673895
2011-12-31,-12.771624857509178,-16.72261854804866
2012-01-31,-12.419941813584378,-10.79065481946393
2012-02-29,-12.185169562662034,-7.394314802313451
2012-03-31,-12.97341779932415,-8.13370066959802
2012-04-30,-14.358296927609416,-9.595595613858999
2012-05-31,-20.343740199062623,-15.91390100166028
2012-06-30,-19.894902049564568,-15.433140542611579
2012-07-31,-18.57261807648799,-14.156890291740376
2012-08-31,-17.38873042748359,-13.101862832746413
2012-09-30,-17.06631696469071,-8.946979510664265
2012-10-31,-20.64181433491017,-12.78530898210144
2012-11-30,-20.523550450535677,-11.834735171230959
2012-12-31,-20.61343295410818,-8.908664635370068
2013-01-31,-22.087113658312507,-10.510135196774218
2013-02-28,-19.5236933634228,-7.565819482201808
2013-03-31,-20.381476142193023,-8.551059132624184
2013-04-30,-22.007292205288064,-10.418453173748821
2013-05-31,-20.533970858418847,-8.726212848254844
2013-06-30,-26.003527438049534,-15.008484008100853
2013-07-31,-26.38131148329722,-12.695451476947206
2013-08-31,-26.47529551762321,-12.133043843164447
2013-09-30,-26.134442314363515,-8.9127698005802
2013-10-31,-24.98408767725355,-7.401612873798102
2013-11-30,-24.437936923281956,-6.727453520407234
2013-12-31,-25.676937923327113,-8.25685562590085
2014-01-31,-28.270599724495327,-11.458428360305772
2014-02-28,-27.719505909969055,-9.686821507416655
2014-03-31,-27.5868307424602,-9.430476746519734
2014-04-30,-28.455521820624885,-10.516977138791074
2014-05-31,-28.030309046892043,-9.003995694137812
2014-06-30,-27.84099105330481,-8.67330182999143
2014-07-31,-25.17729825821826,-5.302048933569314
2014-08-31,-25.45047903736528,-5.647795070152717
2014-09-30,-27.196601563707368,-7.857742341586249
2014-10-31,-29.202570187364753,-10.39655895929501
2014-11-30,-28.73336255020382,-9.650787279461415
2014-12-31,-28.652928449161095,-12.624295279972275
2015-01-31,-27.93418112171092,-11.088507361929622
2015-02-28,-27.58512194460557,-9.421810286631771
2015-03-31,-26.977900079781037,-6.902607236037895
2015-04-30,-23.972166079379097,-2.973508000510894
2015-05-31,-24.414286034811937,-3.5377401521648144
2015-06-30,-25.865383059110524,-5.389625791384667
2015-07-31,-27.43943017610828,-7.398419967523607
2015-08-31,-30.608611780653984,-11.44291995840102
2015-09-30,-30.162616192028135,-10.470451933076708
2015-10-31,-29.806283116692335,-7.429892900800972
2015-11-30,-31.172200406104878,-9.140378405006476
2015-12-31,-31.1366357139341,-10.538871353244916
2016-01-31,-30.559027735218102,-12.785308982101496
2016-02-29,-29.81283108281293,-12.57548942691894
2016-03-31,-29.7751735134981,-8.963400171504698
2016-04-30,-29.905153743858648,-9.040942181028678
2016-05-31,-30.2830187977681,-9.531281358900923
2016-06-30,-30.741729398095387,-10.126530314364457
2016-07-31,-30.203122894628798,-8.035632834023632
2016-08-31,-29.63450677444036,-7.193617836486732
2016-09-30,-29.323946172289862,-6.784013574412984
2016-10-31,-30.549588459618803,-8.400536408254144
2016-11-30,-31.40414886932248,-9.527632323158631
2016-12-31,-31.816336687968306,-7.567187870605219
2017-01-31,-30.502688305072233,-5.692039628528178
2017-02-28,-29.69362244877867,-4.594135999562132
2017-03-31,-27.38810408221546,-1.4655439800033032
2017-04-30,-25.868458574818998,0.0
2017-05-31,-21.097423774556834,0.0
2017-06-30,-19.60466869861177,0.0
2017-07-31,-19.237614309300344,0.0
2017-08-31,-20.566001622998808,-1.6448094027160853
2017-09-30,-19.514585753249612,-0.3429460900399861
2017-10-31,-15.179848203286195,0.0
2017-11-30,-16.76167783341397,-1.8649219514708104
2017-12-31,-17.06016162252436,-2.216823926164002
2018-01-31,-13.73347912159476,0.0
2018-02-28,-18.409052890204492,-5.419916928376045
2018-03-31,-18.252104538577886,-4.699469307918303
2018-04-30,-17.78505409759852,-1.9902901272569884
