period,variant,start,end,months,CAGR,CumulativeReturn,AnnualizedVol,MDD,MDD_source,Sharpe,MaxRecoveryDays,MaxRecoveryMonths,FinalMultiple,FinalAssetKRW
from_2001,extra_1m_lag,2001-01-31,2026-08-31,308,0.09891266771767282,10.25610874308923,0.18502743608166292,-0.289115287134333,monthly_fallback,0.6006848536906929,3533,116.1,11.25610874308923,112561087.4308923
from_2021,extra_1m_lag,2021-01-31,2026-08-31,68,0.16917274297900198,1.4246321807613223,0.28539952349138253,-0.2219116897580128,monthly_fallback,0.6836691186151745,1492,49.0,2.4246321807613223,24246321.807613224
longest,extra_1m_lag,1987-01-31,2026-08-31,476,0.142040911888331,193.10613609433045,0.19081673059718868,-0.32564372994183133,monthly_fallback,0.7911443062075043,3533,116.1,194.10613609433045,1941061360.9433045
