Date,Strategy_Gross,Strategy_Net,Korea_TR_USD,SPY_TR_USD
2002-04-30,0.9976580796252925,0.9976580796252931,0.9976580796252928,0.9414332364387439
2002-05-31,0.9904903839330063,0.990490383933007,0.9904903839330068,0.9358473534358026
2002-06-30,0.9418777943368096,0.9418777943368107,0.9418777943368107,0.8667744952897716
2002-07-31,0.9219005038677158,0.9219005038677166,0.921900503867717,0.7984557851909697
2002-08-31,0.9386487829110768,0.9386487829110776,0.9386487829110779,0.8038861481325478
2002-09-30,0.8141721666311817,0.8141721666311826,0.814172166631183,0.7195969151943514
2002-10-31,0.8364204101909007,0.8364204101909013,0.836420410190902,0.7788085382377444
2002-11-30,0.9345681640763595,0.93456816407636,0.9345681640763608,0.8268459102676167
2002-12-31,0.846533248172591,0.8465332481725913,0.8465332481725925,0.7800709738889893
2003-01-31,0.8169753743524222,0.8169753743524224,0.8169753743524236,0.760885783043509
2003-02-28,0.7702434177844002,0.7702434177844004,0.7702434177844014,0.7506296905813448
2003-03-31,0.690050386771697,0.6900503867716976,0.6900503867716983,0.7522360409355309
2003-04-30,0.7396685278638285,0.738928859335965,0.7963238946845504,0.8158841791781624
2003-05-31,0.7802292203250164,0.7794489911046918,0.8441558441558442,0.8606242566979757
2003-06-30,0.7885395457710634,0.7877510062252929,0.9060038322333405,0.8697908803947186
2003-07-31,0.8027548812156051,0.8019521263343903,0.9872258888652332,0.8854709679663878
2003-08-31,0.819312639454333,0.8184933268148794,1.051664182811724,0.9037348422299714
2003-09-30,0.8103770014554499,0.8095666244539952,0.9907742530693352,0.8938784736006249
2003-10-31,0.8537531257859177,0.8528993726601326,1.0923639202327728,0.9417240858744089
2003-11-30,0.8581870361033422,0.8564715202181725,1.1016961180895608,0.9520093254053307
2003-12-31,0.8930142605780332,0.8912291250711387,1.1464055070612447,0.9999078476334133
2004-01-31,0.9690813413354539,0.9671441477341252,1.2440564899581295,1.0196761869380129
2004-02-29,1.0052629578730494,1.0032534372202622,1.2905045773898234,1.0335135378039035
2004-03-31,1.039205681408701,1.037128309251566,1.3340784898161948,1.0198237342665366
2004-04-30,0.9901158792919936,0.9881366376492894,1.2710595415513448,1.0005272357872577
2004-05-31,0.9446746435488252,0.9427862389363715,1.2127244340359093,1.0176600174074786
2004-06-30,0.9170063485494868,0.915173252858737,1.1772053083528493,1.0364881954889242
2004-07-31,0.8429017542505607,0.8412167936438141,1.0820736640408772,1.0030941451356286
2004-08-31,0.8305411495893597,0.8280520169334992,1.1870697608402527,1.0055371147280396
2004-09-30,0.8492368264029317,0.8458449711221807,1.2352210630899156,1.0156299732509637
2004-10-31,0.8727054376752197,0.869219848667196,1.269356326733376,1.0287160234742105
2004-11-30,0.9703612078654164,0.9664855813207275,1.4113973458235753,1.0745117115303733
