Date,Strategy_Gross,Strategy_Net,Position,KODEX200_TR_KRW,SPY_TR_KRW
2010-03-02,1.0,0.9995,KODEX200_TR_KRW,1.0,1.0
2010-03-03,1.0027845489503755,1.0022831566759003,KODEX200_TR_KRW,1.0027845489503755,1.001855155283083
2010-03-04,0.9993042710895208,0.998804618953976,KODEX200_TR_KRW,0.9993042710895208,1.0051521617406973
2010-03-05,1.0136895445997256,1.0131826998274258,KODEX200_TR_KRW,1.0136895445997256,1.01443725262931
2010-03-08,1.0301630937136739,1.0296480121668172,KODEX200_TR_KRW,1.030163093713674,1.008818800315497
2010-03-09,1.0301630937136739,1.0296480121668172,KODEX200_TR_KRW,1.030163093713674,1.0111212482147518
2010-03-10,1.0313228637051273,1.030807202273275,KODEX200_TR_KRW,1.0313228637051275,1.0135629209359682
2010-03-11,1.0250583393584265,1.0245458101887477,KODEX200_TR_KRW,1.0250583393584267,1.0193262793561568
2010-03-12,1.028074515645401,1.0275604783875787,KODEX200_TR_KRW,1.0280745156454012,1.01526979149614
2010-03-15,1.0176339240344603,1.0171251070724436,KODEX200_TR_KRW,1.0176339240344607,1.020130093239744
2010-03-16,1.0201861197333664,1.0196760266735003,KODEX200_TR_KRW,1.0201861197333666,1.0285289868787948
2010-03-17,1.0401394627649223,1.0396193930335405,KODEX200_TR_KRW,1.0401394627649225,1.0321582036674102
2010-03-18,1.0357313447137424,1.035213479041386,KODEX200_TR_KRW,1.0357313447137428,1.0319032280032552
2010-03-19,1.0422274359041364,1.0417063221861849,KODEX200_TR_KRW,1.0422274359041366,1.0297697437923707
2010-03-22,1.0301630937136736,1.0296480121668175,KODEX200_TR_KRW,1.030163093713674,1.0363711370782183
2010-03-23,1.0406039272962377,1.0400836253325902,KODEX200_TR_KRW,1.0406039272962382,1.0489962943014672
2010-03-24,1.0406039272962377,1.0400836253325902,KODEX200_TR_KRW,1.0406039272962382,1.0425303886443105
2010-03-25,1.0417639392593148,1.0412430572896858,KODEX200_TR_KRW,1.0417639392593152,1.0464109207271866
2010-03-26,1.0475642410463235,1.047040458925801,KODEX200_TR_KRW,1.047564241046324,1.0375614707498095
2010-03-29,1.0450119243616058,1.0444894183994258,KODEX200_TR_KRW,1.0450119243616063,1.0389074079942546
2010-03-30,1.0517407922538102,1.051214921857684,KODEX200_TR_KRW,1.051740792253811,1.0409958437351787
2010-03-31,1.0477964128190753,1.0472725146126665,KODEX200_TR_KRW,1.047796412819076,1.030664490221037
2010-04-01,1.0645017707483402,1.0639695198629666,KODEX200_TR_KRW,1.0645017707483408,1.0187887413164718
2010-04-02,1.0691423025438953,1.068607731392624,KODEX200_TR_KRW,1.069142302543896,1.0187887413164718
2010-04-05,1.074710553543964,1.0741731982671927,KODEX200_TR_KRW,1.0747105535439647,1.0436558591911158
2010-04-06,1.0751747761036559,1.0746371887156048,KODEX200_TR_KRW,1.0751747761036567,1.045930041542775
2010-04-07,1.0733186117797584,1.0727819524738693,KODEX200_TR_KRW,1.0733186117797593,1.0406974806304237
2010-04-08,1.0758705655070409,1.0753326302242883,KODEX200_TR_KRW,1.075870565507042,1.0364845548215094
2010-04-09,1.0709981039103573,1.070462604858403,KODEX200_TR_KRW,1.0709981039103582,1.0432918019164286
2010-04-12,1.062413797609126,1.0618825907103222,KODEX200_TR_KRW,1.0624137976091268,1.051329883640476
2010-04-13,1.0605575122994169,1.0600272335432679,KODEX200_TR_KRW,1.0605575122994175,1.0439508900152048
2010-04-14,1.076566354910426,1.0760280717329715,KODEX200_TR_KRW,1.076566354910427,1.0488668416026559
2010-04-15,1.0802788045440326,1.0797386651417613,KODEX200_TR_KRW,1.0802788045440335,1.053153939372151
2010-04-16,1.0735505415808868,1.0730137663100972,KODEX200_TR_KRW,1.0735505415808877,1.0363955873424902
2010-04-19,1.0552210701146647,1.054693459579608,KODEX200_TR_KRW,1.0552210701146656,1.0491281687612357
2010-04-20,1.0617172822908705,1.0611864236497257,KODEX200_TR_KRW,1.0617172822908711,1.0475100579547485
2010-04-21,1.078654932978699,1.0781156055122103,KODEX200_TR_KRW,1.0786549329786996,1.049101814110065
2010-04-22,1.075174776103656,1.0746371887156048,KODEX200_TR_KRW,1.0751747761036567,1.0493869208665345
