Date,Strategy_Gross,Strategy_Net,Position,Korea_TR_USD,SPY_TR_USD
2002-04-01,1.0,0.9995,Korea_TR_USD,1.0,1.0
2002-04-02,1.0328933361720247,1.0323768895039387,Korea_TR_USD,1.0328933361720247,0.9945012993483688
2002-04-03,1.04630615286353,1.0457829997870982,Korea_TR_USD,1.04630615286353,0.9875186349687376
2002-04-04,1.0432545596480023,1.0427329323681782,Korea_TR_USD,1.0432545596480023,0.9834169227777664
2002-04-05,1.0423674685969768,1.0418462848626782,Korea_TR_USD,1.0423674685969768,0.9835908733124469
2002-04-08,1.0209353488042014,1.0204248811297991,Korea_TR_USD,1.0209353488042014,0.9856862524614518
2002-04-09,1.007274146618409,1.0067705095450996,Korea_TR_USD,1.007274146618409,0.9787906668911457
2002-04-10,0.9725711447022921,0.9720848591299409,Korea_TR_USD,0.9725711447022922,0.989875354087703
2002-04-11,0.9818323752749981,0.9813414590873606,Korea_TR_USD,0.9818323752749982,0.9652610428044637
2002-04-12,0.9985451706763183,0.9980458980909801,Korea_TR_USD,0.9985451706763183,0.9725063931998594
2002-04-15,1.0250514512809594,1.024538925555319,Korea_TR_USD,1.0250514512809594,0.9650868851858133
2002-04-16,1.0328933361720245,1.0323768895039387,Korea_TR_USD,1.0328933361720247,0.9880431786643871
2002-04-17,1.0716414732808173,1.0711056525441771,Korea_TR_USD,1.0716414732808175,0.9859474888894273
2002-04-18,1.0818607621886307,1.0813198318075368,Korea_TR_USD,1.081860762188631,0.9816712049118661
2002-04-19,1.063551202895465,1.0630194272940177,Korea_TR_USD,1.0635512028954652,0.9852492017430672
2002-04-22,1.0636576538215878,1.0631258249946776,Korea_TR_USD,1.0636576538215883,0.9688401785974989
2002-04-23,1.075189837484919,1.074652242566177,Korea_TR_USD,1.0751898374849194,0.964650869887278
2002-04-24,1.0689092328436587,1.0683747782272375,Korea_TR_USD,1.0689092328436591,0.954962653441456
2002-04-25,1.0238450074515646,1.0233330849478393,Korea_TR_USD,1.023845007451565,0.9554858510913015
2002-04-26,1.0222837272017598,1.0217725853381594,Korea_TR_USD,1.0222837272017602,0.9373310065378481
2002-04-29,0.989319423745653,0.9888247640337807,Korea_TR_USD,0.9893194237456533,0.9327053719031368
2002-04-30,0.9976580796252925,0.9971592505854805,Korea_TR_USD,0.9976580796252928,0.9414332364387439
2002-05-01,0.9976580796252925,0.9971592505854805,Korea_TR_USD,0.9976580796252928,0.9529549743536857
2002-05-02,1.0163934426229504,1.0158852459016396,Korea_TR_USD,1.0163934426229508,0.9492892774612499
2002-05-03,1.0150450642253916,1.0145375416932798,Korea_TR_USD,1.015045064225392,0.9389895420524382
2002-05-06,0.9770065999574191,0.9765180966574413,Korea_TR_USD,0.9770065999574196,0.9205732539870395
2002-05-07,0.9781420765027319,0.9776530054644813,Korea_TR_USD,0.9781420765027323,0.917343468851154
2002-05-08,0.9963097012277333,0.9958115463771203,Korea_TR_USD,0.996309701227734,0.9514711141676705
2002-05-09,0.9912710240579088,0.9907753885458807,Korea_TR_USD,0.9912710240579093,0.9404731951544836
2002-05-10,0.9661840891349083,0.9657009970903416,Korea_TR_USD,0.9661840891349089,0.9227551942354449
2002-05-13,0.9721808246398403,0.9716947342275213,Korea_TR_USD,0.9721808246398411,0.9415211435839484
2002-05-14,0.9905968348591293,0.9901015364417006,Korea_TR_USD,0.99059683485913,0.9620320860044577
2002-05-15,1.0243417784401383,1.0238296075509192,Korea_TR_USD,1.0243417784401392,0.9582793103026968
2002-05-16,1.0268256333830097,1.026312220566319,Korea_TR_USD,1.0268256333830104,0.9632541920525728
2002-05-17,1.0530125612092818,1.052486054928678,Korea_TR_USD,1.0530125612092824,0.9679674232065337
2002-05-20,1.0482222695337444,1.0476981583989784,Korea_TR_USD,1.048222269533745,0.9574935301790717
2002-05-21,1.0119579873678228,1.0114520083741396,Korea_TR_USD,1.0119579873678235,0.94876535501751
2002-05-22,1.05120289546519,1.0506772940174582,Korea_TR_USD,1.0512028954651906,0.9508599058306355
2002-05-23,1.0285643318430198,1.0280500496770992,Korea_TR_USD,1.0285643318430204,0.9609853800788121
2002-05-24,1.0427577886594275,1.0422364097650987,Korea_TR_USD,1.0427577886594281,0.9486780691242149
2002-05-28,1.04215456674473,1.0416334894613586,Korea_TR_USD,1.0421545667447307,0.9435277872518694
2002-05-29,1.03101270314385,1.0304971967922791,Korea_TR_USD,1.0310127031438507,0.9365454334981929
2002-05-30,1.0110708963167974,1.0105653608686398,Korea_TR_USD,1.011070896316798,0.9339273744092671
2002-05-31,0.9904903839330063,0.9899951387410406,Korea_TR_USD,0.9904903839330068,0.9358473534358026
2002-06-03,1.001348378397558,1.0008477042083603,Korea_TR_USD,1.0013483783975587,0.9109718057245878
2002-06-04,1.0076999503229005,1.00719610034774,Korea_TR_USD,1.0076999503229012,0.9132409283243035
2002-06-05,1.0048612589596189,1.0043588283301401,Korea_TR_USD,1.0048612589596195,0.9217948423252299
2002-06-06,1.0048612589596189,1.0043588283301401,Korea_TR_USD,1.0048612589596195,0.9030286858927566
2002-06-07,0.9855581576893044,0.9850653786104608,Korea_TR_USD,0.9855581576893052,0.9019814622571862
2002-06-10,1.0026612731530755,1.0021599425165002,Korea_TR_USD,1.0026612731530764,0.9054727944470019
2002-06-11,1.0096515506351564,1.00914672485984,Korea_TR_USD,1.0096515506351573,0.8899362160664441
