Date,Strategy_Gross,Strategy_Net,Position,KODEX200_TR,SPY_TR_USD
2010-03-02,1.0,0.9995,KODEX200_TR,1.0,1.0
2010-03-03,1.0027845489503755,1.0022831566759003,KODEX200_TR,1.0027845489503755,1.000891180249383
2010-03-04,0.9993042710895208,0.998804618953976,KODEX200_TR,0.9993042710895208,1.0039215211055554
2010-03-05,1.0136895445997256,1.0131826998274258,KODEX200_TR,1.0136895445997256,1.018270971823816
2010-03-08,1.0301630937136739,1.0296480121668172,KODEX200_TR,1.030163093713674,1.0184494629912368
2010-03-09,1.0301630937136739,1.0296480121668172,KODEX200_TR,1.030163093713674,1.020142714576405
2010-03-10,1.0313228637051273,1.030807202273275,KODEX200_TR,1.0313228637051275,1.0246881803039598
2010-03-11,1.0250583393584265,1.0245458101887477,KODEX200_TR,1.0250583393584267,1.0289663192907221
2010-03-12,1.028074515645401,1.0275604783875787,KODEX200_TR,1.0280745156454012,1.029055337090911
2010-03-15,1.0176339240344603,1.0171251070724436,KODEX200_TR,1.0176339240344607,1.0293228460585204
2010-03-16,1.0201861197333664,1.0196760266735003,KODEX200_TR,1.0201861197333666,1.0375225061508384
2010-03-17,1.0401394627649223,1.0396193930335405,KODEX200_TR,1.0401394627649225,1.043672296776781
2010-03-18,1.0357313447137424,1.035213479041386,KODEX200_TR,1.0357313447137428,1.0431373699549709
2010-03-19,1.0422274359041364,1.0417063221861849,KODEX200_TR,1.0422274359041366,1.0378574390408017
2010-03-22,1.0301630937136736,1.0296480121668175,KODEX200_TR,1.030163093713674,1.0434056989432576
2010-03-23,1.0406039272962377,1.0400836253325902,KODEX200_TR,1.0406039272962382,1.0507443373244347
2010-03-24,1.0406039272962377,1.0400836253325902,KODEX200_TR,1.0406039272962382,1.0456432620313205
2010-03-25,1.0417639392593148,1.0412430572896858,KODEX200_TR,1.0417639392593152,1.0439429036002825
2010-03-26,1.0475642410463235,1.047040458925801,KODEX200_TR,1.047564241046324,1.0433164989162516
2010-03-29,1.0450119243616058,1.0444894183994258,KODEX200_TR,1.0450119243616063,1.0499390770193489
2010-03-30,1.0517407922538102,1.051214921857684,KODEX200_TR,1.051740792253811,1.0506551372974287
2010-03-31,1.0477964128190753,1.0472725146126665,KODEX200_TR,1.047796412819076,1.0470752003606634
2010-04-01,1.0645017707483402,1.0639695198629666,KODEX200_TR,1.0645017707483408,1.0542345275537426
2010-04-02,1.0691423025438953,1.068607731392624,KODEX200_TR,1.069142302543896,1.0542345275537426
2010-04-05,1.074710553543964,1.0741731982671927,KODEX200_TR,1.0747105535439647,1.0628259753029816
2010-04-06,1.0751747761036559,1.0746371887156048,KODEX200_TR,1.0751747761036567,1.0653318673793315
2010-04-07,1.0733186117797584,1.0727819524738693,KODEX200_TR,1.0733186117797593,1.059246585046668
2010-04-08,1.0758705655070409,1.0753326302242883,KODEX200_TR,1.075870565507042,1.062915539783622
2010-04-09,1.0709981039103573,1.070462604858403,KODEX200_TR,1.0709981039103582,1.0698963758092808
2010-04-12,1.062413797609126,1.0618825907103222,KODEX200_TR,1.0624137976091268,1.071596460900093
2010-04-13,1.0605575122994169,1.0600272335432679,KODEX200_TR,1.0605575122994175,1.0724017212051788
2010-04-14,1.076566354910426,1.0760280717329715,KODEX200_TR,1.076566354910427,1.0845729236643662
2010-04-15,1.0802788045440326,1.0797386651417613,KODEX200_TR,1.0802788045440335,1.0854680217903183
2010-04-16,1.0735505415808868,1.0730137663100972,KODEX200_TR,1.0735505415808877,1.0681954706977912
2010-04-19,1.0552210701146647,1.054693459579608,KODEX200_TR,1.0552210701146656,1.0722230478109411
2010-04-20,1.0617172822908705,1.0611864236497257,KODEX200_TR,1.0617172822908711,1.0817987025997298
2010-04-21,1.078654932978699,1.0781156055122103,KODEX200_TR,1.0786549329786996,1.0798298329535878
2010-04-22,1.075174776103656,1.0746371887156048,KODEX200_TR,1.0751747761036567,1.0830515119677917
2010-04-23,1.0737822294103918,1.0732453382956872,KODEX200_TR,1.0737822294103925,1.0901218213606823
2010-04-26,1.0851512661407163,1.0846086905076466,KODEX200_TR,1.0851512661407172,1.0860051353339348
2010-04-27,1.084223062992956,1.08368095146146,KODEX200_TR,1.0842230629929568,1.0603206299070835
2010-04-28,1.070069900762597,1.0695348658122164,KODEX200_TR,1.0700699007625978,1.068374781885889
2010-04-29,1.0705401726128765,1.0700049025265708,KODEX200_TR,1.0705401726128774,1.081620029205492
2010-04-30,1.0790030091591092,1.0784635076545304,KODEX200_TR,1.0790030091591098,1.063273433252549
2010-05-03,1.0620776990240792,1.0604851135143933,SPY_TR_USD,1.0620776990240801,1.0770553385487258
2010-05-04,1.0371035510104458,1.0355484142357063,SPY_TR_USD,1.0620776990240801,1.051728999931027
2010-05-05,1.03092580401615,1.0293799307730285,SPY_TR_USD,1.0620776990240801,1.0454641330700398
2010-05-06,0.9966854398197668,0.9951909100027577,SPY_TR_USD,1.0385697928432538,1.0107409041711992
2010-05-07,0.9818593501731648,0.9803870520775809,SPY_TR_USD,1.0150621286340509,0.9957057339399178
2010-05-10,1.0251016923593308,1.0235645523716388,SPY_TR_USD,1.0343386770346668,1.0395578885852483
2010-05-11,1.0221890525294746,1.0206562800452075,SPY_TR_USD,1.0282264738249616,1.0366041741056968
2010-05-12,1.0364855876336256,1.03493137749497,SPY_TR_USD,1.0249355387594985,1.0511023219067703
2010-05-13,1.0236014375663471,1.0220665472107175,SPY_TR_USD,1.0460923276605505,1.0380364768886738
2010-05-14,1.0050687356617183,1.0035616350925947,SPY_TR_USD,1.0430361050698862,1.0192424229861636
2010-05-17,1.0055985597432984,1.0040906647029644,SPY_TR_USD,1.017882912835046,1.0197797187565971
2010-05-18,0.9919194489377089,0.9904320657240279,SPY_TR_USD,1.0143570838160667,1.0059077022993288
2010-05-19,0.9862717955641224,0.984792881006675,SPY_TR_USD,1.0037788708442583,1.000180404549001
2010-05-20,0.9490305623962667,0.9476074910679545,SPY_TR_USD,0.9882632268948556,0.962413987803377
2010-05-21,0.9628857720995833,0.961441924884321,SPY_TR_USD,0.9882632268948556,0.9764645865414744
2010-05-24,0.9505311765747557,0.949105855075483,SPY_TR_USD,0.994845883433558,0.9639357639535857
2010-05-25,0.951502056518041,0.9500752791842932,SPY_TR_USD,0.9682816941691614,0.9649203354467696
2010-05-26,0.945765455231827,0.944347279931708,SPY_TR_USD,0.9739238070073046,0.9591028354219412
2010-05-27,0.9774469047822069,0.9759812231484871,SPY_TR_USD,0.9906144046675358,0.9912310633308347
2010-05-28,0.9651803587062429,0.963733070758364,SPY_TR_USD,1.0009577841787338,0.9787915318833607
2010-05-31,0.9651803587062429,0.963733070758364,SPY_TR_USD,1.013181343697462,0.9787915318833607
2010-06-01,0.9489429621792849,0.9465725021852907,KODEX200_TR,1.0075394728309421,0.9623251522300053
2010-06-02,0.9489429621792849,0.9465725021852907,KODEX200_TR,1.0075394728309421,0.9873830707460084
2010-06-03,0.9704193691784411,0.9679952611090248,KODEX200_TR,1.030342031729255,0.9907836053812672
2010-06-04,0.9717480205269641,0.9693205934858148,KODEX200_TR,1.031752726294282,0.9559707208883776
2010-06-07,0.9562496330000385,0.9538609209386807,KODEX200_TR,1.0152973250520965,0.9440680296442941
2010-06-08,0.963777024031949,0.9613695085440297,KODEX200_TR,1.0232895267906141,0.954180615749882
2010-06-09,0.9582421542247617,0.9558484648443882,KODEX200_TR,1.01741288295639,0.9490798137969937
2010-06-10,0.9622276524722692,0.9598240073152807,KODEX200_TR,1.0216444827082238,0.9768227533506273
2010-06-11,0.9768404243661999,0.9744002764977141,KODEX200_TR,1.0371595822214736,0.9815658440614057
2010-06-14,0.9861393885126462,0.9836760118270731,KODEX200_TR,1.047032750375298,0.9800445234782398
2010-06-15,0.987467698012623,0.9850010032092549,KODEX200_TR,1.0484430819828896,1.0023284942698323
2010-06-16,0.9958811604755896,0.9933934488387822,KODEX200_TR,1.05737606939359,1.0019702363472707
2010-06-17,0.9949953169435641,0.9925098181443427,KODEX200_TR,1.056435525693031,1.0035813947513028
2010-06-18,0.9974309878333307,0.9949394047270088,KODEX200_TR,1.0590215974192274,1.0046691977364148
2010-06-21,1.0109367401860179,1.008411419703566,KODEX200_TR,1.0733613197713079,1.001792018520076
2010-06-22,1.0091652810209975,1.0066443856444256,KODEX200_TR,1.071480474341813,0.985246461314659
2010-06-23,1.0029659715900334,1.0004605620915197,KODEX200_TR,1.0648983622392634,0.9821895153431791
2010-06-24,1.0098294927457436,1.0073069381679511,KODEX200_TR,1.0721857006385147,0.9659139271674035
2010-06-25,1.0003093525900795,0.9978105793271558,KODEX200_TR,1.0620776990240801,0.9699601825293137
