test,period,series,start,end,final_multiple,final_asset,cagr,annualized_volatility,sharpe_rf0,mdd,mdd_date,MDD_source,max_recovery_days,max_recovery_months,max_recovery_peak,max_recovery_date,switch_count,switches_per_year,annualized_two_way_notional_turnover
usd_common_tr,from_2001,Strategy_Gross,2002-04-30,2026-08-31,23.738638657818523,237386.38657818522,0.13849902008925685,0.23389277685296347,0.6712944959898661,-0.6161583328063676,2009-03-09,daily,2186.0,71.81930184804928,2007-10-31,2013-10-25,,,
usd_common_tr,from_2001,Strategy_Net,2002-04-30,2026-08-31,23.082852696756387,230828.52696756387,0.13719353342461793,0.23386534356660177,0.6663899229368601,-0.6165421744735612,2009-03-09,daily,2190.0,71.95071868583162,2007-10-31,2013-10-29,,,
usd_common_tr,from_2001,Korea_TR_USD,2002-04-30,2026-08-31,14.73568235043645,147356.8235043645,0.11648101179547021,0.28375173929272124,0.5293400807424672,-0.7170161112337232,2008-11-20,daily,1620.0,53.223819301848046,2021-05-10,2025-10-16,,,
usd_common_tr,from_2001,SPY_TR_USD,2002-04-30,2026-08-31,10.409984429356307,104099.84429356306,0.10070340622400731,0.14868613312628146,0.7227094009758988,-0.5518943082325594,2009-03-09,daily,1773.0,58.25051334702259,2007-10-09,2012-08-16,,,
usd_common_tr,from_2001,TURNOVER,2002-04-01,2026-08-31,,,,,,,,,,,,,28.0,1.146372603968165,2.29274520793633
usd_common_tr,from_2021,Strategy_Gross,2021-01-31,2026-08-31,2.9406862528248157,29406.862528248155,0.20967140912105497,0.32074371781754724,0.7470406354835182,-0.36002734020569094,2026-07-30,daily,1150.0,37.782340862423,2021-05-10,2024-07-03,,,
usd_common_tr,from_2021,Strategy_Net,2021-01-31,2026-08-31,2.9230861868320184,29230.861868320182,0.2083906182534725,0.3207857857184026,0.7436405008305703,-0.36002734020569094,2026-07-30,daily,1152.0,37.84804928131417,2021-05-10,2024-07-05,,,
usd_common_tr,from_2021,Korea_TR_USD,2021-01-31,2026-08-31,2.2646543967280164,22646.543967280162,0.15517398610906974,0.36239158225479934,0.5718010259545672,-0.4804499223159284,2022-09-29,daily,1620.0,53.223819301848046,2021-05-10,2025-10-16,,,
usd_common_tr,from_2021,SPY_TR_USD,2021-01-31,2026-08-31,2.209479295823739,22094.792958237387,0.15015678982741765,0.1514034550806813,1.0039531332424654,-0.2449638873467448,2022-10-12,daily,709.0,23.293634496919918,2022-01-03,2023-12-13,,,
usd_common_tr,from_2021,TURNOVER,2021-01-01,2026-08-31,,,,,,,,,,,,,6.0,1.0591855969067183,2.1183711938134366
usd_common_tr,longest,Strategy_Gross,2002-04-30,2026-08-31,23.738638657818523,237386.38657818522,0.13849902008925685,0.23389277685296347,0.6712944959898661,-0.6161583328063676,2009-03-09,daily,2186.0,71.81930184804928,2007-10-31,2013-10-25,,,
usd_common_tr,longest,Strategy_Net,2002-04-30,2026-08-31,23.082852696756387,230828.52696756387,0.13719353342461793,0.23386534356660177,0.6663899229368601,-0.6165421744735612,2009-03-09,daily,2190.0,71.95071868583162,2007-10-31,2013-10-29,,,
usd_common_tr,longest,Korea_TR_USD,2002-04-30,2026-08-31,14.73568235043645,147356.8235043645,0.11648101179547021,0.28375173929272124,0.5293400807424672,-0.7170161112337232,2008-11-20,daily,1620.0,53.223819301848046,2021-05-10,2025-10-16,,,
usd_common_tr,longest,SPY_TR_USD,2002-04-30,2026-08-31,10.409984429356307,104099.84429356306,0.10070340622400731,0.14868613312628146,0.7227094009758988,-0.5518943082325594,2009-03-09,daily,1773.0,58.25051334702259,2007-10-09,2012-08-16,,,
usd_common_tr,longest,TURNOVER,2002-04-01,2026-08-31,,,,,,,,,,,,,28.0,1.146372603968165,2.29274520793633
local_etf_tr,from_2007,Strategy_Gross,2010-03-31,2026-08-31,14.80469784649207,148046.9784649207,0.17742514395689746,0.2281373555061116,0.828533718748346,-0.40807965612592445,2026-07-30,daily,948.0,31.145790554414784,2021-07-06,2024-02-09,,,
local_etf_tr,from_2007,Strategy_Net,2010-03-31,2026-08-31,14.511399976297378,145113.99976297378,0.17599811337178073,0.2282799557888414,0.8227764449085615,-0.40807965612592423,2026-07-30,daily,948.0,31.145790554414784,2021-07-06,2024-02-09,,,
local_etf_tr,from_2007,KODEX200_TR,2010-03-31,2026-08-31,6.666182723419659,66661.8272341966,0.12184266403767707,0.23535133515732465,0.6019810001381453,-0.40807965612592456,2026-07-30,daily,2143.0,70.40657084188912,2011-05-02,2017-03-14,,,
local_etf_tr,from_2007,SPY_TR_USD,2010-03-31,2026-08-31,9.160430576457225,91604.30576457224,0.14366263561678094,0.14364118065193757,1.0112038978703508,-0.33717256183427213,2020-03-23,daily,709.0,23.293634496919918,2022-01-03,2023-12-13,,,
local_etf_tr,from_2007,TURNOVER,2010-03-02,2026-08-31,,,,,,,,,,,,,20.0,1.212020905923345,2.42404181184669
local_etf_tr,from_2021,Strategy_Gross,2021-01-31,2026-08-31,3.7029344714026537,37029.344714026534,0.2598871654335744,0.32321872641114435,0.8696741890322146,-0.40807965612592445,2026-07-30,daily,948.0,31.145790554414784,2021-07-06,2024-02-09,,,
local_etf_tr,from_2021,Strategy_Net,2021-01-31,2026-08-31,3.69553230539434,36955.3230539434,0.2594423554336034,0.3232437109635696,0.8685136250715012,-0.40807965612592423,2026-07-30,daily,948.0,31.145790554414784,2021-07-06,2024-02-09,,,
local_etf_tr,from_2021,KODEX200_TR,2021-01-31,2026-08-31,3.0527051672877654,30527.051672877653,0.21767845713068779,0.3383685882095623,0.742629765979501,-0.40807965612592445,2026-07-30,daily,1445.0,47.474332648870636,2021-07-06,2025-06-20,,,
local_etf_tr,from_2021,SPY_TR_USD,2021-01-31,2026-08-31,2.209479295823739,22094.792958237387,0.15015678982741765,0.15140345508068134,1.0039531332424647,-0.2449638873467448,2022-10-12,daily,709.0,23.293634496919918,2022-01-03,2023-12-13,,,
local_etf_tr,from_2021,TURNOVER,2021-01-04,2026-08-31,,,,,,,,,,,,,2.0,0.35306186563557274,0.7061237312711455
local_etf_tr,longest,Strategy_Gross,2010-03-31,2026-08-31,14.80469784649207,148046.9784649207,0.17742514395689746,0.2281373555061116,0.828533718748346,-0.40807965612592445,2026-07-30,daily,948.0,31.145790554414784,2021-07-06,2024-02-09,,,
local_etf_tr,longest,Strategy_Net,2010-03-31,2026-08-31,14.511399976297378,145113.99976297378,0.17599811337178073,0.2282799557888414,0.8227764449085615,-0.40807965612592423,2026-07-30,daily,948.0,31.145790554414784,2021-07-06,2024-02-09,,,
local_etf_tr,longest,KODEX200_TR,2010-03-31,2026-08-31,6.666182723419659,66661.8272341966,0.12184266403767707,0.23535133515732465,0.6019810001381453,-0.40807965612592456,2026-07-30,daily,2143.0,70.40657084188912,2011-05-02,2017-03-14,,,
local_etf_tr,longest,SPY_TR_USD,2010-03-31,2026-08-31,9.160430576457225,91604.30576457224,0.14366263561678094,0.14364118065193757,1.0112038978703508,-0.33717256183427213,2020-03-23,daily,709.0,23.293634496919918,2022-01-03,2023-12-13,,,
local_etf_tr,longest,TURNOVER,2010-03-02,2026-08-31,,,,,,,,,,,,,20.0,1.212020905923345,2.42404181184669
krw_investor_tr,from_2007,Strategy_Gross,2010-03-31,2026-08-31,19.862530303946688,198625.30303946687,0.19858478937987556,0.2208045179767312,0.9301578867146948,-0.40807965612592434,2026-07-30,daily,822.0,27.006160164271048,2011-05-02,2013-08-01,,,
krw_investor_tr,from_2007,Strategy_Net,2010-03-31,2026-08-31,19.547102235766324,195471.02235766326,0.19742250772557712,0.22080003945507187,0.9257090897060469,-0.40807965612592445,2026-07-30,daily,926.0,30.42299794661191,2011-05-02,2013-11-13,,,
krw_investor_tr,from_2007,KODEX200_TR_KRW,2010-03-31,2026-08-31,6.666182723419659,66661.8272341966,0.12184266403767707,0.23535133515732465,0.6019810001381453,-0.40807965612592456,2026-07-30,daily,2143.0,70.40657084188912,2011-05-02,2017-03-14,,,
krw_investor_tr,from_2007,SPY_TR_KRW,2010-03-31,2026-08-31,10.9612361940965,109612.361940965,0.15617024982206784,0.13142009850084982,1.1761270156455201,-0.30151152067195364,2020-03-23,daily,326.0,10.710472279260781,2011-02-14,2012-01-06,,,
krw_investor_tr,from_2007,TURNOVER,2010-03-02,2026-08-31,,,,,,,,,,,,,16.0,0.969616724738676,1.939233449477352
krw_investor_tr,from_2021,Strategy_Gross,2021-01-31,2026-08-31,4.6219312131358326,46219.312131358325,0.31015231986815506,0.31524616639858777,1.0106062717335489,-0.40807965612592434,2026-07-30,daily,288.0,9.462012320328542,2022-08-18,2023-06-02,,,
krw_investor_tr,from_2021,Strategy_Net,2021-01-31,2026-08-31,4.60347120138748,46034.7120138748,0.30922737040522374,0.31522373605962584,1.0083633728785169,-0.40807965612592445,2026-07-30,daily,408.0,13.404517453798768,2021-07-06,2022-08-18,,,
krw_investor_tr,from_2021,KODEX200_TR_KRW,2021-01-31,2026-08-31,3.0527051672877654,30527.051672877653,0.21767845713068779,0.3383685882095623,0.742629765979501,-0.40807965612592445,2026-07-30,daily,1445.0,47.474332648870636,2021-07-06,2025-06-20,,,
krw_investor_tr,from_2021,SPY_TR_KRW,2021-01-31,2026-08-31,2.7793288620714725,27793.288620714724,0.19768425947878243,0.1370202079192607,1.3939896820891418,-0.17240896072671885,2025-04-21,daily,288.0,9.462012320328542,2022-08-18,2023-06-02,,,
krw_investor_tr,from_2021,TURNOVER,2021-01-04,2026-08-31,,,,,,,,,,,,,4.0,0.7061237312711455,1.412247462542291
krw_investor_tr,longest,Strategy_Gross,2010-03-31,2026-08-31,19.862530303946688,198625.30303946687,0.19858478937987556,0.2208045179767312,0.9301578867146948,-0.40807965612592434,2026-07-30,daily,822.0,27.006160164271048,2011-05-02,2013-08-01,,,
krw_investor_tr,longest,Strategy_Net,2010-03-31,2026-08-31,19.547102235766324,195471.02235766326,0.19742250772557712,0.22080003945507187,0.9257090897060469,-0.40807965612592445,2026-07-30,daily,926.0,30.42299794661191,2011-05-02,2013-11-13,,,
krw_investor_tr,longest,KODEX200_TR_KRW,2010-03-31,2026-08-31,6.666182723419659,66661.8272341966,0.12184266403767707,0.23535133515732465,0.6019810001381453,-0.40807965612592456,2026-07-30,daily,2143.0,70.40657084188912,2011-05-02,2017-03-14,,,
krw_investor_tr,longest,SPY_TR_KRW,2010-03-31,2026-08-31,10.9612361940965,109612.361940965,0.15617024982206784,0.13142009850084982,1.1761270156455201,-0.30151152067195364,2020-03-23,daily,326.0,10.710472279260781,2011-02-14,2012-01-06,,,
krw_investor_tr,longest,TURNOVER,2010-03-02,2026-08-31,,,,,,,,,,,,,16.0,0.969616724738676,1.939233449477352
