Date,Strategy_Gross,Strategy_Net,KODEX200_TR_KRW,SPY_TR_KRW
2010-03-31,1.0477964128190753,1.047796412819076,1.047796412819076,1.030664490221037
2010-04-30,1.0790030091591092,1.0790030091591098,1.0790030091591098,1.0314339268372434
2010-05-31,1.0131813436974613,1.013181343697462,1.013181343697462,1.0312406297912409
2010-06-30,1.0439764067988213,1.0439764067988215,1.043976406798822,0.9939741618499442
2010-07-31,1.0848593273769591,1.0848593273769593,1.0848593273769598,1.028004416214503
2010-08-31,1.0749649867060773,1.0749649867060782,1.074964986706079,0.9946159558077735
2010-09-30,1.147759850906762,1.1477598509067637,1.1477598509067644,1.0273175362468614
2010-10-31,1.1567119540757187,1.1567119540757198,1.1567119540757216,1.0620611300133456
2010-11-30,1.193462967210906,1.1934629672109076,1.1934629672109092,1.0907603917128474
2010-12-31,1.2980614927326202,1.2980614927326224,1.2980614927326242,1.1277595553053446
2011-01-31,1.3086633584306262,1.3086633584306284,1.3086633584306302,1.1441049650582635
2011-02-28,1.2302137383744698,1.2302137383744716,1.2302137383744733,1.194124232833244
2011-03-31,1.3371688255374878,1.3371688255374898,1.3371688255374916,1.1647051448254184
2011-04-30,1.39430268133595,1.3943026813359516,1.3943026813359545,1.1652922713018625
2011-05-31,1.3637375517698254,1.3637375517698271,1.363737551769829,1.1571832938400939
2011-06-30,1.3250534273344663,1.3250534273344683,1.3250534273344696,1.1318325013074746
2011-07-31,1.3331205192904585,1.3331205192904605,1.3331205192904618,1.0895602105439997
2011-08-31,1.1642382394531794,1.1642382394531814,1.164238239453183,1.0461512459211275
2011-09-30,1.1061096383104925,1.106109638310495,1.106109638310496,1.0750991406050263
2011-10-31,1.143493900994619,1.1423504070936266,1.2060999352483937,1.118485290207585
2011-11-30,1.1762927859188679,1.1751164931329512,1.1644774284030164,1.1505668520690648
2011-12-31,1.2043224962579993,1.203118173761745,1.1587361676921424,1.1779835428584335
2012-01-31,1.227778860570215,1.2265510817096477,1.2486795608505399,1.2009269082949643
2012-02-29,1.2798197627075398,1.2785399429448356,1.2950864516216454,1.2518296577360437
2012-03-31,1.2663485230150968,1.2638170923175933,1.2929335091015206,1.3074888483290925
2012-04-30,1.2639710063550784,1.2601828839850644,1.2859235911686164,1.2884892575437115
2012-05-31,1.240677942066969,1.236959629033919,1.1862057542787843,1.264744359156325
2012-06-30,1.2670449494777114,1.263247614497085,1.1905625743457813,1.2916228283866336
2012-07-31,1.2513425344913116,1.2475922596641011,1.2147956694822484,1.2756158211643602
2012-08-31,1.2874619943989332,1.2836034695142595,1.2147956694822484,1.3124359189713943
2012-09-30,1.2989063499400908,1.295013526310416,1.2746272669111547,1.324102269781779
2012-10-31,1.2465710172949873,1.2428350427095862,1.2160069794295083,1.270751747052899
2012-11-30,1.2441979993647596,1.2404691367164686,1.2380501103874546,1.2683326978059741
2012-12-31,1.2042705574967412,1.200661357431656,1.289161050505285,1.227630751582937
2013-01-31,1.2133770105785096,1.2085307779459675,1.2615466439019762,1.3492728549363853
2013-02-28,1.2102134501489523,1.2041744729366277,1.3109622098397278,1.3645994521557792
2013-03-31,1.286994274958015,1.2805721606624691,1.2867389145540125,1.4511751479205393
2013-04-30,1.3001448973988339,1.2936571613658678,1.249433907386813,1.4660033851840073
2013-05-31,1.3633651932586723,1.3565619873174795,1.2760432848518988,1.5372886457178776
2013-06-30,1.36855383036973,1.361724733077492,1.1801027459907723,1.5431391932872445
2013-07-31,1.4082882851724465,1.4012609125535977,1.21111346630158,1.587942542026116
2013-08-31,1.3529065643221458,1.3461555470438804,1.225778519501461,1.5254958175061868
2013-09-30,1.347510342929825,1.3407862528502432,1.2746628367398098,1.5194112042879433
2013-10-31,1.3900737200396962,1.383137238282915,1.3052155047673248,1.567404358783856
2013-11-30,1.4338427317410727,1.4266878421784304,1.3169482248477757,1.6167569497517944
2013-12-31,1.4629684897799156,1.455668262393548,1.3032603740494144,1.6495982584139437
