Date,Strategy_Gross,Strategy_Net,Korea_TR_USD,SPY_TR_USD
2002-04-30,-0.08553904686936276,-0.08553904686936242,-0.08553904686936253,-0.06729462809686315
2002-05-31,-0.10692380858670358,-0.10692380858670303,-0.10692380858670314,-0.08265653114884597
2002-06-30,-0.17668667388238435,-0.17668667388238357,-0.17668667388238357,-0.1454878266723738
2002-07-31,-0.17963855816852048,-0.17963855816852003,-0.1796385581685196,-0.29973090473536845
2002-08-31,-0.2144379940306348,-0.21443799403063435,-0.2144379940306339,-0.26627177824454507
2002-09-30,-0.24743350060677716,-0.2474335006067765,-0.24743350060677616,-0.2804030848056486
2002-10-31,-0.33694119190527827,-0.3369411919052777,-0.33694119190527727,-0.31286800115718516
2002-11-30,-0.24513759060644913,-0.2451375906064488,-0.24513759060644813,-0.22347906660628103
2002-12-31,-0.22473679031782057,-0.22473679031782035,-0.22473679031781946,-0.22744374098019882
2003-01-31,-0.25861786217980365,-0.25861786217980354,-0.2586178621798024,-0.25352570812881203
2003-02-28,-0.29561481189937444,-0.29561481189937444,-0.29561481189937344,-0.27412595551132246
2003-03-31,-0.3791859359113132,-0.379185935911313,-0.3791859359113122,-0.28809552949196715
2003-04-30,-0.359965889337139,-0.3606059234478015,-0.3599658893371379,-0.23622425661514213
2003-05-31,-0.31637397222658703,-0.3170575982543602,-0.2653743973236248,-0.18420445276093667
2003-06-30,-0.2758325600409939,-0.2765567274809526,-0.21329003903046984,-0.13582492624186693
2003-07-31,-0.2662738051362643,-0.2670075313311273,-0.15225163173603573,-0.12441811993019614
2003-08-31,-0.28016018597826864,-0.2808800257922899,-0.10400472301485764,-0.14098923805317043
2003-09-30,-0.2509414984086885,-0.2516905569102793,-0.08780215815540016,-0.10612152639937511
2003-10-31,-0.23497883064065683,-0.23574385181001556,-0.07350191872478584,-0.08707270034804604
2003-11-30,-0.25368293010444565,-0.2551748179271661,-0.10191846522781767,-0.07186921653300427
2003-12-31,-0.21990691537020424,-0.22146632144637857,-0.0612740576769355,-0.045486822315120135
2004-01-31,-0.16781213924076543,-0.1694756827744226,-0.01938298884009715,-0.021575674327462435
2004-02-29,-0.12121043661197894,-0.12296713694919104,-0.03838137772364336,-0.026063632580938023
2004-03-31,-0.10802706021041453,-0.10981011411705333,-0.07363281768248986,-0.05616323554543756
2004-04-30,-0.09738950763493415,-0.09738950763493426,-0.09738950763493426,-0.04322977095956326
2004-05-31,-0.24741722521796072,-0.24741722521796083,-0.24741722521796095,-0.06159552236352783
2004-06-30,-0.2272589830166809,-0.2272589830166809,-0.22725898301668102,-0.03348553717003433
2004-07-31,-0.23673335685128272,-0.23673335685128283,-0.2367333568512826,-0.058862645641704625
2004-08-31,-0.27189005949656286,-0.27261816943706674,-0.24313359875018892,-0.07530545226777963
2004-09-30,-0.24456578970034715,-0.24607590268673651,-0.1440810361336492,-0.037564702967855856
2004-10-31,-0.24258646666935713,-0.24410053632248518,-0.14183843168875676,-0.04529876092294205
2004-11-30,-0.20239953726487458,-0.20399394058988218,-0.09630600211661555,-0.013580122963115171
2004-12-31,-0.16866208739957267,-0.17032393188686135,-0.06991615038192622,-0.01030795832301612
2005-01-31,-0.10176541686903351,-0.10356098780071232,-0.03746335883320229,-0.0396346158665728
