,미국주식,한국주식,금,한국10년국채,미국10년국채
1990-01-31,-0.0567777693482977,-0.004213794523,0.02936455104713076,0.017982379606715115,-0.0074280725538763415
1990-02-28,0.02406512536196881,-0.034298441140000004,0.02733365208861671,0.030003216379183684,0.0005949385934784779
1990-03-31,0.0363934044552463,-0.025023062536,0.02763560845260704,0.028345722080549862,0.009151518478246912
1990-04-30,-0.016563918390800514,-0.070963926834,-0.028508584173980278,-0.004040763290024452,0.0026479600093467504
1990-05-31,0.10511775182119765,-0.017568427658,-0.03237199430294824,-0.01828328903790777,0.016832947596682635
1990-06-30,-0.0011370203415009827,-0.006479201907999999,-0.03460709259090178,0.011385385966852235,0.031523616893488926
1990-07-31,-0.005031026639073954,-0.089343941386,0.019644706445516524,0.022213749744470546,0.00619052696514788
1990-08-31,-0.09171634282979546,-0.087081065615,0.019202587790039916,0.017438409591900905,-0.012866496454456366
1990-09-30,-0.05037063615631732,-0.055224348996000004,0.018265354486551644,-0.036650125205263784,-0.003249937856194096
1990-10-31,-0.002979598980030973,0.133842577214,-0.00775955660498584,-0.022400459821314667,0.019738859514840446
1990-11-30,0.06334388065440288,0.019917984851999998,-0.009626386266073705,0.028815143733099013,0.02830296824779821
1990-12-31,0.03171924808357618,0.023118897058,-0.004456763231835303,0.0123696447972792,0.032720826035684825
1991-01-31,0.047306128781972934,-0.09122807026,-0.012735058473378968,0.013857026549139784,0.009693539686411068
1991-02-28,0.07917882935621856,0.011119691223,-0.007589017991539548,0.015322693659153952,0.030813458482358946
1991-03-31,0.024176295879324572,0.024285932557,-0.01667738052956158,0.013816272900227355,-0.010904028959059064
1991-04-30,0.002935397843076837,-0.048165821740999995,-0.0037182116308935864,0.00018455886869039873,0.012480073285020543
1991-05-31,0.039570077027715644,-0.012689957659,-0.007862056117870053,0.016955124940129185,0.0016316705470174053
1991-06-30,-0.043453223524667406,-0.040463344861,-0.0025270071887703027,0.0009260220995823687,-0.005181343248246373
1991-07-31,0.048568675106814396,0.068794443593,-0.005088824422882832,0.013700000000000045,0.009787734423200689
1991-08-31,0.034140543572552584,0.09948940090700001,0.0031593182025695388,0.007929859799078898,0.04304740189145306
1991-09-30,-0.004408881824152111,-0.037010976651,0.005257212453559479,-0.004219687823768137,0.03662336214742856
1991-10-31,0.025365708296211764,0.030542160104999997,0.019453446959319498,0.011277665684387816,0.026808850319481436
1991-11-30,-0.03476597052562569,-0.052609189025,0.012744141579571266,0.017011880533577495,0.01958733570755178
1991-12-31,0.12317529657971682,-0.0643616224,0.015686920405313387,0.021268769777558205,0.038084177352552206
1992-01-31,-0.017030997306456963,0.023516237454,-0.010705134893984392,0.01925771206206406,0.011750226526882068
1992-02-29,0.02023454915113243,0.01797436689,-0.00399757702353376,0.03778535459962096,-0.008260414774751257
1992-03-31,-0.009983429456993487,-0.054506371802,-0.003219188155423769,0.013004391024113104,0.0016230785833810657
1992-04-30,0.034025394357488414,-0.04449496586499999,-0.0026702885035309043,0.013012904825164373,0.015250961333701296
1992-05-31,0.01061870267910714,0.001529571563,-0.0019833534438409295,0.016926858083331275,0.018333618979190724
1992-06-30,-0.006163240210099397,-0.042083828086999994,0.0013246730962834796,0.0149167139003894,0.024308872763340483
1992-07-31,0.035592340291421776,-0.073516386188,0.0004657554505393957,0.03327500014666107,0.03129048523974576
1992-08-31,-0.02129675120954877,-0.051051625505,0.004482859414597362,0.07759176292302916,0.02315261336023977
1992-09-30,0.010431934230629158,0.082208341679,0.003656792406203202,0.01885438737716716,0.016608112880421633
