전략,롤링10년_창수,CAGR10Y_평균,CAGR10Y_중앙값,CAGR10Y_최저,CAGR10Y_최고,MDD10Y_평균,MDD10Y_최악,CAGR10Y_1위비율,MDD10Y_1위비율
최신 K-올웨더 성장형,321,0.11250911811036259,0.10892676886664554,0.0638531256407826,0.19662260445123092,-0.11278708652445173,-0.14456913685844786,0.19003115264797507,0.0
한국주식만 계절형,321,0.09739495847380585,0.09405423465170593,0.04665135204638071,0.15257174512235983,-0.09372719920829843,-0.13806358981620293,0.0,0.16510903426791276
강환국 원본 계절형,321,0.10214678888125073,0.09729133125948541,0.04606066378982776,0.16138999436797752,-0.09477437013856624,-0.13327029944345326,0.040498442367601244,0.42990654205607476
강환국 정적,321,0.0943872839707741,0.08852321292512233,0.04092316267414087,0.15811406949927487,-0.09244785870977237,-0.13957046160835396,0.0,0.40498442367601245
한국주식만 계절형(최소매매),321,0.09598688652214404,0.08695161690318698,0.05398903168652791,0.15801195572131088,-0.1030936528471786,-0.15029702060635652,0.009345794392523364,0.0
5~10월 미국30년채100%,321,0.12233457343213688,0.12046630761866028,0.04498118529401185,0.21554821873236674,-0.1803909659966804,-0.24273873374903998,0.7601246105919003,0.0
