,최신 K-올웨더 성장형,한국주식만 계절형,강환국 원본 계절형,강환국 정적,한국주식만 계절형(최소매매),5~10월 미국30년채100%
1999-12-31,0.1897317566000405,0.1457642079731003,0.1538320023455293,0.15495929282495569,0.15519691097868682,0.2035201671049527
2000-01-31,0.1883489106090077,0.14109195805241925,0.14929487745989412,0.15104171506605835,0.1498673524927978,0.20175258642266547
2000-02-29,0.18986817801563327,0.1371453886287306,0.14509469192013524,0.14843791170308718,0.14566272491094368,0.2028765135655588
2000-03-31,0.18693941168207417,0.13735028614472,0.14575471383245797,0.14780340558276683,0.14803903839734334,0.19994767219720178
2000-04-30,0.1860998712021229,0.13551624426061992,0.14366339456964705,0.14740877092539795,0.1460554349059524,0.19879548983175677
2000-05-31,0.18428799748655678,0.13395459801629617,0.14292932596648433,0.14610898267862438,0.1447171829887659,0.19443649015247222
2000-06-30,0.18687861913116532,0.1363006142969041,0.1451131370930252,0.14912536175086166,0.14629918077278026,0.19214398290523493
2000-07-31,0.1827915057124483,0.13366885912574622,0.14245811473959158,0.14643173598100478,0.14400192214497354,0.1938859368980803
2000-08-31,0.18540939226366948,0.13734535084514898,0.14486258356835324,0.15047033931781395,0.14899633935091905,0.19997466441396994
2000-09-30,0.18219623137919805,0.13779409630045603,0.14554663914456611,0.15063394542714525,0.1485071323086582,0.20170210634859131
2000-10-31,0.18112310993457603,0.13614820171415265,0.14387577021860798,0.1478222136602838,0.1477242369014422,0.20238884603225182
2000-11-30,0.18552931449394716,0.13562574934937266,0.14250773920356696,0.1483256863615856,0.14637115134175627,0.20603086730580733
2000-12-31,0.19153776132220224,0.13747713430239794,0.14399742036837826,0.15147219433021575,0.14850980372610434,0.21100160685917135
2001-01-31,0.19662260445123092,0.1461474411069581,0.15253004237469248,0.15811406949927487,0.15732552962872015,0.21554821873236674
2001-02-28,0.1890564085760822,0.13971445872799038,0.14457393636919247,0.15221147130083512,0.148731064868185,0.20809060001632051
2001-03-31,0.1885160646964512,0.1366261572200702,0.14101701035567915,0.15002033632995326,0.14631244659555653,0.20771672547518638
2001-04-30,0.18985421441100647,0.14037768643780346,0.14573336374377965,0.1524886385566664,0.15134846793978207,0.20870986733817753
2001-05-31,0.18850095160391556,0.1384323006990551,0.1442179262377501,0.15115589442057664,0.14849110851329894,0.20422355609707776
2001-06-30,0.1908656322006681,0.14187621186334232,0.14765399573531135,0.15422022573653504,0.15145484542165244,0.20970801418758178
2001-07-31,0.18606607063632086,0.13925293413346007,0.14556882644469415,0.15003172086184646,0.14866695881991498,0.20990625009068165
2001-08-31,0.1789232258443607,0.1369289020656559,0.1441260529674575,0.14697162055768231,0.14413027287515834,0.20493323747099623
2001-09-30,0.17484173875633768,0.13663543384690002,0.14436202399162346,0.14555132721094477,0.14159300070495973,0.20302207047242704
2001-10-31,0.17153710510002207,0.1343487167563826,0.14200880152474937,0.14441585879758034,0.13996907662761426,0.20327053998049505
2001-11-30,0.1717254408772304,0.1410044148682148,0.1498137657893328,0.14838633217452935,0.14769104237723418,0.20446042134098685
