,미국주식,한국주식,중국주식,인도주식,금,미국30년국채,한국30년국채,현금성자산
1990-01-31,-0.0567777693482977,-0.004213794523,0.005759055685207182,-0.0012351440126808777,0.02936455104713076,-0.022372618841780656,0.019700513154847554,0.005759055685207182
1990-02-28,0.02406512536196881,-0.034298441140000004,0.005200281224255532,-0.08664844932281279,0.02733365208861671,-0.00806503441375761,0.03559202423745611,0.005200281224255532
1990-03-31,0.0363934044552463,-0.025023062536,0.005759055685207182,0.0484716510301475,0.02763560845260704,0.010694837549968694,0.03368573078317505,0.005759055685207182
1990-04-30,-0.016563918390800514,-0.070963926834,0.005572763027456018,0.09645285150871463,-0.028508584173980278,-0.005406443039310482,-0.008979499611668107,0.005572763027456018
1990-05-31,0.10511775182119765,-0.017568427658,0.005759055685207182,0.016167159287627797,-0.03237199430294824,0.01801677234293786,-0.027174171433530625,0.005759055685207182
1990-06-30,-0.0011370203415009827,-0.006479201907999999,0.005572763027456018,0.02292107455481096,-0.03460709259090178,0.04218568758588792,0.0110848971722044,0.005572763027456018
1990-07-31,-0.005031026639073954,-0.089343941386,0.005759055685207182,0.17252804503742958,0.019644706445516524,0.0011973626924226544,0.02515051470175922,0.005759055685207182
1990-08-31,-0.09171634282979546,-0.087081065615,0.005759055685207182,0.1766264340895316,0.019202587790039916,-0.03201873339553474,0.019007382416891483,0.005759055685207182
1990-09-30,-0.05037063615631732,-0.055224348996000004,0.005572763027456018,0.13884487180998395,0.018265354486551644,-0.01149319538704574,-0.04994379227756507,0.005572763027456018
1990-10-31,-0.002979598980030973,0.133842577214,0.005759055685207182,0.02734321115398264,-0.00775955660498584,0.02643429023434596,-0.03130016171516781,0.005759055685207182
1990-11-30,0.06334388065440288,0.019917984851999998,0.005572763027456018,-0.036870909519355455,-0.009626386266073705,0.040787582105491715,0.03276909773187886,0.005572763027456018
1990-12-31,0.03171924808357618,0.023118897058,0.005759055685207182,-0.10434888103884132,-0.004456763231835303,0.04509019017679328,0.012115295186941433,0.005759055685207182
