Date,AGG,BIL,BND,BWX,DBC,EDV,EEM,EFA,EMLC,EWJ,GLD,HYG,IEF,IWD,IWM,IWN,LQD,LTPZ,MTUM,QQQ,REM,SHY,SPY,TLT,VGK,VNQ,VT,VWO
1993-05-24,,,,,,,,,,,,,,,,,,,,,,,44.84375,,,,,
1993-05-25,,,,,,,,,,,,,,,,,,,,,,,45.125,,,,,
1993-05-26,,,,,,,,,,,,,,,,,,,,,,,45.15625,,,,,
1993-05-27,,,,,,,,,,,,,,,,,,,,,,,45.65625,,,,,
1993-05-28,,,,,,,,,,,,,,,,,,,,,,,45.40625,,,,,
1993-06-01,,,,,,,,,,,,,,,,,,,,,,,45.375,,,,,
1993-06-02,,,,,,,,,,,,,,,,,,,,,,,45.53125,,,,,
1993-06-03,,,,,,,,,,,,,,,,,,,,,,,45.5,,,,,
1993-06-04,,,,,,,,,,,,,,,,,,,,,,,45.3125,,,,,
1993-06-07,,,,,,,,,,,,,,,,,,,,,,,45.375,,,,,
1993-06-08,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,
1993-06-09,,,,,,,,,,,,,,,,,,,,,,,44.875,,,,,
1993-06-10,,,,,,,,,,,,,,,,,,,,,,,44.84375,,,,,
1993-06-11,,,,,,,,,,,,,,,,,,,,,,,45.0625,,,,,
1993-06-14,,,,,,,,,,,,,,,,,,,,,,,45.15625,,,,,
1993-06-15,,,,,,,,,,,,,,,,,,,,,,,45.09375,,,,,
1993-06-16,,,,,,,,,,,,,,,,,,,,,,,44.9375,,,,,
1993-06-17,,,,,,,,,,,,,,,,,,,,,,,45.125,,,,,
1993-06-18,,,,,,,,,,,,,,,,,,,,,,,44.84375,,,,,
1993-06-21,,,,,,,,,,,,,,,,,,,,,,,44.625,,,,,
1993-06-22,,,,,,,,,,,,,,,,,,,,,,,44.65625,,,,,
1993-06-23,,,,,,,,,,,,,,,,,,,,,,,44.625,,,,,
1993-06-24,,,,,,,,,,,,,,,,,,,,,,,44.34375,,,,,
1993-06-25,,,,,,,,,,,,,,,,,,,,,,,44.78125,,,,,
1993-06-28,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,
1993-06-29,,,,,,,,,,,,,,,,,,,,,,,45.21875,,,,,
1993-06-30,,,,,,,,,,,,,,,,,,,,,,,45.125,,,,,
1993-07-01,,,,,,,,,,,,,,,,,,,,,,,45.125,,,,,
1993-07-02,,,,,,,,,,,,,,,,,,,,,,,44.78125,,,,,
1993-07-06,,,,,,,,,,,,,,,,,,,,,,,44.625,,,,,
1993-07-07,,,,,,,,,,,,,,,,,,,,,,,44.1875,,,,,
1993-07-08,,,,,,,,,,,,,,,,,,,,,,,44.375,,,,,
1993-07-09,,,,,,,,,,,,,,,,,,,,,,,44.84375,,,,,
1993-07-12,,,,,,,,,,,,,,,,,,,,,,,44.90625,,,,,
1993-07-13,,,,,,,,,,,,,,,,,,,,,,,44.96875,,,,,
1993-07-14,,,,,,,,,,,,,,,,,,,,,,,44.9375,,,,,
1993-07-15,,,,,,,,,,,,,,,,,,,,,,,45.03125,,,,,
1993-07-16,,,,,,,,,,,,,,,,,,,,,,,44.90625,,,,,
1993-07-19,,,,,,,,,,,,,,,,,,,,,,,44.75,,,,,
1993-07-20,,,,,,,,,,,,,,,,,,,,,,,44.6875,,,,,
1993-07-21,,,,,,,,,,,,,,,,,,,,,,,44.78125,,,,,
1993-07-22,,,,,,,,,,,,,,,,,,,,,,,44.75,,,,,
1993-07-23,,,,,,,,,,,,,,,,,,,,,,,44.59375,,,,,
1993-07-26,,,,,,,,,,,,,,,,,,,,,,,44.84375,,,,,
1993-07-27,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,
1993-07-28,,,,,,,,,,,,,,,,,,,,,,,44.84375,,,,,
1993-07-29,,,,,,,,,,,,,,,,,,,,,,,44.9375,,,,,
1993-07-30,,,,,,,,,,,,,,,,,,,,,,,45.09375,,,,,
1993-08-02,,,,,,,,,,,,,,,,,,,,,,,44.90625,,,,,
1993-08-03,,,,,,,,,,,,,,,,,,,,,,,45.0625,,,,,
1993-08-04,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,
1993-08-05,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,
1993-08-06,,,,,,,,,,,,,,,,,,,,,,,45.03125,,,,,
1993-08-09,,,,,,,,,,,,,,,,,,,,,,,45.09375,,,,,
1993-08-10,,,,,,,,,,,,,,,,,,,,,,,45.1875,,,,,
1993-08-11,,,,,,,,,,,,,,,,,,,,,,,45.15625,,,,,
1993-08-12,,,,,,,,,,,,,,,,,,,,,,,45.3125,,,,,
1993-08-13,,,,,,,,,,,,,,,,,,,,,,,45.09375,,,,,
1993-08-16,,,,,,,,,,,,,,,,,,,,,,,45.15625,,,,,
1993-08-17,,,,,,,,,,,,,,,,,,,,,,,45.34375,,,,,
1993-08-18,,,,,,,,,,,,,,,,,,,,,,,45.6875,,,,,
1993-08-19,,,,,,,,,,,,,,,,,,,,,,,45.8125,,,,,
1993-08-20,,,,,,,,,,,,,,,,,,,,,,,45.6875,,,,,
1993-08-23,,,,,,,,,,,,,,,,,,,,,,,45.625,,,,,
1993-08-24,,,,,,,,,,,,,,,,,,,,,,,45.71875,,,,,
1993-08-25,,,,,,,,,,,,,,,,,,,,,,,46.21875,,,,,
1993-08-26,,,,,,,,,,,,,,,,,,,,,,,46.28125,,,,,
1993-08-27,,,,,,,,,,,,,,,,,,,,,,,46.15625,,,,,
1993-08-30,,,,,,,,,,,,,,,,,,,,,,,46.28125,,,,,
1993-08-31,,,,,,,,,,,,,,,,,,,,,,,46.40625,,,,,
1993-09-01,,,,,,,,,,,,,,,,,,,,,,,46.40625,,,,,
1993-09-02,,,,,,,,,,,,,,,,,,,,,,,46.53125,,,,,
1993-09-03,,,,,,,,,,,,,,,,,,,,,,,46.3125,,,,,
1993-09-07,,,,,,,,,,,,,,,,,,,,,,,46.375,,,,,
1993-09-08,,,,,,,,,,,,,,,,,,,,,,,46.0625,,,,,
1993-09-09,,,,,,,,,,,,,,,,,,,,,,,45.71875,,,,,
1993-09-10,,,,,,,,,,,,,,,,,,,,,,,46.125,,,,,
1993-09-13,,,,,,,,,,,,,,,,,,,,,,,46.5625,,,,,
1993-09-14,,,,,,,,,,,,,,,,,,,,,,,46.3125,,,,,
1993-09-15,,,,,,,,,,,,,,,,,,,,,,,46.0625,,,,,
1993-09-16,,,,,,,,,,,,,,,,,,,,,,,46.3125,,,,,
1993-09-17,,,,,,,,,,,,,,,,,,,,,,,45.875,,,,,
1993-09-20,,,,,,,,,,,,,,,,,,,,,,,45.875,,,,,
1993-09-21,,,,,,,,,,,,,,,,,,,,,,,45.5,,,,,
1993-09-22,,,,,,,,,,,,,,,,,,,,,,,45.4375,,,,,
1993-09-23,,,,,,,,,,,,,,,,,,,,,,,45.78125,,,,,
1993-09-24,,,,,,,,,,,,,,,,,,,,,,,45.84375,,,,,
1993-09-27,,,,,,,,,,,,,,,,,,,,,,,46.125,,,,,
1993-09-28,,,,,,,,,,,,,,,,,,,,,,,46.3125,,,,,
1993-09-29,,,,,,,,,,,,,,,,,,,,,,,46.1875,,,,,
1993-09-30,,,,,,,,,,,,,,,,,,,,,,,46.03125,,,,,
1993-10-01,,,,,,,,,,,,,,,,,,,,,,,45.875,,,,,
1993-10-04,,,,,,,,,,,,,,,,,,,,,,,46.21875,,,,,
1993-10-05,,,,,,,,,,,,,,,,,,,,,,,46.3125,,,,,
1993-10-06,,,,,,,,,,,,,,,,,,,,,,,46.1875,,,,,
1993-10-07,,,,,,,,,,,,,,,,,,,,,,,46.1875,,,,,
1993-10-08,,,,,,,,,,,,,,,,,,,,,,,46.125,,,,,
1993-10-11,,,,,,,,,,,,,,,,,,,,,,,46.15625,,,,,
1993-10-12,,,,,,,,,,,,,,,,,,,,,,,46.21875,,,,,
1993-10-13,,,,,,,,,,,,,,,,,,,,,,,46.25,,,,,
1993-10-14,,,,,,,,,,,,,,,,,,,,,,,46.40625,,,,,
1993-10-15,,,,,,,,,,,,,,,,,,,,,,,47.03125,,,,,
1993-10-18,,,,,,,,,,,,,,,,,,,,,,,47.03125,,,,,
1993-10-19,,,,,,,,,,,,,,,,,,,,,,,46.875,,,,,
1993-10-20,,,,,,,,,,,,,,,,,,,,,,,46.75,,,,,
1993-10-21,,,,,,,,,,,,,,,,,,,,,,,46.6875,,,,,
1993-10-22,,,,,,,,,,,,,,,,,,,,,,,46.65625,,,,,
1993-10-25,,,,,,,,,,,,,,,,,,,,,,,46.40625,,,,,
1993-10-26,,,,,,,,,,,,,,,,,,,,,,,46.46875,,,,,
1993-10-27,,,,,,,,,,,,,,,,,,,,,,,46.40625,,,,,
1993-10-28,,,,,,,,,,,,,,,,,,,,,,,46.5625,,,,,
1993-10-29,,,,,,,,,,,,,,,,,,,,,,,46.8125,,,,,
1993-11-01,,,,,,,,,,,,,,,,,,,,,,,46.78125,,,,,
1993-11-02,,,,,,,,,,,,,,,,,,,,,,,46.90625,,,,,
1993-11-03,,,,,,,,,,,,,,,,,,,,,,,46.90625,,,,,
1993-11-04,,,,,,,,,,,,,,,,,,,,,,,46.34375,,,,,
1993-11-05,,,,,,,,,,,,,,,,,,,,,,,45.71875,,,,,
1993-11-08,,,,,,,,,,,,,,,,,,,,,,,46.09375,,,,,
1993-11-09,,,,,,,,,,,,,,,,,,,,,,,46.4375,,,,,
1993-11-10,,,,,,,,,,,,,,,,,,,,,,,46.15625,,,,,
1993-11-11,,,,,,,,,,,,,,,,,,,,,,,46.5,,,,,
