test,cagr_min,cagr_median,cagr_max,mdd_best,mdd_median,mdd_worst,sharpe_min,sharpe_median,sharpe_max
rebalance_month_gross,0.08584954320293492,0.08702320707160804,0.08796440410250805,-0.1884866597194531,-0.22687663923426893,-0.2577496002654628,0.5255127222069539,0.5440301696305285,0.5583660592051324
january_gross_0bp,0.08732061767522481,0.08732061767522481,0.08732061767522481,-0.1884866597194531,-0.1884866597194531,-0.1884866597194531,0.5577827920365692,0.5577827920365692,0.5577827920365692
january_base_10bp,0.08721137001846069,0.08721137001846069,0.08721137001846069,-0.1884866597194531,-0.1884866597194531,-0.1884866597194531,0.5564402444628608,0.5564402444628608,0.5564402444628608
january_conservative_30bp,0.08699286309756049,0.08699286309756049,0.08699286309756049,-0.18848665971945366,-0.18848665971945366,-0.18848665971945366,0.5537505441236229,0.5537505441236229,0.5537505441236229
