전략,재현_CAGR_2000_2022_04,재현_MDD_2000_2022_04,재현_최종자산_원,문헌_CAGR,문헌_MDD
강환국 정적 K-올웨더,0.07193734871966728,-0.08269603888675447,47182759.089252494,0.079,-0.072
강환국 계절형 K-올웨더,0.0822120751660338,-0.06654698962093408,58386133.73227136,0.093,-0.075
