전략,시작,종료,초기자산_원,최종자산_원,누적수익률,CAGR,연환산변동성,MDD,최대손실회복기간_개월,Sharpe_rf0,Sortino_rf0,Calmar,월간승률,최악연도,최악연도수익률,최고연도,최고연도수익률,평균리밸런싱회전율,누적거래비용_원,거래비용
강환국 정적 K-올웨더,2000-01-31,2026-08-31,10000000.0,78897990.89243071,6.889799089243071,0.08053782159918899,0.07254500071556998,-0.11616835032543915,23,1.1071054066468549,1.666804814163103,0.6932854032407861,0.65625,2022,-0.11616835032543948,2025,0.286757296837856,0.10638017102849123,0.0,0bp
강환국 계절형 K-올웨더,2000-01-31,2026-08-31,10000000.0,94723566.66183831,8.472356666183831,0.08797064237490915,0.07618870053218957,-0.11262108967772877,23,1.1481830785328182,1.758815130895277,0.7811205043979046,0.65625,2022,-0.11262108967772866,2025,0.19075511572974158,0.6227328589851873,0.0,0bp
강환국 정적 K-올웨더,2000-01-31,2026-08-31,10000000.0,78680054.96230318,6.868005496230317,0.08042574573013672,0.07254500071556995,-0.11626432041854506,23,1.1071054066468538,1.6668048141630991,0.6917491577864002,0.65625,2022,-0.11616835032543926,2025,0.2867572968378558,0.10638017102849123,82922.63549553532,10bp_per_traded_notional
강환국 계절형 K-올웨더,2000-01-31,2026-08-31,10000000.0,91647308.93640664,8.164730893640664,0.0866244914871439,0.07618870053218957,-0.11373370115673975,23,1.1481830785328178,1.758815130895276,0.7616431242993152,0.65625,2022,-0.11262108967772888,2025,0.19075511572974113,0.6227328589851874,1133274.8056618972,10bp_per_traded_notional
