Date,NAV_pre_cost,Gross_traded_notional,Gross_turnover,Cost_NAV_units,Cost_bps
1963-01-01,0.9718746862006369,0.07182282214763913,0.0739013199617505,3.5911411073819565e-05,5.0
1964-01-01,1.1085035493999749,0.10038198275722104,0.09055630251392258,5.019099137861052e-05,5.0
1965-01-01,1.2346626081601935,0.06579348992046496,0.0532886389250143,3.2896744960232484e-05,5.0
1966-01-03,1.323754857879072,0.07577275675950385,0.05724077710347927,3.7886378379751925e-05,5.0
1967-01-02,1.277858762405807,0.1056925062771007,0.08271063233789223,5.2846253138550345e-05,5.0
1968-01-01,1.4579975733737391,0.1508194354483705,0.1034428576581107,7.540971772418526e-05,5.0
1969-01-01,1.5649948465370958,0.06377598863206124,0.040751564628586485,3.188799431603062e-05,5.0
1970-01-01,1.461335263243726,0.034747591263180055,0.023777973567852474,1.7373795631590028e-05,5.0
1971-01-01,1.630424840433912,0.1330026987268127,0.08157548598892551,6.650134936340635e-05,5.0
1972-01-03,1.8286910612819116,0.042477195441810944,0.023228196572489642,2.123859772090547e-05,5.0
1973-01-01,2.051469364354996,0.1480228721346183,0.07215456136297618,7.401143606730914e-05,5.0
1974-01-01,1.8955932265193418,0.17752431179951078,0.0936510583156483,8.876215589975539e-05,5.0
1975-01-01,1.6301200288741646,0.2855798347911377,0.1751894521462767,0.00014278991739556884,5.0
1976-01-01,2.0505643321814673,0.2236844712306969,0.10908434703569284,0.00011184223561534846,5.0
1977-01-03,2.454004681541187,0.09732508641850834,0.03965969875712924,4.866254320925417e-05,5.0
1978-01-02,2.351712012278333,0.09632391265047568,0.04095905967549033,4.816195632523784e-05,5.0
1979-01-01,2.4466500646549805,0.06669111977750586,0.027258135824548512,3.334555988875293e-05,5.0
1980-01-01,2.7338351941579724,0.19254280990391115,0.07042956002445304,9.627140495195558e-05,5.0
1981-01-01,3.2594486755816083,0.4260867419903682,0.1307235622951904,0.00021304337099518414,5.0
1982-01-01,3.23004947024679,0.16373446505361433,0.05069100846963322,8.186723252680717e-05,5.0
1983-01-03,4.189727152472531,0.3198252866164044,0.07633558820833054,0.0001599126433082022,5.0
1984-01-02,4.836998836726,0.35256632313049985,0.07288947858609368,0.00017628316156524993,5.0
1985-01-01,5.352000935665819,0.2624270854532491,0.049033452835262205,0.00013121354272662455,5.0
1986-01-01,6.902933412588137,0.16981612098182275,0.024600573528950367,8.490806049091137e-05,5.0
1987-01-01,8.226706470832989,0.04892934201668231,0.005947622197310269,2.4464671008341154e-05,5.0
1988-01-01,8.488086191423074,0.19511737907942717,0.02298720520493615,9.755868953971358e-05,5.0
1989-01-02,9.486838564257306,0.5088014008428345,0.05363234521137516,0.00025440070042141727,5.0
1990-01-01,11.842584301900228,0.7797567853842038,0.06584346503314198,0.0003898783926921019,5.0
1991-01-01,12.137434383631167,0.7955025785651335,0.06554124647940154,0.00039775128928256677,5.0
1992-01-01,15.418231002151623,0.49968478719030784,0.03240869767229305,0.00024984239359515393,5.0
1993-01-01,16.697298631331243,0.12527662101339399,0.007502807716352494,6.263831050669699e-05,5.0
1994-01-03,18.308480686600344,0.08578000434674138,0.004685260662263596,4.2890002173370687e-05,5.0
1995-01-02,17.863632202125693,0.8241501213747418,0.046135640951937625,0.0004120750606873709,5.0
1996-01-01,23.826071356757993,0.8993619624062212,0.03774696839187999,0.0004496809812031106,5.0
1997-01-01,27.16136871770259,2.561815609715431,0.09431835473172426,0.0012809078048577156,5.0
1998-01-01,33.740159989499155,2.9775390808574684,0.08824910971922358,0.0014887695404287341,5.0
1999-01-01,41.27950343108044,2.5216208594197447,0.061086511460337695,0.0012608104297098723,5.0
2000-01-03,45.3810197837946,5.4991886065993505,0.12117816287070506,0.002749594303299675,5.0
2001-01-01,46.07721058990071,5.796261452618268,0.12579453874077837,0.002898130726309134,5.0
2002-01-01,44.49314229233608,4.674273665190405,0.10505604738992656,0.0023371368325952025,5.0
2003-01-01,41.59714644243995,8.326747533486692,0.20017593141896955,0.0041633737667433465,5.0
2004-01-01,49.63457542753921,4.666845454459846,0.09402408329800072,0.002333422727229923,5.0
2005-01-03,53.69072642285614,1.6110608208110762,0.030006314463371604,0.000805530410405538,5.0
2006-01-02,55.8388115176888,0.5858865294876949,0.010492460594403875,0.00029294326474384744,5.0
2007-01-01,61.69212107561227,3.558948775443085,0.05768887036775893,0.0017794743877215424,5.0
2008-01-01,66.28488918662248,1.4465353103155287,0.021823002618935754,0.0007232676551577644,5.0
2009-01-01,56.320612424136996,17.47200534532225,0.310223994258883,0.008736002672661124,5.0
2010-01-01,63.7682788945597,8.935325012425135,0.14012178417422272,0.004467662506212568,5.0
