Metric,Book,Backtest,Difference
Final_Asset_USD,1250000.0,1526392.3276030037,276392.3276030037
CAGR,0.098,0.1015230267526559,0.0035230267526558945
MDD,-0.295,-0.297822683713023,-0.002822683713023022
Sharpe,0.52,1.0773911276902248,0.5573911276902248
