Date,Turnover,Cost_USD
1991-01-02,0.019602387176944153,0.10270877971992265
1992-01-02,0.03274582347713234,0.17293218674603467
1993-01-04,0.3208525266087527,1.7034413671511872
1994-01-03,0.09951381569350193,0.5892087114248268
1995-01-03,0.0779871912142545,0.5264064713297313
1996-01-02,0.06966931563914454,0.5238819453979079
1997-01-02,0.09883977415066812,0.8146281456728902
1998-01-02,0.09531897490120272,0.7672345164710813
1999-01-04,0.18240568329391815,2.0181640986382905
2000-01-03,0.271225465464903,5.478208497326827
2001-01-02,0.3207329485793147,5.2125074892620065
2002-01-02,0.2922216057781083,5.448424936153616
2003-01-02,0.2912004517534928,5.777795406528322
2004-01-02,0.22421210647954623,6.045893665851787
2005-01-03,0.11408124297219174,3.1457407686350156
2006-01-03,0.15329691167569537,4.780624817333743
2007-01-03,0.04915231383543956,1.7294728852806636
2008-01-02,0.19679278833824226,8.976143061968193
2009-01-02,0.2681956639931339,11.078416748855291
2010-01-04,0.3247610278090537,19.33865066374345
2011-01-03,0.16387604016381951,10.69950808798007
2012-01-03,0.13522398481023462,9.252535583047342
2013-01-02,0.1308772279395231,9.493800531642314
2014-01-02,0.31139403863295817,23.90634962454585
2015-01-02,0.3705896882969629,31.547236374408904
2016-01-04,0.3148493858490108,29.778650837896294
2017-01-03,0.14154146199032117,14.829101269823079
2018-01-02,0.168526740413979,21.420251996473784
2019-01-02,0.12587520876054847,15.420306456566657
2020-01-02,0.30060524139596445,48.20877031017152
2021-01-04,0.15613655297466267,30.6764886310778
2022-01-03,0.20428695097894145,46.87107218989996
2023-01-03,0.2996179645258079,59.716310745850016
2024-01-02,0.23405974280184072,65.26443970427086
2025-01-02,0.2784866719894349,99.66396361651458
2026-01-02,0.30624604740621875,149.70957402138131
