Strategy,Start,End,Final_NAV,CAGR,Ann_Vol,MDD,Sharpe_rf0
해자+과열회피,1990-01-02,2026-02-25,1015758.6477996691,0.13636065591701696,0.12773899595705368,-0.28359422750135754,1.065508017852206
기존 해자기업 고정,1990-01-02,2026-02-25,2074687.0141855052,0.15903503496731486,0.14656568924611005,-0.32644342991201947,1.0811607771561285
NASDAQ 40%,1990-01-02,2026-02-25,206754.91401993792,0.08740416060537615,0.1007326723741955,-0.36790367534853285,0.8829450003174011
S&P500 100%,1990-01-02,2026-02-25,193114.3438979517,0.08535294316808284,0.18029978988972992,-0.5677538774277284,0.5449418722894724
