Date,WealthMultiple_Net,Drawdown_Net
2007-05-31,1.0024448204578253,0.0
2007-06-30,0.9924501972173166,-0.02699855115890748
2007-07-31,0.9998183365644321,-0.017792711789542892
2007-08-31,1.0113331775483625,-0.023904061224742756
2007-09-30,1.0487550677041182,-0.0036195244567958085
2007-10-31,1.0776229364983905,-0.008183615919534759
2007-11-30,1.07794845434026,-0.020469184026198795
2007-12-31,1.093901359860276,-0.017948067144779367
2008-01-31,1.1147324761964765,-0.01950280667553883
2008-02-29,1.1227150773322359,-0.017737299165464848
2008-03-31,1.1082154972246734,-0.017994125205426315
2008-04-30,1.1008119567673789,-0.027049062343734276
2008-05-31,1.1002762350285096,-0.029996806567493817
2008-06-30,1.0984342945098313,-0.04243657515521859
2008-07-31,1.0914334962486083,-0.035245239698608155
2008-08-31,1.0756911777568545,-0.05841538528124135
2008-09-30,1.0688605875420576,-0.06991703908795399
2008-10-31,0.9810727149435728,-0.1394262538568377
2008-11-30,1.0373510607708616,-0.14441586505837845
2008-12-31,1.1031940551974595,-0.09635012406179966
2009-01-31,1.055354585536185,-0.07391096342290537
2009-02-28,1.029505877631935,-0.08773986422142299
2009-03-31,1.0499559833951995,-0.10479515560145547
2009-04-30,1.0466015909536983,-0.07962955954414241
2009-05-31,1.0816455818259358,-0.07359900493672533
2009-06-30,1.0671321112304304,-0.06745297954879959
2009-07-31,1.0956962275913786,-0.0668211414298373
2009-08-31,1.1120494165971249,-0.034750431921116154
2009-09-30,1.1460696695728352,-0.019825484052916842
2009-10-31,1.1454558738351752,-0.02494439215794264
2009-11-30,1.2090858563608426,-0.016449993176524957
2009-12-31,1.1740334486116555,-0.04063847450663893
2010-01-31,1.1697144882553834,-0.04263955096872418
2010-02-28,1.1867586449810348,-0.04985925733948582
2010-03-31,1.1968634994040157,-0.028152249864728973
2010-04-30,1.2287133681373839,-0.01708590173925273
2010-05-31,1.2292496278663072,-0.01772465013434399
2010-06-30,1.2407510154252324,-0.013951395516082377
2010-07-31,1.2392789309363528,-0.020996739398341013
2010-08-31,1.272423693154471,-0.009147069088999538
2010-09-30,1.3038452506942797,-0.007498703191606726
2010-10-31,1.3122209806515492,-0.018178724425238713
2010-11-30,1.3140114284341684,-0.03071768406027231
2010-12-31,1.3314706461467625,-0.021437118862780213
2011-01-31,1.3073698539375713,-0.018394166036262982
2011-02-28,1.3432111601177603,-0.01555845558685831
2011-03-31,1.348653045849896,-0.011780789699955663
2011-04-30,1.3966313246751856,-0.006788463771792985
2011-05-31,1.397670126764954,-0.01538849754701943
2011-06-30,1.3747903490535527,-0.020482634824127488
2011-07-31,1.4125131646558682,-0.014971014066194832
2011-08-31,1.475028771162297,-0.022869095160678254
2011-09-30,1.4567841308521947,-0.03692024379982051
2011-10-31,1.494862659497118,-0.02874108763060068
2011-11-30,1.5087732375506708,-0.02699857483162682
