Year,Gross,Net
2008,0.00854672084686614,0.008495003003168744
2009,0.06430322047570458,0.06421299415134785
2010,0.13419347954629912,0.1340994140510079
2011,0.1141575048828185,0.11411813592302056
2012,0.060771848165509956,0.06072026907659245
2013,-0.025096679018819623,-0.025122000974817427
2014,0.09468148148156019,0.09458655511946223
2015,-0.028007239024283148,-0.028058376564020104
2016,0.05314983807274043,0.05313147813161301
2017,0.11091035685943251,0.11088301496924546
2018,-0.015584548672531229,-0.015614244763564655
2019,0.1630685521529216,0.16305391834587613
2020,0.154250014305372,0.15420797588201318
2021,0.051555285082035995,0.05152215117597825
2022,-0.12134496813615936,-0.12140222676268742
2023,0.11643783234536853,0.1163593259959601
2024,0.12160975375391225,0.12156885414570895
2025,0.2235284944468665,0.22345265303156192
2026,0.04156761136352616,0.0414819736933465
