asset,overlap_start,overlap_end,months,return_corr,mean_abs_return_diff,max_abs_return_diff
Korea_OECD_vs_KOSPI,1995-06-30,2026-08-31,375,0.767876100567436,0.0368970406820518,0.29011876205282516
US_OECD_vs_SP500,1995-02-28,2026-08-31,379,0.6162245554620845,0.026419882936883927,0.14855088249801318
