metric,book,reproduced_proxy,difference
Final multiple,445.0,175.13689707993927,-269.8631029200607
CAGR,0.162,0.1381553070738828,-0.02384469292611721
MDD,-0.527,-0.5396472950764761,-0.012647295076476106
