Date,Strategy_Gross,Strategy_Net,KOSPI,SP500,Position,Mom12_KR,Mom12_US
1982-01-31,,,-0.030046290019561828,-0.054276114333093206,,0.22114442641543475,-0.10931084596362761
1982-02-28,-0.003177176850970298,-0.003675588262544771,-0.003177176850970298,-0.025693645301540502,KOSPI,0.20210716971710752,-0.09999891488271329
1982-03-31,0.028685250536412132,0.028685250536412132,0.028685250536412132,-0.03478689527867718,KOSPI,0.2295236896730124,-0.16470940176584403
1982-04-30,-0.046475587036064026,-0.046475587036064026,-0.046475587036064026,0.048582773816991276,KOSPI,0.09617093903822616,-0.137098993566513
1982-05-31,-0.07229894952227178,-0.07229894952227178,-0.07229894952227178,0.0015133566237850449,KOSPI,-0.062397407176663644,-0.12080753333481598
1982-06-30,0.028896752078469756,0.028896752078469756,0.028896752078469756,-0.05916404533089048,KOSPI,-0.14358598115017762,-0.17834999261676654
1982-07-31,0.03148932149643846,0.03148932149643846,0.03148932149643846,-0.004400911868939317,KOSPI,-0.2175597441095296,-0.16213302777314254
1982-08-31,0.0014170888115725422,0.00041567172276102404,0.023927412454939123,0.0014170888115725422,SP500,-0.14649244978894205,-0.16390909696045086
1982-09-30,-0.04915402593096374,-0.050104871905032766,-0.04915402593096374,0.11598596537636063,KOSPI,-0.16666671401118371,0.026870549563382307
1982-10-31,0.08397759922308401,0.08289362162386094,0.007627202130912503,0.08397759922308401,SP500,-0.09992427188190922,0.09653219046726669
1982-11-30,0.047880840923083534,0.047880840923083534,0.02775449144337161,0.047880840923083534,SP500,-0.04605777545833567,0.1154415688348287
1982-12-31,0.0068802974371220404,0.0068802974371220404,0.02045822985225465,0.0068802974371220404,SP500,-0.03929127849547753,0.11821353451889705
1983-01-31,0.036816044531028824,0.036816044531028824,-0.038492368265117705,0.036816044531028824,SP500,-0.04765685403740594,0.22591990259754247
1983-02-28,0.017859841652861252,0.017859841652861252,0.012510336938051925,0.017859841652861252,SP500,-0.032669339820011856,0.28072102980711344
1983-03-31,0.03264168647402643,0.03264168647402643,-0.006589728790174942,0.03264168647402643,SP500,-0.06584038900345213,0.370190601074164
1983-04-30,0.03545659955825231,0.03545659955825231,0.03814266309899139,0.03545659955825231,SP500,0.01705937796073309,0.35303853540373864
1983-05-31,0.044169109596613465,0.044169109596613465,0.022364262415955904,0.044169109596613465,SP500,0.1208407711154349,0.41066620172210166
1983-06-30,0.019200559623633096,0.019200559623633096,-0.03203126276637347,0.019200559623633096,SP500,0.05446812196159767,0.528164155613043
1983-07-31,0.0032927893223269056,0.0032927893223269056,-0.008071075852886911,0.0032927893223269056,SP500,0.014026425641873397,0.5399733652885572
1983-08-31,-0.028743415002781547,-0.028743415002781547,-0.006509463989546327,-0.028743415002781547,SP500,-0.016116137837999478,0.4935927182267925
1983-09-30,0.029133012233917732,0.029133012233917732,-0.025388991663176097,0.029133012233917732,SP500,0.008474631158731372,0.37735206431651047
1983-10-31,0.000875503853303039,0.000875503853303039,-0.006722630845986344,0.000875503853303039,SP500,-0.005887270234922526,0.2717586990212937
1983-11-30,-0.014204268020396094,-0.014204268020396094,0.013536260977559778,-0.014204268020396094,SP500,-0.019640091573554286,0.19640921814997547
1983-12-31,-0.005111530557101451,-0.005111530557101451,-0.0025040891224724637,-0.005111530557101451,SP500,-0.041700119381435696,0.18216012261073744
1984-01-31,0.01401095259584273,0.01401095259584273,-0.007531294278899203,0.01401095259584273,SP500,-0.010842336743474568,0.1561581423940417
1984-02-29,-0.05867800493314479,-0.05867800493314479,0.0944350950450672,-0.05867800493314479,SP500,0.06919289779749294,0.06922097196002408
1984-03-31,0.0006337112307428505,0.0006337112307428505,-0.005393039065677563,0.0006337112307428505,SP500,0.07048087738798148,0.036079177619963154
1984-04-30,0.03175834377228215,0.030726585428509923,0.03175834377228215,5.524476046336879e-05,KOSPI,0.06389768608171198,0.0006565374231903842
1984-05-31,-0.011261182365262079,-0.011261182365262079,-0.011261182365262079,-0.0065689742294089415,KOSPI,0.028906211700879814,-0.047967191061220715
1984-06-30,0.013667420750217207,0.013667420750217207,0.013667420750217207,-0.0198296094214383,KOSPI,0.0774818087507918,-0.0844251787639122
1984-07-31,-0.0022472654905321132,-0.0022472654905321132,-0.0022472654905321132,-0.013471667817890887,KOSPI,0.08380791697315959,-0.09972391808769687
1984-08-31,0.014264234791620867,0.014264234791620867,0.014264234791620867,0.08031027168888527,KOSPI,0.10647013506962666,0.0013600048317516933
1984-09-30,-0.00296066974732323,-0.00296066974732323,-0.00296066974732323,0.016969727410069968,KOSPI,0.13193287678641452,-0.010475031849794258
1984-10-31,-0.018559879931514978,-0.018559879931514978,-0.018559879931514978,-0.006245429848323436,KOSPI,0.11844321938887226,-0.017515209841136414
1984-11-30,0.00529513299902673,0.00529513299902673,0.00529513299902673,0.008717165276867389,KOSPI,0.10934908624082262,0.005329238407771442
1984-12-31,0.04063203880380373,0.04063203880380373,0.04063203880380373,-0.012213759745315134,KOSPI,0.15732223939077783,-0.0018475244958962023
1985-01-31,0.012292138351015058,0.012292138351015058,0.012292138351015058,0.04608304213495806,KOSPI,0.1804384336963658,0.02972297825469572
1985-02-28,-0.03071439366209283,-0.03071439366209283,-0.03071439366209283,0.056685134005884485,KOSPI,0.04545439755185843,0.1559200453918239
1985-03-31,-0.0077249858748073,-0.008717260888932543,-0.010316823254336027,-0.0077249858748073,SP500,0.0402788940265324,0.1462641788852077
1985-04-30,0.007106890982974123,0.007106890982974123,0.013402825137451613,0.007106890982974123,SP500,0.021771790362208554,0.15434678183077932
1985-05-31,0.022380110684872223,0.022380110684872223,-0.021307879672906815,0.022380110684872223,SP500,0.011389440936688588,0.18798503364783437
