Date,Strategy_Gross,Strategy_Net,Position,KOSPI,SP500
1996-06-03,0.9978479159912804,0.9973489920332849,SP500,1.0,1.0
1996-06-04,1.0051410845087716,1.0046385139665173,SP500,1.0136087024364147,1.0073088978797395
1996-06-05,1.0139287532762886,1.0134217888996506,SP500,1.0178662981208622,1.0161155192362488
1996-06-06,1.005843547059153,1.0053406252856234,SP500,1.0178662981208622,1.0080128754489903
1996-06-07,1.006261959696291,1.005758828716443,SP500,1.0118254162858609,1.0084321904873168
1996-06-08,1.006261959696291,1.005758828716443,SP500,1.006798778448987,1.0084321904873168
1996-06-10,1.0045432479219387,1.0040409762979778,SP500,0.994371503087314,1.006709771923517
1996-06-11,1.0027647889757256,1.0022634065812377,SP500,0.9904594190945364,1.0049274773296095
1996-06-12,0.9998804144392222,0.9993804742320026,SP500,0.9733510175876595,1.0020368819890981
1996-06-13,0.9982065814565576,0.9977074781658294,SP500,0.9748779563540714,1.0003594390082189
1996-06-14,0.9951129549929572,0.9946153985154608,SP500,0.9613361271483025,0.9972591404416511
1996-06-15,0.9951129549929572,0.9946153985154608,SP500,0.95794788346225,0.9972591404416511
1996-06-17,0.994081746171757,0.9935847052986712,SP500,0.9545373486993156,0.9962257075861285
1996-06-18,0.9894488318834991,0.9889541074675574,SP500,0.9610909253026013,0.9915828013736567
1996-06-19,0.989299418345319,0.9888047686361464,SP500,0.9691714406722988,0.9914330655914942
1996-06-20,0.9895085790553598,0.9890138247658322,SP500,0.9604333385345846,0.9916426774037643
1996-06-21,0.9965925868628102,0.9960942905693788,SP500,0.9632754508370299,0.9987419634712338
1996-06-22,0.9965925868628102,0.9960942905693788,SP500,0.9544593299302289,0.9987419634712338
1996-06-24,0.999596455743035,0.9990966575151635,SP500,0.9389893225741736,1.0017523108719604
1996-06-25,0.9990434979478899,0.998543976198916,SP500,0.9328146942778806,1.0011981604986586
1996-06-26,0.9929310430068353,0.9924345774853319,SP500,0.91797998261296,0.9950725226703905
1996-06-27,0.9991481239114385,0.9986485498494828,SP500,0.9139898798510955,1.0013030121116868
1996-06-28,1.0022567099722681,1.001755581617282,SP500,0.9178685272285504,1.0044183025392281
1996-06-29,1.0022567099722681,1.001755581617282,SP500,0.9110697487795635,1.0044183025392281
1996-07-01,1.0101028362849045,1.009597784866762,SP500,0.9293038496689774,1.0122813507922697
1996-07-02,1.0067102915278876,1.0062069363821236,SP500,0.9339181025835357,1.0088814892475906
1996-07-03,1.0049020046042723,1.00439955360197,SP500,0.9342636142752057,1.0070693023455224
1996-07-04,1.0049020046042723,1.00439955360197,SP500,0.9379082053454002,1.0070693023455224
1996-07-05,0.9825442480257437,0.9820529759017309,SP500,0.9419317447225876,0.9846633262240831
1996-07-06,0.9825442480257437,0.9820529759017309,SP500,0.9478054434809745,0.9846633262240831
1996-07-08,0.975221160313794,0.9747335497336371,SP500,0.9451305142551436,0.9773244446223966
1996-07-09,0.9785240387044916,0.9780347766851394,SP500,0.9563429259267514,0.980634446415021
1996-07-10,0.9804818303833434,0.9799915894681518,SP500,0.9571676957713826,0.982596460513038
1996-07-11,0.9649539508934802,0.9644714739180336,SP500,0.9444617819486859,0.967035091650091
1996-07-12,0.9657311202129517,0.9652482546528453,SP500,0.9360246093488777,0.967813937110423
1996-07-13,0.9657311202129517,0.9652482546528453,SP500,0.9309868259735627,0.967813937110423
1996-07-15,0.9412362392229329,0.9407656211033215,SP500,0.9073694300171641,0.9432662273868574
1996-07-16,0.9390991148114425,0.9386295652540368,SP500,0.9057533269432245,0.941124493784731
1996-07-17,0.9476177844800017,0.9471439755877618,SP500,0.9057533269432245,0.9496615358850761
1996-07-18,0.9618005772580189,0.96131967696939,SP500,0.9099997770892312,0.9638749170534155
1996-07-19,0.9545821155096178,0.9541048244518631,SP500,0.9333162435077238,0.9566408870647573
1996-07-20,0.9545821155096178,0.9541048244518631,SP500,0.9362809567330197,0.9566408870647573
1996-07-22,0.9471694526484051,0.946695867922081,SP500,0.9348320367356947,0.9492122371248024
1996-07-23,0.9368573644364036,0.9363889357541855,SP500,0.9348654733510176,0.9388779085695763
1996-07-24,0.9365286181655849,0.9360603538565021,SP500,0.9278437841332114,0.9385484532833044
1996-07-25,0.9432836972681039,0.9428120554194699,SP500,0.9142573727736786,0.945318101236929
1996-07-26,0.9503527454783249,0.9498775691055859,SP500,0.9072802657096364,0.952402395443425
1996-07-27,0.9503527454783249,0.9498775691055859,SP500,0.8967142952676043,0.952402395443425
1996-07-29,0.9428951126083681,0.942423665052064,SP500,0.8973830275740621,0.9449286785067631
1996-07-30,0.9493962434262149,0.9489215453045018,SP500,0.8997570272619869,0.9514438304789835
1996-07-31,0.9564054532475188,0.9559272505208951,SP500,0.9158400392322953,0.9584681572415853
1996-08-01,0.9714550817113269,0.9709693541704713,SP500,0.9309533893582399,0.9735502436223115
1996-08-02,0.9900914560449635,0.989596410316941,SP500,0.9208778226076102,0.9922268114990134
1996-08-03,0.9900914560449635,0.989596410316941,SP500,0.9184815318428033,0.9922268114990134
1996-08-05,0.9867138708851758,0.9862205139497333,SP500,0.9187267336885044,0.9888419418153078
1996-08-06,0.9899270829095541,0.9894321193680994,SP500,0.9229063106038652,0.9920620838558774
1996-08-07,0.9925872459217311,0.9920909522987702,SP500,0.9295713425915605,0.9947279841093587
1996-08-08,0.9902409608001999,0.9897458403197998,SP500,0.9331044782773456,0.9923766386949622
1996-08-09,0.9895085790553598,0.9890138247658322,SP500,0.927988676132944,0.9916426774037643
1996-08-10,0.9895085790553598,0.9890138247658322,SP500,0.9326252201243842,0.9916426774037643
1996-08-12,0.9949934606492356,0.994495963918911,SP500,0.9339849758141816,0.9971393883814357
1996-08-13,0.9866690833105443,0.9861757487688891,SP500,0.9289026102851028,0.9887970576461736
1996-08-14,0.9894338722862698,0.9889391553501268,SP500,0.9204431466084126,0.9915678095126832
1996-08-15,0.989777669371374,0.9892827805366884,SP500,0.9204431466084126,0.991912348073715
1996-08-16,0.9941565441579033,0.9936594658858244,SP500,0.9083168007846459,0.9963006668909961
1996-08-17,0.9941565441579033,0.9936594658858244,SP500,0.9035576558703551,0.9963006668909961
1996-08-19,0.9962040022030744,0.9957059002019729,SP500,0.8922226432758966,0.9983525407410678
1996-08-20,0.9948738750884578,0.9943764381509136,SP500,0.8848554423664207,0.9970195449074339
1996-08-21,0.9939472922308061,0.9934503185846908,SP500,0.8795167294531998,0.9960909636649395
1996-08-22,1.0023314167413582,1.0018302510329877,SP500,0.8689396134727269,1.0044931704303093
1996-08-23,0.9968765455589973,0.9963781072862179,SP500,0.870934664853659,0.9990265345883715
1996-08-24,0.9968765455589973,0.9963781072862179,SP500,0.8717259980829674,0.9990265345883715
1996-08-26,0.992168833284593,0.9916727488679508,SP500,0.8547401974989411,0.9943086690710321
1996-08-27,0.9959350031041164,0.9954370356025645,SP500,0.8490113907402866,0.9980829614849036
1996-08-28,0.9935587075710705,0.993061928217285,SP500,0.8396491384498785,0.9957015409347736
1996-08-29,0.9824845008538828,0.981993258603456,SP500,0.8539265731927509,0.9846034501939754
1996-08-30,0.974399203419691,0.9739120038179812,SP500,0.8725507679275986,0.9765007149929306
1996-08-31,0.974399203419691,0.9739120038179812,SP500,0.8710126836227458,0.9765007149929306
1996-09-02,0.974399203419691,0.9739120038179812,SP500,0.8629544593299302,0.9765007149929306
1996-09-03,0.9784791599128038,0.9779899203328475,SP500,0.8579835491852611,0.9805894708321004
1996-09-04,0.9798092870274204,0.9793193823839068,SP500,0.8823254051403223,0.9819224666657342
1996-09-05,0.9705882460255361,0.9701029519025234,SP500,0.8773099128418893,0.9726815384099249
1996-09-06,0.979913912990969,0.9794239560344735,SP500,0.8738659414636321,0.9820273182787626
1996-09-07,0.979913912990969,0.9794239560344735,SP500,0.8752145516149885,0.9820273182787626
1996-09-09,0.9919895005519545,0.9914935058016785,SP500,0.8887229442054345,0.9941289495669227
1996-09-10,0.9920642073210445,0.991568175217384,SP500,0.895031318963019,0.9942038174580038
1996-09-11,0.9972501706215038,0.996751545536193,SP500,0.8932591783509062,0.999400965457564
1996-09-12,1.0030338792917397,1.0025323623520939,SP500,0.8889347094358129,1.00519714799956
1996-09-13,1.0170671673145206,1.0165586337308634,SP500,0.8751365328459019,1.0192607019719508
1996-09-14,1.0170671673145206,1.0165586337308634,SP500,0.8712801765453289,1.0192607019719508
1996-09-16,1.0222082518232922,1.0216971476973806,SP500,0.8714473596219433,1.0244128743885903
1996-09-17,1.0206540044014054,1.0201436773992048,SP500,0.8713136131606517,1.0228552748817128
1996-09-18,1.018457041600998,1.0179478130801975,SP500,0.8716925614676445,1.0206535738356923
1996-09-19,1.0207436707677247,1.0202332989323408,SP500,0.8617173045629833,1.0229451346337677
1996-09-20,1.0267665505595163,1.0262531672842365,SP500,0.8463364615144557,1.0289810041237673
1996-09-21,1.0267665505595163,1.0262531672842365,SP500,0.8563897371882035,1.0289810041237673
1996-09-23,1.025944502448357,1.0254315301971328,SP500,0.8573148168788034,1.0281571830805147
1996-09-24,1.024644294528199,1.024131972380935,SP500,0.8670225808608814,1.026854170968828
1996-09-25,1.024973132016074,1.024460645450066,SP500,0.8840752546755534,1.0271837176688863
1996-09-26,1.0250179195907054,1.0245054106309102,SP500,0.8840752546755534,1.0272286018380203
1996-09-27,1.0255111302139897,1.0249983746488829,SP500,0.8840752546755534,1.0277228761812147
1996-09-30,1.027214882391113,1.0267012749499174,SP500,0.8801297340674528,1.029430302884041
1996-10-01,1.0298302578286582,1.029315342699744,SP500,0.8799068232986336,1.0320513189683882
1996-10-02,1.0371981331152396,1.0366795340486818,SP500,0.8849668977508303,1.0394350847392089
1996-10-03,1.0353599269971656,1.0348422470336671,SP500,0.8849668977508303,1.0375929141151936
1996-10-04,1.048332178221344,1.0478080121322335,SP500,0.865373041171619,1.050593142923901
1996-10-05,1.048332178221344,1.0478080121322335,SP500,0.8663538485544235,1.050593142923901
1996-10-07,1.0511418459887574,1.050616275065763,SP500,0.8864381088250374,1.053408870373331
1996-10-08,1.047106677070276,1.046583123731741,SP500,0.8889904371280176,1.0493649987032954
1996-10-09,1.0412780896083522,1.0407574505635482,SP500,0.9114598426249971,1.0435238405783787
1996-10-10,1.0380947967784324,1.0375757493800433,SP500,0.9253137469071131,1.0403336822597562
1996-10-11,1.0471365050476782,1.0466129367951544,SP500,0.9289026102851028,1.049394891011456
1996-10-12,1.0471365050476782,1.0466129367951544,SP500,0.9371168721160918,1.049394891011456
1996-10-14,1.0514406730651176,1.050914952728585,SP500,0.9387664118053543,1.053708341937656
