sample,cost_case,start,end,months,CAGR,cum_return,ann_vol,MDD,max_recovery_days,Sharpe_rf0_monthly,final_asset_krw
2016-10~2019-09,gross,2016-11-01,2019-09-30,34,-0.03830568240978671,-0.10745296345258837,0.19430938694742964,-0.35915511762625596,503,-0.12754950639334545,8925470.365474116
2016-10~2019-09,min,2016-11-01,2019-09-30,34,-0.04163844588743182,-0.11642543362105573,0.19404268895165735,-0.36110256685503406,503,-0.1426632615320465,8835745.663789442
2016-10~2019-09,base,2016-11-01,2019-09-30,34,-0.04662653300549724,-0.1297434243026,0.19368282124717215,-0.36401820511825567,503,-0.16537763860712235,8702565.756974
2016-10~2019-09,conservative,2016-11-01,2019-09-30,34,-0.054910528361584054,-0.15156901588122385,0.1931908295107175,-0.3688628406771024,503,-0.20330959259289258,8484309.841187762
