Date,Open,High,Low,Close,Adj Close,Volume
2011-10-20,99970.0,100100.0,99940.0,100045.0,75098.1796875,43093
2011-10-21,99885.0,99950.0,99435.0,99600.0,74764.1484375,4286
2011-10-24,99630.0,99630.0,99220.0,99255.0,74505.171875,4303
2011-10-25,99405.0,99545.0,99350.0,99450.0,74651.546875,1186
2011-10-26,99385.0,99615.0,99285.0,99595.0,74760.3984375,17543
2011-10-27,99465.0,99735.0,99440.0,99440.0,74644.0546875,1737
2011-10-28,99410.0,99410.0,99050.0,99335.0,74565.21875,815
2011-10-31,99620.0,99895.0,99620.0,99830.0,74936.796875,215
2011-11-01,100195.0,100295.0,100150.0,100185.0,75203.2734375,5653
2011-11-02,100250.0,100290.0,100230.0,100255.0,75255.8203125,539
2011-11-03,100335.0,100370.0,100320.0,100370.0,75342.1484375,1306
2011-11-04,100310.0,100325.0,100170.0,100215.0,75225.796875,897
2011-11-07,100250.0,100305.0,100190.0,100305.0,75293.34375,1308
2011-11-08,100320.0,100555.0,100320.0,100555.0,75481.015625,2472
2011-11-09,100600.0,100720.0,100600.0,100660.0,75559.8203125,128
2011-11-10,100660.0,100960.0,100600.0,100845.0,75698.6953125,950
2011-11-11,100800.0,100800.0,100520.0,100520.0,75454.7421875,242
2011-11-14,100505.0,100505.0,100160.0,100205.0,75218.28125,346
2011-11-15,100335.0,100440.0,100310.0,100405.0,75368.4140625,616
2011-11-16,100470.0,100805.0,100360.0,100805.0,75668.6640625,357
2011-11-17,100720.0,100760.0,100545.0,100580.0,75499.7734375,580
2011-11-18,100535.0,100760.0,100510.0,100745.0,75623.625,168
2011-11-21,100600.0,100680.0,100425.0,100680.0,75574.828125,196
2011-11-22,100655.0,100840.0,100645.0,100825.0,75683.6796875,5021
2011-11-23,100915.0,100925.0,100790.0,100925.0,75758.75,766
2011-11-24,100970.0,101075.0,100970.0,101040.0,75845.0703125,720
2011-11-25,100960.0,100960.0,100605.0,100655.0,75556.078125,483
2011-11-28,100640.0,100680.0,100510.0,100580.0,75499.7734375,864
2011-11-29,100695.0,100695.0,100550.0,100610.0,75522.2890625,242
2011-11-30,100615.0,100855.0,100615.0,100855.0,75706.1953125,281
