yahoo_ticker,code,name,role,proxy_quality,rows,first_date,last_date,duplicate_dates,missing_prices,updated_at_utc
069500.KS,069500,KODEX200,KR_EQUITY,EXACT,4268,2007-01-29,2026-09-15,0,0,2026-09-15T23:33:55+00:00
114460.KS,114460,ACE국고채3년,KR_GOVT_5Y_CANDIDATE,LOW,4168,2009-07-31,2026-09-15,0,0,2026-09-15T23:33:56+00:00
302190.KS,302190,TIGER중장기국채,KR_GOVT_5Y_CANDIDATE,MEDIUM,1974,2018-07-20,2026-09-15,0,0,2026-09-15T23:33:56+00:00
148070.KS,148070,KOSEF국고채10년,KR_GOVT_20Y_LOWER_BOUND,LOW,3630,2011-10-20,2026-09-15,0,0,2026-09-15T23:33:57+00:00
451530.KS,451530,TIGER국고채30년스트립액티브,KR_GOVT_20Y_UPPER_BOUND,LOW,865,2023-02-01,2026-09-15,0,0,2026-09-15T23:33:57+00:00
