Date,Open,High,Low,Close,Adj Close,Volume
2018-07-20,50020.0,50060.0,50020.0,50040.0,45803.39453125,10500
2018-07-23,50020.0,50035.0,50020.0,50030.0,45794.23828125,10000
2018-07-24,49955.0,49980.0,49955.0,49960.0,45730.16796875,5010
2018-07-25,49970.0,49970.0,49970.0,49970.0,45739.32421875,5000
2018-07-26,50005.0,50010.0,50005.0,50010.0,45775.93359375,5000
2018-07-27,50070.0,50070.0,50070.0,50070.0,45830.859375,4
2018-07-30,49935.0,49935.0,49935.0,49935.0,45707.28515625,20
2018-07-31,49890.0,49890.0,49890.0,49890.0,45666.09765625,24
2018-08-01,49955.0,49955.0,49930.0,49930.0,45702.7109375,3001
2018-08-02,49925.0,49925.0,49905.0,49905.0,45679.82421875,4
2018-08-03,49945.0,49945.0,49945.0,49945.0,45716.4375,1000
2018-08-06,49995.0,49995.0,49995.0,49995.0,45762.20703125,10
2018-08-07,50045.0,50045.0,50045.0,50045.0,45807.97265625,1
2018-08-08,50040.0,50040.0,50040.0,50040.0,45803.39453125,0
2018-08-09,50105.0,50105.0,50105.0,50105.0,45862.890625,10
2018-08-10,50165.0,50165.0,50165.0,50165.0,45917.8125,16
2018-08-13,50215.0,50225.0,50190.0,50190.0,45940.703125,43
2018-08-14,50200.0,50200.0,50200.0,50200.0,45949.8515625,11
2018-08-16,50235.0,50235.0,50235.0,50235.0,45981.88671875,10
2018-08-17,50315.0,50315.0,50285.0,50285.0,46027.65234375,13
2018-08-20,50410.0,50435.0,50410.0,50435.0,46164.94921875,64
2018-08-21,50465.0,50515.0,50455.0,50455.0,46183.2578125,87
2018-08-22,50600.0,50600.0,50520.0,50550.0,46270.21484375,215
2018-08-23,50545.0,50545.0,50530.0,50530.0,46251.91015625,33
2018-08-24,50545.0,50545.0,50545.0,50545.0,46265.640625,1
2018-08-27,50590.0,50590.0,50575.0,50585.0,46302.25,353
2018-08-28,50580.0,50580.0,50580.0,50580.0,46297.68359375,3
2018-08-29,50585.0,50605.0,50585.0,50605.0,46320.55859375,67
2018-08-30,50600.0,50600.0,50600.0,50600.0,46315.98046875,13
2018-08-31,50675.0,50675.0,50675.0,50675.0,46384.6328125,10
2018-09-03,50745.0,50795.0,50745.0,50795.0,46494.4765625,3
2018-09-04,50825.0,50825.0,50805.0,50805.0,46503.62890625,20
2018-09-05,50785.0,50785.0,50785.0,50785.0,46485.32421875,4
2018-09-06,50910.0,50910.0,50910.0,50910.0,46599.73828125,15
2018-09-07,50890.0,50890.0,50890.0,50890.0,46581.43359375,0
2018-09-10,50910.0,50910.0,50910.0,50910.0,46599.73828125,0
2018-09-11,50920.0,50920.0,50920.0,50920.0,46608.890625,1
2018-09-12,50890.0,50890.0,50890.0,50890.0,46581.43359375,68
2018-09-13,50900.0,50900.0,50900.0,50900.0,46590.5859375,0
2018-09-14,50790.0,50790.0,50790.0,50790.0,46489.8984375,0
2018-09-17,50770.0,50770.0,50770.0,50770.0,46471.5859375,40
2018-09-18,50725.0,50790.0,50725.0,50790.0,46489.8984375,131
2018-09-19,50640.0,50640.0,50640.0,50640.0,46352.59375,52
2018-09-20,50515.0,50515.0,50515.0,50515.0,46238.18359375,0
2018-09-21,50515.0,50515.0,50515.0,50515.0,46238.18359375,27
2018-09-27,50630.0,50630.0,50630.0,50630.0,46343.44140625,0
2018-09-28,50675.0,50675.0,50675.0,50675.0,46384.6328125,0
2018-10-01,50600.0,50600.0,50600.0,50600.0,46315.98046875,10
2018-10-02,50640.0,50640.0,50640.0,50640.0,46352.59375,0
2018-10-04,50460.0,50460.0,50460.0,50460.0,46187.83984375,10
2018-10-05,50440.0,50440.0,50440.0,50440.0,46169.53125,3
2018-10-08,50435.0,50435.0,50435.0,50435.0,46164.94921875,0
2018-10-10,50535.0,50535.0,50535.0,50535.0,46256.484375,0
2018-10-11,50645.0,50645.0,50645.0,50645.0,46357.17578125,11
2018-10-12,50650.0,50650.0,50650.0,50650.0,46361.75,1
2018-10-15,50645.0,50645.0,50645.0,50645.0,46357.17578125,0
2018-10-16,50650.0,50650.0,50650.0,50650.0,46361.75,0
2018-10-17,50745.0,50745.0,50745.0,50745.0,46448.7109375,0
2018-10-18,50825.0,50825.0,50815.0,50815.0,46512.77734375,3
2018-10-19,50830.0,50830.0,50830.0,50830.0,46526.51171875,0
2018-10-22,50780.0,50780.0,50780.0,50780.0,46480.74609375,0
2018-10-23,50865.0,50865.0,50865.0,50865.0,46558.55078125,0
2018-10-24,50870.0,50870.0,50870.0,50870.0,46563.12109375,0
2018-10-25,51010.0,51010.0,51010.0,51010.0,46691.26953125,0
2018-10-26,51045.0,51045.0,51045.0,51045.0,46723.30859375,0
2018-10-29,51115.0,51240.0,51100.0,51225.0,46888.06640625,2128
2018-10-30,51170.0,51170.0,51170.0,51170.0,46837.72265625,0
2018-10-31,51150.0,51150.0,51135.0,51135.0,46805.6875,72
2018-11-01,51040.0,51040.0,51040.0,51040.0,46718.734375,2
2018-11-02,50970.0,50970.0,50970.0,50970.0,46654.65625,100
2018-11-05,50955.0,50955.0,50955.0,50955.0,46640.92578125,0
2018-11-07,51025.0,51025.0,51025.0,51025.0,46705.0,0
2018-11-08,51030.0,51030.0,51030.0,51030.0,46709.578125,0
2018-11-09,51080.0,51080.0,51080.0,51080.0,46755.34375,0
2018-11-12,51165.0,51165.0,51165.0,51165.0,46833.1484375,0
2018-11-13,51155.0,51155.0,51155.0,51155.0,46824.0,0
2018-11-14,51215.0,51215.0,51215.0,51215.0,46878.9140625,0
2018-11-15,51210.0,51210.0,51160.0,51160.0,46828.5703125,247198
2018-11-16,51160.0,51160.0,51160.0,51160.0,46828.5703125,0
2018-11-19,51245.0,51245.0,51220.0,51220.0,46883.49609375,296827
2018-11-20,51215.0,51215.0,51200.0,51205.0,46869.765625,214500
2018-11-21,51195.0,51195.0,51195.0,51195.0,46860.609375,0
2018-11-22,51215.0,51230.0,51210.0,51210.0,46874.33984375,434900
2018-11-23,51265.0,51310.0,51265.0,51305.0,46961.30078125,496618
2018-11-26,51310.0,51310.0,51310.0,51310.0,46965.875,20
2018-11-27,51375.0,51375.0,51375.0,51375.0,47025.37109375,5
2018-11-28,51350.0,51350.0,51350.0,51350.0,47002.48828125,3
2018-11-29,51475.0,51475.0,51470.0,51470.0,47112.328125,148
2018-11-30,51460.0,51515.0,51460.0,51515.0,47153.515625,9
2018-12-03,51485.0,51485.0,51410.0,51410.0,47057.40625,432
2018-12-04,51495.0,51540.0,51480.0,51495.0,47135.20703125,651017
2018-12-05,51600.0,51605.0,51580.0,51600.0,47231.3203125,80
2018-12-06,51680.0,51740.0,51680.0,51740.0,47359.46484375,252
2018-12-07,51810.0,51810.0,51795.0,51795.0,47409.80859375,2
2018-12-10,51840.0,51840.0,51820.0,51820.0,47432.6953125,43
2018-12-11,51825.0,51825.0,51785.0,51800.0,47414.3828125,73
2018-12-12,51745.0,51745.0,51735.0,51735.0,47354.890625,2
2018-12-13,51725.0,51725.0,51725.0,51725.0,47345.73828125,3
2018-12-14,51745.0,51755.0,51745.0,51755.0,47373.19921875,2
2018-12-17,51760.0,51800.0,51760.0,51800.0,47414.3828125,202
2018-12-18,51775.0,51875.0,51775.0,51815.0,47428.11328125,363
2018-12-19,51950.0,51960.0,51950.0,51960.0,47560.84375,8
2018-12-20,51980.0,52020.0,51930.0,52020.0,47615.76171875,19
2018-12-21,51950.0,51950.0,51840.0,51860.0,47469.3046875,71
2018-12-24,51820.0,51820.0,51785.0,51785.0,47400.65625,11
2018-12-26,51860.0,51960.0,51860.0,51900.0,47505.91796875,394
