Date,Open,High,Low,Close,Adj Close,Volume
2007-01-29,18160.0,18210.0,17980.0,18040.0,13321.8525390625,433267
2007-01-30,18100.0,18145.0,18020.0,18110.0,13373.54296875,205208
2007-01-31,18200.0,18200.0,17945.0,18015.0,13303.38671875,553305
2007-02-01,18100.0,18275.0,18030.0,18275.0,13495.3857421875,515988
2007-02-02,18305.0,18695.0,18305.0,18665.0,13783.3876953125,1031912
2007-02-05,18670.0,18785.0,18560.0,18785.0,13872.0029296875,1196916
2007-02-06,18785.0,18895.0,18695.0,18895.0,13953.2353515625,557476
2007-02-07,18830.0,18895.0,18710.0,18825.0,13901.5400390625,677733
2009-04-17,17560.0,17710.0,17225.0,17370.0,12827.08203125,1899707
2009-04-20,17460.0,17525.0,17160.0,17480.0,12908.3125,2255714
2009-04-21,17200.0,17500.0,17050.0,17480.0,12908.3125,1895176
2009-04-22,17600.0,17770.0,17465.0,17715.0,13081.849609375,1817903
2009-04-23,17760.0,17930.0,17665.0,17895.0,13214.7734375,1670235
2009-04-24,17900.0,17960.0,17570.0,17690.0,13063.390625,2536400
2009-04-27,17710.0,17825.0,17405.0,17495.0,12919.390625,1910221
2009-04-28,17530.0,17690.0,17015.0,17025.0,12572.30859375,2205186
2009-04-29,16960.0,17325.0,16875.0,17325.0,12945.931640625,2308486
2009-04-30,17420.0,17830.0,17415.0,17700.0,13226.1484375,1862431
2009-05-04,17925.0,18045.0,17840.0,18020.0,13465.26171875,1411856
2009-05-06,18100.0,18185.0,17880.0,17985.0,13439.1064453125,2030080
2009-05-07,18200.0,18265.0,17955.0,18060.0,13495.1513671875,3048174
2009-05-08,18050.0,18210.0,17960.0,18200.0,13599.7646484375,1630919
2009-05-11,18295.0,18310.0,18100.0,18220.0,13614.7041015625,1557637
2009-05-12,18110.0,18185.0,18015.0,18060.0,13495.1513671875,1899398
2009-05-13,18080.0,18240.0,18080.0,18200.0,13599.7646484375,1421908
2009-05-14,17900.0,17995.0,17730.0,17730.0,13248.56640625,1490911
2009-05-15,17940.0,17990.0,17820.0,17870.0,13353.173828125,982259
2009-05-18,17815.0,17870.0,17575.0,17800.0,13300.8701171875,2026692
2009-05-19,18205.0,18370.0,18140.0,18350.0,13711.853515625,1662644
2009-05-20,18355.0,18470.0,18340.0,18450.0,13786.5771484375,1132057
