start,end,final_asset,cum_return,cagr,ann_vol_monthly,mdd_daily,mdd_date,max_recovery_days,max_recovery_months,max_recovery_peak,max_recovery_date,sharpe_monthly_rf0,scenario,period,cost_case
2001-01-02,2026-08-31,63074.34513906345,5.275546672592668,0.07360974890261729,0.10409841883802554,-0.2890058028958309,2008-11-20,1401,46.02874743326489,2021-11-09,2025-09-10,0.7366720229591837,baseline,from_2001,gross
2001-01-02,2026-08-31,62993.43226595321,5.267551288789579,0.0735562502243361,0.10409925346048479,-0.289005802895831,2008-11-20,1401,46.02874743326489,2021-11-09,2025-09-10,0.7361858788679374,baseline,from_2001,net_5bp_one_way
2021-01-04,2026-08-31,12077.226925227227,0.20529472327664822,0.03639201475946785,0.1151691097178962,-0.26864893050107397,2022-10-24,1401,46.02874743326489,2021-11-09,2025-09-10,0.36776319289203074,baseline,from_2021,gross
2021-01-04,2026-08-31,12073.566719935327,0.20496905714700264,0.03634185470398266,0.1151617833309038,-0.26869380788013153,2022-10-24,1401,46.02874743326489,2021-11-09,2025-09-10,0.3673582377655734,baseline,from_2021,net_5bp_one_way
2000-12-29,2026-08-31,63074.34513906345,5.307434513906345,0.07439281212328863,0.10399320433578724,-0.2890058028958309,2008-11-20,1401,46.02874743326489,2021-11-09,2025-09-10,0.7443663588226973,baseline,longest,gross
2000-12-29,2026-08-31,62993.43226595321,5.2993432265953215,0.07433908094734032,0.10399400353805938,-0.289005802895831,2008-11-20,1401,46.02874743326489,2021-11-09,2025-09-10,0.7438781058049798,baseline,longest,net_5bp_one_way
2001-01-02,2026-08-31,57842.417879498906,4.77271104397201,0.07020032996195846,0.09728974812001222,-0.26864893050107375,2022-10-24,1401,46.02874743326489,2021-11-09,2025-09-10,0.7481376361376095,tips_unscaled,from_2001,gross
2001-01-02,2026-08-31,57769.03030272049,4.765427548604244,0.07014751811140774,0.09729082270734267,-0.268693807880131,2022-10-24,1401,46.02874743326489,2021-11-09,2025-09-10,0.74762089885877,tips_unscaled,from_2001,net_5bp_one_way
2021-01-04,2026-08-31,12077.22692522721,0.20529472327664688,0.03639201475946785,0.11516910971789626,-0.26864893050107364,2022-10-24,1401,46.02874743326489,2021-11-09,2025-09-10,0.367763192892029,tips_unscaled,from_2021,gross
2021-01-04,2026-08-31,12073.566719935345,0.20496905714700442,0.03634185470398288,0.11516178333090378,-0.268693807880131,2022-10-24,1401,46.02874743326489,2021-11-09,2025-09-10,0.3673582377655754,tips_unscaled,from_2021,net_5bp_one_way
2000-12-29,2026-08-31,57842.417879498906,4.784241787949891,0.07077423638221503,0.09716791926638717,-0.26864893050107375,2022-10-24,1401,46.02874743326489,2021-11-09,2025-09-10,0.7545040590332881,tips_unscaled,longest,gross
2000-12-29,2026-08-31,57769.03030272049,4.77690303027205,0.0707212737620444,0.09716897506949036,-0.268693807880131,2022-10-24,1401,46.02874743326489,2021-11-09,2025-09-10,0.7539855209564128,tips_unscaled,longest,net_5bp_one_way
