,60/40 비용전,60/40 비용후(5bp),S&P500 100%
1962-01-31,0.9813750008513731,0.9813750008513731,0.964484731817306
1962-02-28,0.9973518218309496,0.9973518218309496,0.9825505645623936
1962-03-31,0.9993249757947231,0.9993249757947231,0.9791799493455369
1962-04-30,0.9646981379261853,0.9646981379261853,0.9209015074853444
1962-05-31,0.9201995305844486,0.9201995305844486,0.8441283859980001
1962-06-30,0.878136119602358,0.878136119602358,0.7774767232791516
1962-07-31,0.9121214989729083,0.9121214989729083,0.8293400589175396
1962-08-31,0.9237233348648256,0.9237233348648256,0.8444766458204266
1962-09-30,0.9027938192105951,0.9027938192105951,0.8062428629904134
1962-10-31,0.9092554452406614,0.9092554452406614,0.8123283344929608
1962-11-30,0.9631206705534292,0.9631206705534292,0.8973570444339521
1962-12-31,0.9718559831145086,0.9718559831145086,0.9120223344109369
1963-01-31,1.0022923562327049,1.0022553317292089,0.9594020303569305
1963-02-28,0.9865068490945128,0.9864704077048758,0.9343099676372923
1963-03-31,1.0090948083962765,1.0090575326113933,0.9700483834922503
1963-04-30,1.0426385856093763,1.0426000707232577,1.0197465575141789
1963-05-31,1.0536980519030485,1.0536591284821886,1.037014228606987
1963-06-30,1.0407201406254984,1.0406816966064003,1.0187541815422931
1963-07-31,1.0412475800809264,1.0412091165783075,1.0179259806861332
1963-08-31,1.0746938082637105,1.0746541092633004,1.07025635902825
1963-09-30,1.0696558364795636,1.0696163235809457,1.0611652858220093
1963-10-31,1.0937985804865975,1.093758175759259,1.098107988532139
1963-11-30,1.0893108817947474,1.08927064284221,1.0893251583839012
1963-12-31,1.1085231776446758,1.1084822289933056,1.1187783387917123
1964-01-31,1.1302015376244925,1.1301086166324814,1.1517570003335351
1964-02-29,1.1374489510824755,1.1373554342349237,1.166001167038579
1964-03-31,1.151321852288837,1.1512271948626374,1.1865960286078183
1964-04-30,1.1611079855745505,1.1610125235686521,1.196745519177154
1964-05-31,1.1736897361187328,1.1735932396878201,1.2134172391501632
1964-06-30,1.1886922515379408,1.1885945216556755,1.2363408600080847
1964-07-31,1.204720911359361,1.2046218636599446,1.2619182054559754
1964-08-31,1.1955410657604815,1.195442772794032,1.2444969406285296
1964-09-30,1.2202199656550536,1.2201196436806936,1.28332883054443
1964-10-31,1.2302195443543777,1.2301184002516257,1.2968207098805142
1964-11-30,1.2286734428862693,1.2285724258982644,1.293254899568422
1964-12-31,1.2347403770617569,1.2346388612728536,1.3015018150401545
