Date,NAV,cost_fraction
2019-11-01,0.99785,0.0021500000000000004
2019-11-04,1.007130005,0.0
2019-11-05,1.0173417564289,0.0
2019-11-06,1.0261522657856528,0.0
2019-11-07,1.0223781536836551,0.0
2019-11-08,1.0249480936112796,0.0
2019-11-11,1.0223200802854935,0.0
2019-11-12,1.0255142678847988,0.0
2019-11-13,1.0305258981512246,0.0
2019-11-14,1.0176375606862464,0.0
2019-11-15,1.01564193970835,0.0
2019-11-18,1.0171382102300632,0.0
2019-11-19,1.0196441356893717,0.0
2019-11-20,0.9998727824763665,0.0
2019-11-21,0.9847347339850306,0.0
2019-11-22,0.9828942887919015,0.0
2019-11-25,0.9934542181523697,0.0
2019-11-26,1.0023046786214231,0.0
2019-11-27,0.9968364121778716,0.0
2019-11-28,0.9911865021145995,0.0
2019-11-29,0.98490861326862,0.0
2019-12-02,0.9849071301669614,0.0
2019-12-03,0.9782176534047122,0.0
2019-12-04,0.9691815187320467,0.0
2019-12-05,0.9594203335691266,0.0
2019-12-06,0.9713132619587043,0.0
2019-12-09,0.9709700609529937,0.0
2019-12-10,0.9687964263916886,0.0
2019-12-11,0.9675092725513437,0.0
2019-12-12,0.9705797506556068,0.0
2019-12-13,0.9793410174678582,0.0
2019-12-16,0.9829747200648455,0.0
2019-12-17,0.9890818108688978,0.0
2019-12-18,0.9865277494677079,0.0
2019-12-19,0.9985822521923822,0.0
2019-12-20,0.999417148480641,0.0
2019-12-23,1.0005843372916343,0.0
2019-12-24,0.9990164033902891,0.0
2019-12-26,1.0047468907761465,0.0
2019-12-27,1.007284983096779,0.0
2019-12-30,1.0149657250602917,0.0
2020-01-02,1.0215477061728995,0.0
2020-01-03,1.0210710932515408,0.0
2020-01-06,1.0057089327091413,0.0
2020-01-07,1.006501164691027,0.0
2020-01-08,0.9689735464889555,0.0
2020-01-09,0.9903238527399524,0.0
2020-01-10,1.001290159465788,0.0
2020-01-13,1.0065715855715898,0.0
2020-01-14,1.0113468300155313,0.0
2020-01-15,1.0152193118770971,0.0
2020-01-16,1.0163094360539642,0.0
2020-01-17,1.0119460098904198,0.0
2020-01-20,1.0058139617293294,0.0
2020-01-21,0.9955210410137273,0.0
2020-01-22,1.0026870635333862,0.0
2020-01-23,0.9995314685731221,0.0
2020-01-28,0.9672709707805169,0.0
2020-01-29,0.9757945945195655,0.0
2020-01-30,0.952544345107819,0.0
2020-01-31,0.9401818768064248,0.0
2020-02-03,0.9348090670286816,0.0
2020-02-04,0.9508360836981018,0.0
2020-02-05,0.9561432134026722,0.0
2020-02-06,0.9729226755172691,0.0
2020-02-07,0.974195940510705,0.0
2020-02-10,0.9814911668336375,0.0
2020-02-11,0.9898782543970231,0.0
2020-02-12,0.9982868403211015,0.0
2020-02-13,1.0097692477554623,0.0
2020-02-14,1.0111154331782053,0.0
2020-02-17,1.0127513402295982,0.0
2020-02-18,1.0028426056966555,0.0
2020-02-19,0.9942739642718162,0.0
2020-02-20,0.9865264008330263,0.0
2020-02-21,0.9808580978319978,0.0
2020-02-24,0.9776900403522264,0.0
2020-02-25,0.9563820764378426,0.0
2020-02-26,0.954889054109659,0.0
2020-02-27,0.9401502027952697,0.0
2020-02-28,0.9026148231053345,0.0
2020-03-02,0.9060385922905941,0.0
2020-03-03,0.9152129781191095,0.0
2020-03-04,0.9259287142588534,0.0
2020-03-05,0.9314221546677539,0.0
2020-03-06,0.9128204993162192,0.0
2020-03-09,0.8709904867230178,0.0
2020-03-10,0.8660375529294797,0.0
2020-03-11,0.8440731538775951,0.0
2020-03-12,0.7981984553144237,0.0
2020-03-13,0.7284746180650098,0.0
2020-03-16,0.6969204838846094,0.0
2020-03-17,0.6860744850983143,0.0
2020-03-18,0.6562944536966429,0.0
2020-03-19,0.5636757385799005,0.0
2020-03-20,0.5986672197417082,0.0
2020-03-23,0.5642311357732257,0.0
2020-03-24,0.5905075503990801,0.0
2020-03-25,0.6322184678968388,0.0
2020-03-26,0.6640739618892357,0.0
2020-03-27,0.668044040822471,0.0
2020-03-30,0.6785150810890448,0.0
