Code,Name,Market,Marcap,Amount,Volume,Close,fs_div,equity,revenue_q,net_income_q,ocf_q,EY,EY_rank,BY,BY_rank,CFY,CFY_rank,SY,SY_rank,avg_rank,overall_rank,signal_date,target_weight
038110,에코플라스틱,KOSDAQ,39402482950.0,228604245.0,151046.0,1535.0,CFS,3240654563.0,326908625336.0,1502022972.0,38445052308.0,0.15248003268281346,164.0,0.08224493281583921,442.0,3.902805044726249,4.0,33.18660153989103,3.0,153.25,11,2019-04-30,0.05
015230,대창단조,KOSPI,82200000000.0,134038650.0,3244.0,41100.0,CFS,181349274746.0,81961256223.0,2730907699.0,7096170729.0,0.13289088559610707,194.0,2.2061955565206812,23.0,0.34531244423357665,257.0,3.9883822979562042,177.0,162.75,12,2019-04-30,0.05
012620,원일특강,KOSDAQ,41712000000.0,13975520.0,1470.0,9480.0,CFS,108643223085.0,60172129295.0,463890200.0,11482309680.0,0.04448505945531262,565.0,2.6046035453826235,20.0,1.1011037284234753,42.0,5.770246384253932,100.0,181.75,13,2019-04-30,0.05
031820,콤텍시스템,KOSPI,80868977540.0,1361273790.0,812331.0,1690.0,CFS,76987385587.0,49869103277.0,9023977398.0,8857559141.0,0.44635051276796445,28.0,0.9520014711317445,157.0,0.43811901228101024,191.0,2.4666617431799915,354.0,182.5,14,2019-04-30,0.05
034220,LG디스플레이,KOSPI,7138423215000.0,26256683100.0,1317288.0,19950.0,CFS,14886246000000.0,6947796000000.0,152574000000.0,772524000000.0,0.08549451070897314,335.0,2.0853689325563476,34.0,0.4328821515522879,194.0,3.8931824526181447,184.0,186.75,15,2019-04-30,0.05
069730,DSR제강,KOSPI,74016000000.0,164393320.0,32266.0,5140.0,OFS,136143556553.0,50864085500.0,2366820939.0,8312789627.0,0.12790861105706874,207.0,1.839380087454064,46.0,0.4492428462494596,186.0,2.748815688499784,310.0,187.25,16,2019-04-30,0.05
024120,KB오토시스,KOSDAQ,70150000000.0,12977180.0,2111.0,6100.0,CFS,94716069002.0,40812920801.0,5079463441.0,5782409982.0,0.2896344086101212,49.0,1.3501934283962937,101.0,0.32971689134711335,272.0,2.327180088439059,375.0,199.25,17,2019-04-30,0.05
042670,두산인프라코어,KOSPI,1513332498330.0,15362063560.0,2145497.0,7270.0,CFS,67912129252.0,1783283897433.0,71723838272.0,277021201452.0,0.18957853175332992,107.0,0.044875881094830594,491.0,0.7322150333986742,81.0,4.7135283208439605,128.0,201.75,18,2019-04-30,0.05
121890,에스디시스템,KOSDAQ,19803652280.0,93682145.0,41177.0,2260.0,OFS,16753927728.0,12445196808.0,647772854.0,3152742052.0,0.13083906843874357,200.0,0.8460019137439632,181.0,0.6368001230124608,107.0,2.51371749655867,348.0,209.0,19,2019-04-30,0.05
024880,케이피에프,KOSDAQ,92570031840.0,346119960.0,64409.0,5430.0,CFS,5193241993.0,101458316239.0,4850963587.0,12588108387.0,0.20961270037735358,92.0,0.05610068279954909,469.0,0.5439388163442593,130.0,4.384067466428561,147.0,209.5,20,2019-04-30,0.05
