signal_date,execution_date,buy,sell,two_way,cost_fraction,sell_tax_total,untradable_count
2019-10-31,2019-11-01,1.0000000000000002,0.0,1.0000000000000002,0.0021500000000000004,0.0025,0
2020-04-29,2020-05-04,0.7589158148355143,0.758915814835514,1.5178316296710284,0.005160627540881496,0.0025,0
2020-10-30,2020-11-02,0.8584348924511943,0.8584348924511942,1.7168697849023884,0.00583735726866812,0.0025,0
2021-04-30,2021-05-03,0.7623221085669142,0.812322108566914,1.5746442171338282,0.005253825916541633,0.0023,1
2021-10-29,2021-11-01,0.6885527424969184,0.737460326140496,1.4260130686374144,0.004762086847693582,0.0023,2
2022-04-29,2022-05-02,0.5744938707951868,0.5291545129459685,1.1036483837411553,0.003589899404819211,0.0023,1
2022-10-31,2022-11-01,0.8374721766431351,0.7825088893417211,1.6199810659848564,0.0052827297373534,0.0023,0
2023-04-28,2023-05-02,0.951046391570065,0.9510463915700648,1.9020927831401298,0.005991592266891409,0.002,0
2023-10-31,2023-11-01,0.8705197453733318,0.8705197453733315,1.7410394907466633,0.005484274395851989,0.002,0
2024-04-30,2024-05-02,0.8229251708956322,0.8229251708956321,1.6458503417912644,0.005019843542463357,0.0018,0
2024-10-31,2024-11-01,0.7567667593465106,0.7567667593465104,1.513533518693021,0.004616277232013714,0.0018,0
2025-04-30,2025-05-02,0.6206184554655444,0.6706184554655443,1.2912369109310888,0.003782087041700157,0.0015,1
2025-10-31,2025-11-03,0.8666250587762803,0.8741773017184572,1.7408023604947376,0.005053991027641372,0.0015,1
2026-04-30,2026-05-04,0.7145571704322929,0.7797351645322729,1.4942923349645658,0.004772198849238362,0.002,2
