Series,Start,End,Final_Multiple,CAGR,MDD
Actual_SPY_IEF,2002-07-30,2026-08-31,7.344828403455539,0.0863020310194762,-0.29762083483883994
Hybrid_same_dates,2002-07-30,2026-08-31,7.344828403455497,0.08630203101947598,-0.2976208348388397
