,최신 K-올웨더 성장형,최신 K-올웨더 성장형,강환국 정적 원본,강환국 정적 원본,강환국 계절형 원본,강환국 계절형 원본
,CAGR10Y,MDD10Y,CAGR10Y,MDD10Y,CAGR10Y,MDD10Y
2009-12-31,0.10406275095404327,-0.12063031299840954,0.0839231715627975,-0.08269603888675447,0.09151551532404456,-0.09577069703258045
2010-01-31,0.10341805846963248,-0.12063031299840965,0.08571909960782276,-0.08269603888675447,0.09352811678914286,-0.06159287195991947
2010-02-28,0.10308528089030733,-0.12063031299840954,0.08844789092565875,-0.08269603888675447,0.09768805419912918,-0.06159287195991903
2010-03-31,0.10524037159232114,-0.12063031299840954,0.08938634219484021,-0.08269603888675436,0.098528312931077,-0.06159287195991914
2010-04-30,0.10740468426733396,-0.12063031299840932,0.0927462261309191,-0.08269603888675459,0.10408886993028243,-0.06159287195991925
2010-05-31,0.11034114671821049,-0.12063031299840965,0.09514460887326881,-0.08269603888675447,0.10840790279822587,-0.06159287195991925
2010-06-30,0.10998755518485881,-0.12063031299840954,0.09359250989643986,-0.08269603888675436,0.10770359968784615,-0.06159287195991914
2010-07-31,0.11076177462876835,-0.12063031299840965,0.09675424146069123,-0.08269603888675447,0.10952623487767399,-0.06159287195991936
2010-08-31,0.1124930625567162,-0.12063031299840943,0.09763413664650766,-0.0826960388867547,0.11161502070639573,-0.06159287195991936
2010-09-30,0.11801900857059011,-0.12063031299840943,0.10262247225745824,-0.08269603888675436,0.11461269728435353,-0.06159287195991925
2010-10-31,0.11931651506686469,-0.12063031299840976,0.10549106202530512,-0.08269603888675447,0.11678322555486909,-0.06159287195991903
2010-11-30,0.11417162762572675,-0.12063031299840965,0.10305667126104101,-0.08269603888675459,0.1165724731178912,-0.06159287195991925
2010-12-31,0.10939647510483397,-0.12063031299840954,0.0994057531500252,-0.08269603888675436,0.11587583214921171,-0.06159287195991947
2011-01-31,0.1020588667730018,-0.12063031299840965,0.09213115256274373,-0.08269603888675436,0.1076030700063102,-0.06159287195991914
2011-02-28,0.10779458714467527,-0.12063031299840965,0.0950521205546655,-0.08269603888675447,0.11192703641525426,-0.06159287195991925
2011-03-31,0.10868263349101515,-0.12063031299840965,0.09815905789229507,-0.08269603888675447,0.11648068843660742,-0.06159287195991936
2011-04-30,0.10870669242197262,-0.12063031299840943,0.09783528036766675,-0.0826960388867547,0.11503863553233473,-0.06159287195991925
2011-05-31,0.10957239535038887,-0.12063031299840943,0.09894515970342899,-0.08269603888675459,0.117301504055777,-0.06159287195991925
2011-06-30,0.10660408417372236,-0.12063031299840965,0.09695316672326548,-0.08269603888675459,0.11488374160382486,-0.06159287195991925
2011-07-31,0.10952533768533446,-0.12063031299840943,0.09882213822383101,-0.08269603888675436,0.11554886926672792,-0.06159287195991925
2011-08-31,0.1122475292756393,-0.12063031299840954,0.09991620460241246,-0.08269603888675459,0.11788476847929674,-0.06159287195991936
2011-09-30,0.11902927823474885,-0.12063031299840965,0.10296242485169982,-0.08269603888675459,0.1207447788038134,-0.06159287195991925
2011-10-31,0.1190195082229426,-0.12063031299840965,0.10236502412943893,-0.08269603888675481,0.11950966021137988,-0.06159287195991903
2011-11-30,0.11775306454589596,-0.12063031299840954,0.10029845034510831,-0.08269603888675447,0.11407803356612867,-0.06159287195991903
2011-12-31,0.11414612730842211,-0.12063031299840965,0.0969334706345697,-0.08269603888675436,0.1096585924547715,-0.06159287195991914
2012-01-31,0.1184247652366055,-0.12063031299840954,0.09844906628068162,-0.08269603888675459,0.11110017149899098,-0.06159287195991925
2012-02-29,0.11673445712498576,-0.12063031299840954,0.09655196881531669,-0.08269603888675447,0.1088556899492894,-0.06159287195991925
2012-03-31,0.11352323660947583,-0.12063031299840954,0.09385455945111576,-0.08269603888675447,0.10492454627682779,-0.06159287195991925
2012-04-30,0.11745186171209143,-0.0930141576808482,0.09692127886240831,-0.05950017826912146,0.1089612850094055,-0.05024541607550481
2012-05-31,0.12247952948281604,-0.07682058591929408,0.09815525115935664,-0.04974989186910561,0.11129238519223539,-0.05024541607550492
2012-06-30,0.12316027311291688,-0.07682058591929408,0.10080114746277613,-0.0497498918691055,0.11200079790733564,-0.050245416075505034
2012-07-31,0.12901295903501175,-0.0768205859192942,0.10478682886776913,-0.04974989186910561,0.11478517985269732,-0.05024541607550492
2012-08-31,0.12602007961397965,-0.07682058591929408,0.1020879046598473,-0.0497498918691055,0.11154923963129026,-0.05024541607550492
2012-09-30,0.12921787514608796,-0.07682058591929408,0.10499593450634648,-0.04974989186910561,0.11144181395809327,-0.05024541607550492
2012-10-31,0.1258999469986255,-0.07682058591929408,0.10122749201546277,-0.04974989186910561,0.1088347891650856,-0.050245416075505034
2012-11-30,0.12394628145125441,-0.07682058591929408,0.09913188935859951,-0.0497498918691055,0.10539696661281761,-0.05024541607550492
2012-12-31,0.12278069395871571,-0.07682058591929408,0.10003869775840446,-0.0497498918691055,0.10935034681550126,-0.03800853020947914
2013-01-31,0.12664893535217936,-0.07682058591929408,0.10221366628196793,-0.0497498918691055,0.11254295766073197,-0.03800853020947914
2013-02-28,0.12395397857131085,-0.07682058591929408,0.1021419916757591,-0.04974989186910561,0.1136949554338389,-0.03800853020947936
2013-03-31,0.12521881681794045,-0.07682058591929408,0.10316320556662117,-0.0497498918691055,0.11541761848397991,-0.03800853020947925
2013-04-30,0.12304038845338505,-0.07682058591929408,0.09936789283901426,-0.04974989186910561,0.10986921396783567,-0.03800853020947936
2013-05-31,0.1180406666274676,-0.07682058591929408,0.09529772765692401,-0.0497498918691055,0.10518218299903626,-0.03800853020947925
2013-06-30,0.11136708916044968,-0.07682058591929408,0.08949889263491229,-0.04974989186910561,0.09945484184702846,-0.056383656306216556
2013-07-31,0.11430591527150735,-0.07682058591929408,0.09166936862525588,-0.0497498918691055,0.10221556254371866,-0.05638365630621667
