전략,롤링10년_창수,CAGR10Y_평균,CAGR10Y_중앙값,CAGR10Y_최저,CAGR10Y_최저_종료월,CAGR10Y_최고,CAGR10Y_최고_종료월,MDD10Y_평균,MDD10Y_최악,MDD10Y_최악_종료월,CAGR10Y_1위비율,MDD10Y_1위비율
최신 K-올웨더 성장형,201,0.09622936019652344,0.09722773259593054,0.06385312564078238,2022-12,0.12921787514608796,2012-09,-0.09631379926565209,-0.13932487515328362,2024-04,0.9203980099502488,0.0
강환국 정적 원본,201,0.07567142335481307,0.07838428919562057,0.040923162674140645,2022-09,0.10549106202530512,2010-10,-0.06977248589300092,-0.11616834333782333,2025-07,0.0,0.5771144278606966
강환국 계절형 원본,201,0.08463098193863189,0.08572039096674722,0.04606066378982754,2022-12,0.1207447788038134,2011-09,-0.0745871459598404,-0.11262112033856264,2023-05,0.07960199004975124,0.4228855721393035
