기간,전략,개월수,누적수익률,CAGR,연환산변동성,MDD,Sharpe_rf0,Sortino_rf0,Calmar
2000-2012,최신 K-올웨더 성장형,156,2.4001569699035255,0.09871369012004871,0.09051137968185058,-0.12063031299840954,1.0882313664055063,1.9906693311681751,0.8183157919962474
2000-2012,강환국 정적 원본,156,1.8967154945491278,0.08525355874719875,0.06613565017775656,-0.08269603888675447,1.2737978831178198,2.5593925471462193,1.030926751690569
2000-2012,강환국 계절형 원본,156,2.46483902476475,0.10030752146024313,0.06964151352207465,-0.06159287195991925,1.4123996633238276,2.519132961480836,1.62855730327881
2013-2026.08,최신 K-올웨더 성장형,164,2.362018327354986,0.09277742073783313,0.08391456408490094,-0.13932487515328307,1.1028998851378713,1.5703651953230557,0.6659070796637058
2013-2026.08,강환국 정적 원본,164,1.787048984017571,0.07788283567535714,0.0783864612580385,-0.11616834333782322,0.9985689243819985,1.3073608329418396,0.6704308027262647
2013-2026.08,강환국 계절형 원본,164,1.8127141689948796,0.07860604228312384,0.08203366206799043,-0.11262112033856253,0.9657061600835072,1.3543287905131411,0.6979689248945289
2021-2026.08,최신 K-올웨더 성장형,68,0.7759735034343349,0.10667016720461753,0.09812976963807556,-0.1393248751532833,1.0857392062133164,1.447291043977672,0.7656218395118639
2021-2026.08,강환국 정적 원본,68,0.762910784335352,0.10522935670460654,0.1050484216532756,-0.11616834333782289,1.0080377039918147,1.2684934341190954,0.9058350466322372
2021-2026.08,강환국 계절형 원본,68,0.7504147845678089,0.10384280323412698,0.10597720567559249,-0.11262112033856231,0.9877639821982074,1.37324850968646,0.9220544327915945
