비교,계절형_CAGR우위_비율,계절형_MDD우위_비율,계절형_CAGR_평균차,계절형_MDD_평균차
강환국 계절형 원본 vs 강환국 정적 원본,0.9751243781094527,0.4228855721393035,0.008959558583818814,-0.0048146600668394594
강환국 계절형 원본 vs 최신 K-올웨더 성장형,0.07960199004975124,1.0,-0.011598378257891541,0.02172665330581171
