전략,시작,종료,최종자산_원,누적수익률,CAGR,연환산변동성,MDD,Sharpe_rf0,Sortino_rf0,Calmar,최대손실회복기간_개월
최신 K-올웨더 성장형,2000-01-31,2026-08-31,114313900.4869944,10.43139004869944,0.0959811856342796,0.08703192770971177,-0.1393248751532833,1.1086123017003733,1.7706256889453291,0.6889020035272412,23
강환국 정적 원본,2000-01-31,2026-08-31,80732879.76071113,7.0732879760711125,0.08173534403553728,0.07218013209602893,-0.116168343337823,1.1475099647561562,1.7274405276140337,0.7035939541450381,23
강환국 계절형 원본,2000-01-31,2026-08-31,97456018.18242216,8.745601818242216,0.08942306078770401,0.07560492184208552,-0.11262112033856264,1.1974412760833615,1.8430564822389717,0.7940167929326186,23
