Date,SignalDate,TradeFraction,CostRate,CostNAV,w_SPY,w_US_LONG_BOND,w_KODEX200_PROXY,w_KR_20Y_PROXY,w_CASH
1997-01-31,1996-12-31,0.6666666666666666,0.0005,0.0003333333333333333,0.22916666666666666,0.1875,0.0,0.25,0.33333333333333337
1998-01-31,1997-12-31,0.30268693699297755,0.001,0.0003325356213280552,0.25,0.25,0.0,0.0,0.5
1999-01-31,1998-12-31,0.5480669322486618,0.001,0.0006659513512236767,0.25,0.20833333333333334,0.20833333333333334,0.25,0.08333333333333326
2000-01-31,1999-12-31,0.3828073587859346,0.001,0.0005743372398380934,0.25,0.0,0.25,0.0625,0.4375
2001-01-31,2000-12-31,0.8143367097725425,0.001,0.0010522551015861139,0.0,0.25,0.0,0.25,0.5
2002-01-31,2001-12-31,0.5131263114970531,0.001,0.0006803638102731016,0.08333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.33333333333333337
2003-01-31,2002-12-31,0.3500712315041906,0.001,0.0004693347994131578,0.041666666666666664,0.22916666666666666,0.0,0.25,0.47916666666666674
2004-01-31,2003-12-31,0.6202550313329189,0.001,0.0008587369709306903,0.25,0.14583333333333334,0.25,0.16666666666666666,0.1875
2005-01-31,2004-12-31,0.22973784004725017,0.001,0.00034479708609793714,0.25,0.25,0.20833333333333334,0.25,0.04166666666666663
2006-01-31,2005-12-31,0.254979919290435,0.001,0.00043452702924188776,0.22916666666666666,0.1875,0.25,0.041666666666666664,0.29166666666666674
2007-01-31,2006-12-31,0.17618612357119612,0.001,0.0003164331808677314,0.25,0.20833333333333334,0.25,0.1875,0.10416666666666663
2008-01-31,2007-12-31,0.3046165561439381,0.001,0.0006071882308939554,0.14583333333333334,0.22916666666666666,0.16666666666666666,0.10416666666666667,0.35416666666666674
2009-01-31,2008-12-31,0.3415277773423514,0.001,0.00066651303709244,0.020833333333333332,0.25,0.020833333333333332,0.25,0.45833333333333337
2010-01-31,2009-12-31,0.7315908780596064,0.001,0.0013409625740922117,0.25,0.0,0.25,0.16666666666666666,0.33333333333333337
2011-01-31,2010-12-31,0.16853440019230673,0.001,0.0003478738130050056,0.25,0.125,0.25,0.1875,0.1875
2012-01-31,2011-12-31,0.4465231997000684,0.001,0.0009645014336994405,0.10416666666666667,0.25,0.020833333333333332,0.22916666666666666,0.39583333333333337
2013-01-31,2012-12-31,0.5206412793542756,0.001,0.0011898881602981943,0.22916666666666666,0.10416666666666667,0.20833333333333334,0.16666666666666666,0.29166666666666674
2014-01-31,2013-12-31,0.22391470655803564,0.001,0.0005403404971578408,0.25,0.0,0.1875,0.0625,0.5
2015-01-31,2014-12-31,0.6430051139460629,0.001,0.001602711368234679,0.22916666666666666,0.25,0.0,0.25,0.27083333333333337
2016-01-31,2015-12-31,0.3831075176188196,0.001,0.0009837428458300225,0.125,0.041666666666666664,0.0625,0.25,0.5208333333333334
2017-01-31,2016-12-31,0.5027192976068586,0.001,0.0013251034969710808,0.25,0.020833333333333332,0.25,0.0625,0.41666666666666674
2018-01-31,2017-12-31,0.31733784693429384,0.001,0.0009382159203365372,0.25,0.25,0.22916666666666666,0.041666666666666664,0.22916666666666674
2019-01-31,2018-12-31,0.6613826529319282,0.001,0.0018557958612735045,0.0,0.22916666666666666,0.020833333333333332,0.25,0.5
2020-01-31,2019-12-31,0.6661718047308843,0.001,0.001962424003386468,0.25,0.16666666666666666,0.25,0.14583333333333334,0.1875
2021-01-31,2020-12-31,0.25555677553949085,0.001,0.0008755554513349778,0.25,0.08333333333333333,0.25,0.0,0.41666666666666674
2022-01-31,2021-12-31,0.38139386586635415,0.001,0.0014049341213638535,0.25,0.16666666666666666,0.0625,0.0625,0.45833333333333337
2023-01-31,2022-12-31,0.37879833950002173,0.001,0.0012239160196128903,0.041666666666666664,0.020833333333333332,0.020833333333333332,0.10416666666666667,0.8125
2024-01-31,2023-12-31,0.685223401582376,0.001,0.0022779432983130376,0.25,0.14583333333333334,0.25,0.25,0.10416666666666663
2025-01-31,2024-12-31,0.4210401099870341,0.001,0.0014600382014682393,0.22916666666666666,0.020833333333333332,0.0,0.22916666666666666,0.5208333333333334
2026-01-31,2025-12-31,0.5989447044053626,0.001,0.0021420637828651144,0.25,0.14583333333333334,0.25,0.0,0.35416666666666663
