,전략(비용전),전략(비용후),정적4자산25%
1997-01-31,1.0166258642695252,1.0162869889814354,1.0309699639213996
1997-02-28,1.0225730720304336,1.0222322143397569,1.0283584321480048
1997-03-31,1.0062936100321143,1.0059581788287704,1.0075253143736036
1997-04-30,1.0271011487076853,1.026758781658116,1.0402740219318676
1997-05-31,1.0485677286986916,1.0482182061224588,1.0884810722379916
1997-06-30,1.068676074742827,1.0683198493845794,1.1094115558831885
1997-07-31,1.1037660511785086,1.103398129161449,1.1410081353648316
1997-08-31,1.0793277202286884,1.0789679443219453,1.1052461327003253
1997-09-30,1.105536238666701,1.1051677265871451,1.1172046083533596
1997-10-31,1.1079020674279418,1.107532766738799,1.0537725505085056
1997-11-30,1.1161816677772167,1.1158096072212909,1.04165316875787
1997-12-31,1.0989787230348984,1.0986123967938866,1.0214413590013942
1998-01-31,1.1083827808448414,1.1076779387599396,1.1622381205620689
1998-02-28,1.1253522960329725,1.1246366627045834,1.1942563821220573
1998-03-31,1.1403049098749107,1.1395797678896775,1.1485008484331591
1998-04-30,1.1450169117942286,1.1442887733556812,1.1205764718447773
1998-05-31,1.144416045623318,1.1436882892872102,1.0575858053606604
1998-06-30,1.164679371961585,1.1639387297836634,1.063681560870492
1998-07-31,1.1589841619812908,1.1582471414977384,1.1136278891619655
1998-08-31,1.1281043373326718,1.1273869539279002,1.0703940182390699
1998-09-30,1.1574043747553964,1.1566683588891489,1.098148669731335
1998-10-31,1.1742791441212164,1.1735323972621858,1.2156360132976451
1998-11-30,1.1950307916104261,1.1942708483767006,1.2782143601073173
1998-12-31,1.2158644735856954,1.215091281809956,1.3953658814523893
1999-01-31,1.2346585759664823,1.2331971874298897,1.4181788075649528
1999-02-28,1.1787222692089718,1.1773270889983618,1.3459260782658415
1999-03-31,1.2416620516824142,1.240192373567369,1.4283287463903462
1999-04-30,1.3277158085979044,1.3261442740050158,1.5409312714965429
1999-05-31,1.3008534679234407,1.2993137286118484,1.5077362862572423
1999-06-30,1.3948354847897053,1.393184504812258,1.632723988931908
1999-07-31,1.4241840339601568,1.422498315931107,1.6755804737001505
1999-08-31,1.4004385883203283,1.398780976297854,1.6450832714829136
1999-09-30,1.3434132942245003,1.3418231794945648,1.569222035266315
1999-10-31,1.3696568658831798,1.3680356882703326,1.5988684005109357
1999-11-30,1.4604744999107084,1.4587458271150862,1.7237383580187609
1999-12-31,1.5021076254037742,1.500329674067896,1.77636165028223
2000-01-31,1.453173822433893,1.450898163803825,1.731177502980938
2000-02-29,1.4068667918622546,1.4046636496731837,1.7098736852419365
2000-03-31,1.4538984782859954,1.4516216848506356,1.778050189550976
2000-04-30,1.3929432997975792,1.3907619616861684,1.7065348397651785
2000-05-31,1.3919639926907865,1.3897841881665038,1.703618054368097
2000-06-30,1.4350632263434135,1.432815928762556,1.7732454212340432
2000-07-31,1.3895739634386788,1.3873979016811664,1.7431786314071918
2000-08-31,1.4062701018064483,1.404067894029252,1.7781255580144082
2000-09-30,1.355350465859786,1.3532279978268604,1.7102228382058842
