period,variant,start,end,months,CAGR,CumulativeReturn,AnnualizedVol,MDD,Sharpe,FinalMultiple,FinalAssetKRW
book_validation,gross,2005-01-31,2021-12-31,204,0.05047751064936423,1.309802812330565,0.05975506490363043,-0.13708921818501196,0.8554214052099969,2.309802812330565,23098028.12330565
book_validation,min_5bp,2005-01-31,2021-12-31,204,0.05026009246722807,1.3016892049763862,0.05976962475541054,-0.1372622877298446,0.8517503057561814,2.301689204976386,23016892.049763862
book_validation,base_10bp,2005-01-31,2021-12-31,204,0.05004266628306708,1.2936021300648202,0.05978496956925832,-0.1374353572746776,0.8480698593262999,2.29360213006482,22936021.3006482
book_validation,conservative_25bp,2005-01-31,2021-12-31,204,0.04939033966495754,1.2694992967121022,0.05983570758965853,-0.13795456590917643,0.8369740488756033,2.269499296712102,22694992.96712102
from_2001,gross,2001-01-31,2026-08-31,308,0.0473441032721138,2.2781417231771623,0.07627870190626139,-0.13708921818501174,0.6451455960815193,3.2781417231771623,32781417.23177162
from_2001,min_5bp,2001-01-31,2026-08-31,308,0.04709914396798043,2.258519442473715,0.07627138827891392,-0.1372622877298446,0.6421221569121741,3.258519442473715,32585194.42473715
from_2001,base_10bp,2001-01-31,2026-08-31,308,0.04685417572520678,2.239009357026126,0.07626485818011029,-0.13743535727467748,0.6390915718998329,3.239009357026126,32390093.57026126
from_2001,conservative_25bp,2001-01-31,2026-08-31,308,0.046119217293574044,2.1811461704617385,0.07624997094724943,-0.13795456590917632,0.6299578442643966,3.1811461704617385,31811461.704617385
from_2021,gross,2021-01-31,2026-08-31,68,0.04463544679697784,0.2807576654443167,0.11520235401039046,-0.13485384815739654,0.43526774429315984,1.2807576654443167,12807576.654443167
from_2021,min_5bp,2021-01-31,2026-08-31,68,0.044395381162640524,0.2790906984802717,0.11518495077677886,-0.134994553123847,0.4333153339402159,1.2790906984802717,12790906.984802717
from_2021,base_10bp,2021-01-31,2026-08-31,68,0.04415531021394825,0.27742548184394633,0.11516802977410033,-0.13513525809029736,0.43136052732285085,1.2774254818439463,12774254.818439463
from_2021,conservative_25bp,2021-01-31,2026-08-31,68,0.0434350654319009,0.2724403196878593,0.11512016224779228,-0.13555737298964798,0.4254819575283971,1.2724403196878593,12724403.196878593
longest,gross,1997-01-31,2026-08-31,356,0.047979163072709774,3.0160139650258175,0.08104912644747422,-0.16449044468203977,0.6192966477193034,4.0160139650258175,40160139.650258176
longest,min_5bp,1997-01-31,2026-08-31,356,0.04774136035191123,2.9890666019833305,0.08104436730688327,-0.16505055970663862,0.6165176544340608,3.9890666019833305,39890666.019833304
longest,base_10bp,1997-01-31,2026-08-31,356,0.04750354891996689,2.9622930222191424,0.08104030493528463,-0.1656105108943039,0.6137330579454704,3.9622930222191424,39622930.22219142
longest,conservative_25bp,1997-01-31,2026-08-31,356,0.04679502740409047,2.8835506880027095,0.08103297619789909,-0.1672893814356955,0.6054007351919505,3.8835506880027095,38835506.88002709
