series,start,end,final_multiple,final_asset_krw,cumulative_return,CAGR,annualized_volatility_monthly,Sharpe_rf0_monthly,MDD_daily,MDD_date,max_recovery_days,max_recovery_months,monthly_return_count,daily_obs
Top20_Gross,2016-11-01,2019-10-31,1.2110136064204597,12110136.064204598,0.21101360642045974,0.0659448978642978,0.2293243195460117,0.3896599839041773,-0.2801437083526356,2018-10-29,511,16.8,36,735
Top20_Minimum,2016-11-01,2019-10-31,1.1950419799354146,11950419.799354145,0.1950419799354146,0.061234901783435935,0.22870639170011844,0.3707247137817792,-0.280143708352636,2018-10-29,511,16.8,36,735
Top20_Base,2016-11-01,2019-10-31,1.1737698141464374,11737698.141464375,0.17376981414643744,0.05489618594468437,0.2280886938753914,0.3448243327961001,-0.28014370835263636,2018-10-29,511,16.8,36,735
Top20_Conservative,2016-11-01,2019-10-31,1.1419320630320478,11419320.630320478,0.14193206303204775,0.045264467858035395,0.22728877418402918,0.3048643627734592,-0.2801437083526356,2018-10-29,511,16.8,36,735
KOSPI,2016-11-01,2019-10-31,1.0374914724204383,10374914.724204382,0.037491472420438265,0.012352404079915003,0.14363262818601255,0.15713530481021726,-0.26498446995793223,2019-08-07,640,21.0,36,735
