signal_date,Code,Name,rank,weight,ADV20_KRW,order_at_10m_KRW,order_pct_ADV_at_10m,capacity_at_5pct_ADV_KRW,capacity_at_1pct_ADV_KRW
2017-10-31,054800,아이디스홀딩스,9,0.05,8382405.0,500000.0,0.05964875235687133,8382405.0,1676481.0
2017-10-31,015750,성우하이텍,10,0.05,991261421.5,500000.0,0.0005044078072193996,991261421.5,198252284.29999998
2017-10-31,007280,한국특수형강,11,0.05,496303853.5,500000.0,0.001007447345963434,496303853.5,99260770.7
2017-10-31,033160,엠케이전자,12,0.05,4045586755.0,500000.0,0.0001235914665238714,4045586755.0,809117351.0
2017-10-31,038010,제일테크노스,13,0.05,142637797.25,500000.0,0.003505382231356633,142637797.25,28527559.449999996
2017-10-31,005160,동국산업,14,0.05,270637379.25,500000.0,0.0018474905476309957,270637379.25,54127475.849999994
2017-10-31,000320,노루홀딩스,15,0.05,334629780.0,500000.0,0.0014941885925394925,334629780.0,66925956.0
2017-10-31,012620,원일특강,16,0.05,36305496.0,500000.0,0.01377201953114757,36305496.0,7261099.2
2017-10-31,019180,티에이치엔,17,0.05,72591367.25,500000.0,0.006887871367376676,72591367.25,14518273.45
2017-10-31,016920,카스,18,0.05,128232789.75,500000.0,0.003899158717320193,128232789.75000001,25646557.95
2017-10-31,084010,대한제강,19,0.05,353343202.5,500000.0,0.0014150548148722346,353343202.5,70668640.5
2017-10-31,007540,샘표,20,0.05,126642622.5,500000.0,0.003948117862136028,126642622.5,25328524.5
2018-04-30,009200,무림페이퍼,1,0.05,482952188.5,500000.0,0.0010352991701993292,482952188.5,96590437.69999999
2018-04-30,006200,한국전자홀딩스,2,0.05,126682296.75,500000.0,0.003946881394065032,126682296.75,25336459.349999998
2018-04-30,013580,계룡건설,3,0.05,1158158125.0,500000.0,0.00043171997778800714,1158158125.0,231631625.0
2018-04-30,015360,예스코,4,0.05,46875235.0,500000.0,0.0106666131913792,46875235.0,9375047.0
2018-04-30,036710,심텍홀딩스,5,0.05,108873936.5,500000.0,0.004592467362471091,108873936.5,21774787.299999997
2018-04-30,058650,세아홀딩스,6,0.05,94194100.0,500000.0,0.005308188092460144,94194100.0,18838820.0
2018-04-30,267290,경동도시가스,7,0.05,162644090.0,500000.0,0.0030741971626512834,162644090.0,32528818.0
2018-04-30,084870,TBH글로벌,8,0.05,374252481.0,500000.0,0.0013359964873552836,374252481.0,74850496.2
2018-04-30,005990,매일홀딩스,9,0.05,692196344.5,500000.0,0.0007223384000404815,692196344.5,138439268.9
2018-04-30,002020,코오롱,10,0.05,1403197107.5,500000.0,0.00035632912676881356,1403197107.5,280639421.5
2018-04-30,017390,서울가스,11,0.05,16878945.0,500000.0,0.029622704499599944,16878945.0,3375789.0
2018-04-30,004960,한신공영,12,0.05,2125243795.0,500000.0,0.00023526712614163874,2125243795.0,425048758.99999994
2018-04-30,000700,유수홀딩스,13,0.05,464588865.5,500000.0,0.0010762203684367034,464588865.5,92917773.1
2018-04-30,012320,경동인베스트,14,0.05,339561030.0,500000.0,0.0014724893489691676,339561030.0,67912206.0
2018-04-30,067310,하나마이크론,15,0.05,873642219.75,500000.0,0.0005723166631565485,873642219.75,174728443.95
2018-04-30,084690,대상홀딩스,16,0.05,298654416.5,500000.0,0.0016741758111586474,298654416.5,59730883.3
2018-04-30,079660,사조해표,17,0.05,118598427.0,500000.0,0.004215907517896507,118598427.0,23719685.4
2018-04-30,001230,동국제강,18,0.05,5599280272.0,500000.0,8.929719101583848e-05,5599280272.0,1119856054.3999999
2018-04-30,054040,한국컴퓨터,19,0.05,229541015.25,500000.0,0.0021782599482512307,229541015.25,45908203.05
2018-04-30,034590,인천도시가스,20,0.05,43490720.0,500000.0,0.011496705504070753,43490720.0,8698144.0
2018-10-31,000880,한화,1,0.05,8059657072.5,500000.0,6.203737894829644e-05,8059657072.5,1611931414.5
2018-10-31,200880,서연이화,2,0.05,709804879.0,500000.0,0.0007044189393350168,709804879.0,141960975.79999998
2018-10-31,001940,KISCO홀딩스,3,0.05,235141690.0,500000.0,0.0021263775045590595,235141690.0,47028337.99999999
2018-10-31,013580,계룡건설,4,0.05,553624482.5,500000.0,0.0009031392501685472,553624482.5,110724896.5
2018-10-31,123040,엠에스오토텍,5,0.05,204364328.5,500000.0,0.002446610930928682,204364328.5,40872865.7
2018-10-31,006200,한국전자홀딩스,6,0.05,91026899.35,500000.0,0.00549288181373169,91026899.35,18205379.869999997
2018-10-31,002030,아세아,7,0.05,251418225.0,500000.0,0.0019887182005202684,251418225.0,50283645.0
2018-10-31,024910,경창산업,8,0.05,2665117901.5,500000.0,0.00018760896083381022,2665117901.5,533023580.3
2018-10-31,005740,크라운해태홀딩스,9,0.05,521898546.5,500000.0,0.0009580406064610491,521898546.50000006,104379709.3
2018-10-31,013570,디와이,10,0.05,3059022980.75,500000.0,0.0001634508806067916,3059022980.7499995,611804596.15
2018-10-31,007860,서연,11,0.05,135480527.5,500000.0,0.0036905672662073154,135480527.5,27096105.5
2018-10-31,053700,삼보모터스,12,0.05,1030106892.0,500000.0,0.0004853865204505398,1030106892.0,206021378.39999998
2018-10-31,084690,대상홀딩스,13,0.05,236374569.0,500000.0,0.0021152867760490766,236374569.0,47274913.8
2018-10-31,000320,노루홀딩스,14,0.05,87847247.5,500000.0,0.0056916979669738655,87847247.5,17569449.5
2018-10-31,005710,대원산업,15,0.05,85630050.0,500000.0,0.005839071681027864,85630050.0,17126010.0
2018-10-31,006120,SK디스커버리,16,0.05,1477825862.5,500000.0,0.0003383348557415032,1477825862.5,295565172.5
2018-10-31,017000,신원종합개발,17,0.05,216442056.5,500000.0,0.002310087087903824,216442056.5,43288411.3
2018-10-31,002710,TCC동양,18,0.05,109129109.0,500000.0,0.004581728968391009,109129109.0,21825821.8
2018-10-31,037330,인지디스플레,19,0.05,133614866.5,500000.0,0.003742098563560665,133614866.5,26722973.3
2018-10-31,058650,세아홀딩스,20,0.05,69310965.0,500000.0,0.00721386580031024,69310965.0,13862193.0
2019-04-30,036530,S&T홀딩스,1,0.05,79245932.5,500000.0,0.006309472098142072,79245932.5,15849186.5
2019-04-30,009200,무림페이퍼,2,0.05,675072475.5,500000.0,0.000740661215123116,675072475.4999999,135014495.1
2019-04-30,002030,아세아,3,0.05,229685075.0,500000.0,0.0021768937315583088,229685075.0,45937015.0
2019-04-30,015750,성우하이텍,4,0.05,2590091841.25,500000.0,0.00019304334774426215,2590091841.25,518018368.25
2019-04-30,124500,아이티센,5,0.05,525816969.5,500000.0,0.0009509012241948955,525816969.5,105163393.9
2019-04-30,010100,한국프랜지,6,0.05,115751995.75,500000.0,0.0043195799498774515,115751995.75,23150399.15
2019-04-30,004960,한신공영,7,0.05,505624845.0,500000.0,0.000988875457652798,505624845.0,101124969.0
2019-04-30,033160,엠케이전자,8,0.05,885822235.5,500000.0,0.0005644473348738828,885822235.5000001,177164447.1
2019-04-30,019540,일지테크,9,0.05,501283889.0,500000.0,0.0009974387985966172,501283889.00000006,100256777.79999998
2019-04-30,039020,이건홀딩스,10,0.05,66604276.5,500000.0,0.007507025468552309,66604276.5,13320855.299999999
2019-04-30,013580,계룡건설,11,0.05,251706365.0,500000.0,0.0019864416221655736,251706365.0,50341272.99999999
2019-04-30,024900,덕양산업,12,0.05,308676024.5,500000.0,0.0016198213023182174,308676024.5,61735204.9
2019-04-30,267290,경동도시가스,13,0.05,660219042.5,500000.0,0.0007573244147982902,660219042.5,132043808.49999999
2019-04-30,005960,동부건설,14,0.05,323115609.0,500000.0,0.001547433754585344,323115609.0,64623121.8
2019-04-30,001940,KISCO홀딩스,15,0.05,367063320.0,500000.0,0.0013621628006851788,367063320.0,73412664.0
2019-04-30,034730,SK,16,0.05,28785958964.25,500000.0,1.7369579405743005e-05,28785958964.25,5757191792.849999
2019-04-30,054800,아이디스홀딩스,17,0.05,278702127.5,500000.0,0.0017940300796591515,278702127.5,55740425.49999999
2019-04-30,131760,파인텍,18,0.05,972998190.75,500000.0,0.0005138755701226878,972998190.75,194599638.15
2019-04-30,306200,세아제강,19,0.05,463373435.0,500000.0,0.0010790432990618031,463373435.0,92674687.0
2019-04-30,004140,동방,20,0.05,4472506254.75,500000.0,0.00011179414214770026,4472506254.75,894501250.9499999
